eventid,time,latitude,longitude,country,depth,magnitude
usp000a6yd,978205372710,24.317,122.974,"16 km S of Yonakuni, Japan",55.6,5.1
usp000a6xk,978173053350,-6.967,129.69,Banda Sea,133.1,5.2
usp000a6xe,978162166700,-12.472,166.934,"169 km NNW of Sola, Vanuatu",220.7,5.5
usp000a6x2,978132833070,-22.253,-179.672,south of the Fiji Islands,584.0,5.4
usp000a6w5,978097658670,1.739,126.444,"148 km NW of Ternate, Indonesia",33.0,5.1
usp000a6vw,978086580140,-4.243,152.742,"53 km ENE of Kokopo, Papua New Guinea",33.0,5.3
usp000a6v4,978040851160,-5.71,154.41,"136 km WNW of Panguna, Papua New Guinea",93.8,5.1
usp000a6v2,978037614110,-0.46,119.917,"49 km N of Palu, Indonesia",33.0,5.4
usp000a6ux,978029676660,-4.864,102.599,"117 km SW of Pagar Alam, Indonesia",33.0,5.4
usp000a6uu,978027153160,-22.438,-175.11,"123 km S of ‘Ohonua, Tonga",33.0,5.4
usp000a6ur,978019526880,-8.138,117.94,"58 km ENE of Pototano, Indonesia",33.0,5.2
usp000a6ty,977978068450,-4.05,152.307,"23 km NE of Rabaul, Papua New Guinea",33.0,6.2
usp000a6ss,977901991630,-4.228,152.73,"52 km ENE of Kokopo, Papua New Guinea",33.0,5.8
usp000a6sr,977900627820,-9.33,154.593,"282 km WSW of Gizo, Solomon Islands",33.0,5.9
usp000a6rx,977844086660,-35.025,179.67,off the east coast of the North Island of New Zealand,33.0,5.6
usp000a6rf,977810456120,-21.051,168.655,"97 km NE of Tadine, New Caledonia",33.0,5.0
usp000a6r7,977800860460,20.968,122.059,"58 km N of Basco, Philippines",170.4,5.0
usp000a6qy,977776991810,51.301,179.967,"244 km WSW of Adak, Alaska",55.1,5.0
usp000a6qf,977750662900,-42.519,120.175,south of Australia,10.0,5.7
usp000a6qd,977742995120,-23.277,-176.41,"262 km SW of ‘Ohonua, Tonga",33.0,5.4
usp000a6q0,977721118550,-21.264,-179.124,Fiji region,644.8,5.7
usp000a6mx,977627467450,-4.196,123.247,"84 km ESE of Kendari, Indonesia",33.0,5.6
usp000a6mq,977613177440,-10.761,164.916,"96 km W of Lata, Solomon Islands",33.0,5.2
usp000a6kn,977555604300,-7.873,135.816,"Kepulauan Aru region, Indonesia",61.7,6.0
usp000a6jv,977518086880,-4.112,127.394,"99 km WSW of Ambon, Indonesia",33.0,5.1
usp000a6jf,977502599970,-26.408,-107.147,"241 km ENE of Hanga Roa, Chile",10.0,5.2
usp000a6j0,977479981110,44.79,147.196,"72 km SW of Kuril’sk, Russia",140.4,6.2
usp000a6hs,977473839170,-10.56,164.22,"173 km W of Lata, Solomon Islands",33.0,5.9
ak000gef3jyo,977445639208,56.5401,-158.0955,"33 km NE of Chignik, Alaska",91.5,5.5
