userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
854211233,4809,97,605934,1399,4906,717,6500,493116,T
363434945,4750,122,1011750,1832,11564,1793,5839,492822,T
942329123,4849,122,203658,2291,13492,1793,5244,493672,T
476428605,4842,57,842508,5279,11295,717,3058,493128,T
913418724,4886,43,1030946,1826,28572,1793,3025,492916,F
277178302,1470,3,254310,4582,5007,1434,3796,493650,T
445548242,4732,129,804440,1624,8374,1076,3648,493642,T
173438477,1475,1,250750,2015,11039,1434,3007,493098,T
861710168,4817,57,1059740,1950,7962,1076,2857,493611,F
560379905,4756,127,998760,1001,5647,717,4736,493204,T
360258609,4755,24,313830,1480,8232,717,2865,493444,T
451179268,4857,120,97140,1016,11846,1076,4910,493669,T
392826931,4827,34,825417,1722,13127,717,6272,493025,F
819387359,4832,53,840768,4223,16190,1076,3544,492702,T
650818831,4787,44,1019631,1164,7962,717,2985,493431,F
872850288,4679,124,556801,1288,25564,1434,3362,493366,T
922723839,4807,43,201894,1081,13877,717,3276,493301,F
516191288,1459,1,294718,1295,5519,1793,4479,493432,T
211542687,1370,1,241120,1020,6563,717,3122,493514,T
786958423,1551,1,235752,989,25564,717,3167,493145,T
624899275,4807,95,913330,1162,6563,358,5128,493215,T
346069547,4860,113,451980,1646,24286,717,5851,492761,T
000714177,4761,45,1118835,1271,6476,1434,3513,492800,F
535130372,4715,107,584660,1116,6841,358,3270,492743,T
497945774,4901,27,548912,1316,5923,1076,3616,493222,F
503303592,4706,126,414128,3679,5647,358,4873,493189,T
719651419,1552,1,111744,5923,5714,717,5147,493297,T
153275644,4772,128,200424,2503,69389,1076,4608,493525,T
514208197,4707,119,164745,6071,6938,717,6558,492847,T
487978384,4759,126,1184991,1571,8374,1076,6270,493191,T
126483395,4684,123,444980,1005,5396,1434,2869,492856,T
384545964,4690,102,717570,3396,8673,358,6123,493530,T
375168452,4878,39,253656,1062,6148,358,4424,493213,F
146515934,1536,1,109056,1020,10334,1434,3221,493658,T
527929735,1418,2,252404,1069,6391,717,4475,493600,T
681119054,4710,126,381510,1587,6148,1076,4535,493055,T
312263294,4801,90,288060,1364,10334,1076,4586,493312,T
318368864,1366,28,195338,1248,34694,1434,4408,492794,T
700624958,4887,31,434943,1255,19428,717,4784,493538,F
367174172,4712,32,1017792,3444,10334,358,3551,492910,T
167874326,1442,33,317240,1728,6071,717,6195,493371,T
888648728,4715,37,999580,1164,5337,717,5080,493661,F
241595570,1420,24,254180,6653,22078,717,6597,493212,T
662403710,4683,127,810159,2874,8521,1076,4559,492824,T
907229612,4779,122,798093,1298,12143,358,3671,493570,T
711824330,1444,26,333564,1268,15178,717,6550,493654,T
207630725,4774,30,840224,1919,69389,717,6679,493309,F
314772325,4674,95,200982,3854,5519,1076,3579,493266,T
302890815,4789,107,431010,1330,5279,358,6004,492926,T
229321216,4727,112,628691,2416,6653,1793,5294,493016,T
096407216,1489,1,67005,2312,5167,1793,3800,493494,T
083912142,4898,52,181226,2312,9524,717,3225,493664,T
812108337,4728,111,222216,1026,12454,1793,5687,493307,T
789929586,1529,20,214060,5923,5222,1076,3320,493533,T
380439544,4855,100,315575,1067,16749,1793,6325,493600,T
310774121,1408,1,205568,1208,5167,358,5121,493358,T
472879860,4775,32,654175,1508,15668,1076,2960,493079,F
977061609,4716,55,763992,1919,7143,717,3345,493628,F
959360504,1460,27,64240,5714,18681,717,3083,492857,T
350253915,1420,20,38340,3259,9714,1076,3538,493295,T
686732709,4886,42,776874,3494,13127,358,5163,493332,T
132780461,4845,118,1099815,6746,7709,717,6004,493056,T
