userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
356027635,1475,24,112100,1375,1424,717,4382,493268,T
080427641,4775,46,386775,1375,1319,1076,2832,493593,F
157279865,4759,123,409274,1375,2490,358,6324,492892,T
295185433,4851,32,135828,1375,991,717,3417,492899,F
493341030,1568,36,153664,1375,10559,358,6116,493524,T
799668946,4911,34,162063,1375,1037,358,3336,493625,F
090276813,4680,93,102960,1375,1766,1076,6130,492829,T
472604403,4752,50,313632,1375,1268,717,3772,493084,F
194356782,4926,160,216744,1375,1582,1076,3291,492674,T
101920295,4751,42,418088,1375,1051,1076,3502,493171,F
280543353,1430,24,71500,1375,2728,717,4322,493177,T
365268224,4732,55,279188,1375,2440,717,3815,493496,F
006359540,4867,98,457498,1375,1532,1793,3577,492938,T
079532148,4737,45,426330,1375,4582,717,2864,493566,F
871303371,4897,121,200777,1375,1196,1434,5208,492920,T
540821031,4765,39,138185,1375,1239,717,4382,492851,F
456810266,4777,115,363052,1375,1494,1076,5710,492795,T
496768574,4721,60,188840,1375,1345,358,3413,493196,F
450130979,1460,25,129940,1375,1982,717,2977,492698,T
769146741,4996,49,459632,1375,1958,358,3610,493368,F
502015863,4751,146,313566,1375,32381,1076,4692,493310,T
822013003,4718,47,198156,1375,48572,717,3803,492949,F
939871730,4947,111,484806,1375,1022,358,4800,492764,T
444054879,4932,54,256464,1375,1680,358,3831,492748,F
555320717,1534,38,138060,1375,2891,358,3208,493336,T
593585664,4835,30,468995,1375,983,358,3626,493650,F
451329740,4853,129,373681,1375,1181,1434,3859,492758,T
337883485,4783,57,229584,1375,2874,358,3728,493215,F
685207625,4926,156,384228,1375,1674,1434,6722,493273,T
686174882,4818,31,173448,1375,1592,1076,3010,493671,F
283493541,4827,39,357198,1375,1176,717,3058,493299,F
067601738,1519,20,107849,1375,7039,1793,3205,493561,T
102026178,4973,27,452543,1375,1046,358,4456,493442,F
900562043,1415,7,137255,1375,69389,358,3103,493172,T
290413473,4699,151,234950,1375,18681,1434,3554,492812,T
720974044,4898,28,240002,1375,1341,717,3295,492767,F
922952850,1490,1,105790,1375,3765,358,3564,493208,T
278159458,4789,27,349597,1375,1026,358,4495,493374,F
039608192,4739,141,469161,1375,1635,1076,6460,492886,T
301426651,4727,28,392341,1375,69389,1076,3174,493094,F
389950320,1424,33,42720,1375,13877,358,3414,493355,T
773988137,4841,38,125866,1375,2891,717,3532,492869,F
354087316,4822,160,453268,1375,1106,1434,6583,493429,T
093355878,4947,48,183039,1375,1513,358,4354,493120,F
732415375,4836,93,232128,1375,1635,717,4677,493511,T
805048016,4828,54,164152,1375,16190,717,3684,493502,F
846179517,4973,33,358056,1375,22078,717,3791,492739,F
836293940,1406,15,53428,1375,6563,717,5014,492697,T
780472682,4759,134,180842,1375,13127,1434,6404,492925,T
686158357,4754,34,213930,1375,7962,1076,3376,493094,F
235436241,4902,117,205884,1375,3133,1793,3020,493652,T
302245352,4827,28,178599,1375,1264,717,3571,492726,F
017017874,1526,17,30520,1375,80954,358,3083,492936,T
008767429,4984,29,129584,1375,1772,1076,3279,493411,F
754088881,1442,48,106708,1375,1093,1434,2872,493063,T
788341332,4939,37,167926,1375,1522,358,3640,493513,F
836546511,4728,124,146568,1375,1935,358,6408,493476,T
452818048,4781,39,248612,1375,1079,717,3002,493263,F
066297959,4780,138,325040,1375,2335,1076,6137,493272,T
402098879,4859,38,310976,1375,1031,358,2830,492909,F
860154840,1504,1,126336,1375,1383,1434,3390,493498,T
096239763,4715,40,136735,1375,3093,1076,3623,493569,F
900547305,1379,35,39991,1375,1674,358,2879,493366,T
134443936,4882,34,244100,1375,1341,358,3815,492999,F
875308934,1409,12,95812,1375,2823,1076,4718,493476,T
934385304,4959,38,178524,1375,1537,358,3856,493651,F
948741210,4904,125,264816,1375,1640,1793,6670,492975,T
510486758,4923,31,403686,1375,1846,358,4544,492895,F
539235146,4834,131,444728,1375,1159,1076,3543,492983,T
429035235,5001,37,105021,1375,32381,358,3537,493325,F
080210861,4758,129,99918,1375,13127,1434,4643,493018,T
897554688,4998,45,399840,1375,1274,358,3756,493453,F
934141357,1443,56,79365,1375,1399,358,6450,493199,T
535176022,4929,40,266166,1375,7834,717,3814,492874,F
630826579,4859,111,272104,1375,1255,358,5724,492942,T
078228018,4820,60,159060,1375,2130,717,3315,493494,F
333822161,4686,117,248358,1375,3981,1434,3464,493588,T
079383239,4962,63,362226,1375,1098,717,3541,493450,F
565029426,4759,143,114216,1375,1288,358,6130,492832,T
878862357,4736,35,307840,1375,1338,358,3366,493344,F
005610237,4953,110,287274,1375,1229,1434,4554,493108,T
345085928,4780,50,219880,1375,2416,717,3638,493130,F
678211600,1591,23,95460,1375,1674,1793,4659,492711,T
420516377,4993,72,419412,1375,53969,358,3133,492993,F
122808675,1401,1,119085,1375,1974,1076,3713,492779,T
318577553,4856,26,145680,1375,1124,358,4326,493064,F
157702214,1608,35,33768,1375,2392,358,6424,492883,T
040388606,4808,48,254824,1375,4415,1076,2861,493437,F
332696758,1423,62,96764,1375,21118,717,4873,493286,T
907965048,4820,67,154240,1375,21118,1076,3488,493378,F
303374739,1417,18,99190,1375,2874,358,5041,493455,T
698691722,4978,36,233966,1375,1772,1076,2830,493093,F
514660037,4951,28,391129,1375,7039,1076,3769,493285,F
162879388,1515,62,74235,1375,1356,1076,4368,492980,T
006900006,1429,17,127181,1375,21118,358,5870,493160,T
080016311,4722,79,113328,1375,21118,358,3761,493144,F
399222988,4950,97,222750,1375,1053,717,6149,493273,T
048953837,4888,34,366600,1375,1812,717,3762,492876,F
287379142,4827,152,323409,1375,3707,1793,5940,492905,T
491250413,5010,48,175350,1375,987,717,2915,492775,F
