userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
700069068,1002,48,231462,447,12983,2444,10217,198334,T
821218197,1101,57,22020,553,3674,977,8123,198708,T
897072361,1771,11,256795,671,2071,1466,5148,199181,T
444583379,4322,21,825502,1187,4426,488,10725,198474,T
589373111,4291,33,995512,2050,2071,1955,5095,198879,T
259218913,1827,2,323379,456,3416,488,7453,198800,F
452579498,1172,35,78524,395,2116,2444,10313,199093,T
265275947,1760,11,260480,1138,11456,1955,4924,198927,T
484338843,988,54,95836,504,8852,488,10336,199101,T
554338329,4190,30,1026550,865,4750,1466,5454,198488,T
342732523,1059,42,139788,885,5564,1955,7936,199121,T
572651407,1746,7,249678,482,9737,488,5605,198569,F
378227822,1138,50,274258,415,2822,1466,7901,198689,T
388354152,1157,23,276523,1240,3674,2444,8308,199252,T
846113467,400,15,35600,501,3091,977,5353,199044,T
248543973,1715,14,286405,519,4426,1955,5138,199010,F
812485613,505,1,49490,462,7490,977,10050,198441,T
368529552,1817,10,265282,1837,7213,977,7405,199139,T
274062550,1072,19,82544,2667,2213,488,10300,198771,T
710275260,1736,35,279496,1442,2291,1466,5408,199205,T
290880647,406,10,74704,1035,3818,977,4844,198855,T
857238776,1717,13,386325,479,3245,1466,7302,198581,F
628554036,2558,58,268590,545,3606,488,5081,198972,T
535859149,397,12,24614,877,2071,488,5392,198719,T
212260615,459,1,61506,2318,5901,1466,5730,198389,T
984134527,1670,33,41750,473,6086,1466,4993,198344,F
806503380,1056,44,112992,479,5901,2444,7788,198416,T
211231174,368,1,53728,397,38951,977,10689,198744,T
477919929,1102,38,85956,533,19475,2444,5605,198925,T
057870918,1000,19,72000,1041,2238,2444,5853,198410,T
003258344,431,1,31894,503,4426,977,5026,198550,T
837007177,1792,14,129024,785,38951,1955,10331,198627,T
565209875,1066,46,130052,1112,4750,1466,9727,199084,T
025922315,1834,31,168728,881,32459,1466,5815,199028,T
405918322,527,1,41633,724,2213,1955,5625,199138,T
113156653,398,1,40596,676,12983,977,7314,198894,T
995760614,1690,1,277160,724,21639,1466,10108,198394,T
088510746,1046,41,229074,1854,2318,1955,5032,198667,T
744628580,1138,50,54624,785,8467,488,9778,198791,T
756873389,536,1,88440,409,3357,1466,7571,199102,T
173198391,1032,46,180600,429,7790,488,4876,199152,T
529383249,1717,1,388042,1432,3357,1466,10291,198311,T
527078512,506,1,90068,2071,9274,488,8237,199202,T
684011373,1068,38,76896,572,2822,1955,7453,198608,T
929872915,1120,40,152320,539,5263,488,5538,198893,T
533286713,1080,39,14040,486,11456,1466,10695,198624,T
460652837,381,16,17145,964,7213,1466,5450,198905,T
902740833,1725,1,50025,983,4750,1466,5800,198649,T
649679430,988,40,15808,683,7790,977,5217,198783,T
719424954,369,16,67158,597,2404,977,5384,198843,T
264182068,508,15,127000,794,5901,488,5740,198881,T
321269197,1040,34,248560,1872,5125,1955,7654,198693,T
642648856,514,1,65278,416,13911,1466,5386,198653,T
693200845,1133,36,91773,620,2404,1466,8244,198382,T
430021503,1826,15,224598,746,6282,1466,5329,198691,T
183533877,4299,32,786717,1391,2704,488,7483,198367,T
830077089,4222,21,895064,597,2163,977,7719,199090,T
562754846,1075,55,25800,905,3357,977,7962,198436,T
577524445,445,1,5340,1132,9737,488,10184,198877,T
733879013,449,5,6735,553,2631,977,9979,199151,T
961337749,1796,15,220908,653,2529,1466,8049,198595,T
647164705,1681,20,114308,901,3245,977,7795,198469,T
435989341,1808,4,442960,757,4750,1466,8314,199255,T
717401063,541,1,111987,590,5263,1955,5497,198754,T
059420258,382,5,56154,743,13911,488,5550,198586,T
522761949,1054,58,110670,700,2028,1466,7832,198700,T
729152049,402,1,44220,713,6282,2444,5301,198494,T
113805520,1791,2,302679,729,6282,977,9946,198513,T
665149106,1144,47,123552,501,2950,977,5666,198809,T
843469527,984,56,52152,441,5728,1955,7863,198433,T
820902548,1142,49,49106,828,3141,488,5110,199147,T
493360894,1821,16,282255,522,3477,488,7493,199278,F
839885694,4213,29,960564,1909,12983,1955,10018,198850,T
590388869,1837,29,415162,950,7213,2444,5772,199285,T
322423353,1719,34,417717,591,2140,488,5184,198900,T
621749808,4231,24,939282,2360,10553,807,3884,952875,F
895338580,1074,55,36516,740,2529,488,8318,198556,T
512735034,373,1,20515,1025,2596,1466,5719,199010,T
631212488,468,8,111384,475,7790,1955,5461,198967,T
779532477,1113,21,127995,544,1947,2444,7868,199014,T
785646541,1040,42,61360,443,2238,2444,5564,198989,T
980951844,1692,9,362088,983,6715,977,10516,198446,T
379285112,466,7,58250,404,9737,977,7773,198519,T
575823370,1112,26,234632,1194,2140,1955,7821,198538,T
060396794,1768,26,429624,729,1987,977,7735,198358,T
944985645,1092,57,220584,998,8852,977,5220,198695,T
710224428,471,1,58404,1088,2667,977,5036,198715,T
257787404,1789,3,363167,1025,3416,977,10464,199194,T
924892552,2611,53,532644,1967,3674,488,7311,198870,T
648559772,525,1,14700,418,5728,488,5315,199189,T
003247759,1014,41,90246,485,6955,1466,10448,198861,T
502922345,415,9,9130,1411,2465,488,10384,198655,T
701005061,1759,35,386980,1240,4529,1955,5067,198635,T
354996852,1015,18,150220,905,2188,1466,10049,198415,T
611315195,358,1,19690,1432,2188,977,5673,198904,T
075940858,1153,30,201775,772,3974,1955,10199,198867,T
353139774,1147,57,193843,959,2782,1955,5493,199061,T
779486379,438,7,74898,484,2529,977,7515,198708,T
833883077,1017,34,79326,2028,14981,2444,5775,198758,T
049074735,1795,8,281815,636,3043,488,5736,198827,T
373769115,998,52,190618,1194,2346,488,4874,198934,T
157970989,396,21,63360,602,3141,488,4840,199249,T
540323465,1114,50,114742,483,3541,488,5623,198840,T
755491956,1762,9,408784,2562,16229,1955,10420,198341,T
723498458,1075,53,142975,608,2465,977,7922,199255,T
593653132,375,12,84000,1622,9737,977,5201,198308,T
271835111,450,1,87750,636,21639,977,7733,199218,T
478609060,1642,20,256152,494,19475,977,5233,198415,F
193910980,549,1,86742,446,10250,1955,5013,198848,T
686614301,1697,30,375037,1041,11456,977,7888,198521,T
048543490,535,1,78110,973,2404,2444,5059,199019,T
710643133,1093,44,239367,1070,2116,1955,5021,199277,T
364319593,453,1,14043,2318,2094,977,5456,198617,T
199921903,1082,34,98462,595,3416,977,10483,198956,T
495378548,398,5,31840,794,2906,977,5409,198998,T
332392160,1738,32,118184,660,10819,977,5137,199221,T
244342971,976,19,206912,406,2028,2444,4975,198899,T
801613052,356,1,13172,400,3745,1955,5124,198797,T
794513354,357,1,52122,451,21639,488,7679,198616,T
005330080,1006,54,112672,1076,3300,977,4943,198495,T
602190689,1148,27,17220,424,2465,977,10174,198600,T
793686989,357,1,61761,602,2028,488,10346,199069,T
235739610,1828,6,387536,608,32459,2444,5655,198489,T
703686385,520,20,63960,1194,4637,1466,4998,198642,T
849790887,4241,35,890610,2318,4750,977,5035,198630,T
556502107,534,1,15486,411,12983,1466,7831,199228,T
829021861,1157,54,108758,567,5901,1466,5359,198415,T
166814624,385,1,70070,1217,2434,488,5077,198710,T
122123904,1734,21,287844,685,2291,1466,7889,199134,T
981010513,1097,35,29619,940,2050,488,7506,198603,T
794257711,1068,42,229620,2346,3416,488,8143,199296,T
670968151,492,1,12792,1421,32459,488,5695,199139,T
508704100,407,1,80993,642,2071,1466,7780,198569,T
614990967,1099,21,214305,1453,5901,1466,9975,199088,T
420794202,1136,40,224928,769,8852,1466,5126,198464,T
025972712,1789,6,293396,1464,16229,2444,5253,199275,T
850792840,1046,45,59622,634,2291,2444,5595,198311,T
722698256,1822,26,404484,1371,6086,1466,9985,198721,T
848015151,1726,12,260626,1442,9737,977,9882,199070,T
324461055,1013,25,73949,945,2094,1955,5113,198943,T
242878417,375,1,65625,889,4327,977,10515,199250,T
959351322,1010,56,94940,618,2631,2444,10349,199105,T
948198705,1128,40,226728,494,3541,1955,7531,199193,T
902982756,368,12,35328,760,2950,977,7718,199289,T
399644493,1648,12,280160,680,6955,977,5825,198709,T
484360773,986,56,152830,435,4637,977,9906,198469,T
955251822,498,16,91632,1570,2188,488,7506,199257,T
615877851,524,1,61832,614,3091,1466,7628,198782,T
817741090,1040,48,24960,501,8114,977,9933,198932,T
229155928,1720,26,73960,540,5125,977,5868,198573,F
121636065,397,17,57168,973,2140,977,7868,199222,T
728112106,976,21,154208,1019,6282,1955,5348,198476,T
404379348,4304,21,929664,1352,4993,488,9935,198336,T
066840022,1127,30,211876,1052,4327,977,7314,199031,T
639228533,1033,29,95036,1636,2163,1466,8266,199253,T
684804852,1100,52,232100,636,2140,2444,5474,198470,T
534290146,990,46,184140,434,8852,488,10493,198421,T
439607274,1031,34,210324,973,2188,488,7504,198598,T
121200245,1101,39,132120,479,13911,2444,7568,198790,T
415618182,1059,35,137670,419,1987,977,7706,199006,T
585330186,1814,1,194098,710,2950,488,5871,198901,T
017650315,1066,36,65026,779,2375,1466,5594,198731,T
390086555,1123,58,69626,398,2116,1466,10190,198890,T
381397018,1085,51,39060,1281,2496,1955,5673,198739,T
799715296,1159,18,180804,651,2631,2444,10484,198426,T
956410547,1123,51,29198,680,3141,488,5536,199263,T
773403163,1679,28,144394,801,2346,977,5253,198682,T
862687370,1825,35,361350,553,38951,488,10125,199003,F
077047624,1814,5,377312,910,7213,1466,10254,199124,T
387269841,1068,50,263796,556,12983,2444,7950,199014,T
827452376,446,7,60656,539,9737,977,5302,198995,T
126213745,1134,56,161028,452,9274,488,10202,198799,T
578269931,1782,32,197802,718,38951,488,10395,198449,T
604585662,1141,46,117523,700,2116,977,7464,198868,T
187926476,1058,53,174570,417,13911,1955,7721,198810,T
264675915,2602,51,551624,2465,7213,977,4882,198912,T
