userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
394312672,1269,77,82485,407,4637,488,5168,198532,T
041928127,1902,16,180690,407,1025,977,5494,198996,F
730281206,1227,77,101841,407,743,2444,5600,199294,T
892814785,1850,4,83250,407,9274,977,8066,198390,F
239426632,459,5,9639,407,647,1955,7907,199223,T
169137119,1811,25,105038,407,458,1466,5717,198719,F
911920015,1226,66,82142,407,2743,1466,5872,198505,T
966693648,1677,23,154284,407,475,977,5436,198696,F
984154313,538,1,16140,407,726,2444,5061,198312,T
559551424,1887,1,98124,407,19475,488,4888,199127,F
701979249,632,31,50560,407,683,977,5420,198322,T
073009404,1828,21,160864,407,1272,1466,5179,199001,F
872054287,1196,44,93288,407,620,2444,5734,199287,T
459747414,1682,20,168200,407,1486,1466,5399,198582,F
834864930,1271,46,66092,407,2782,1466,7774,199219,T
525870477,1911,16,137592,407,12983,977,8128,199176,F
251451139,571,43,37686,407,624,977,5555,198345,T
388128348,1792,17,172032,407,444,1466,4981,198894,F
994084393,1090,84,25070,407,456,1955,5635,198942,T
260775119,1803,27,117195,407,2318,488,5367,198566,F
446154060,1007,22,97679,407,3091,977,8257,198640,T
978929176,1918,35,105490,407,10250,1466,5266,198474,F
883558081,445,25,24475,407,513,488,7382,198824,T
769651467,1849,20,138675,407,12172,977,7953,199157,F
095749130,1154,18,51930,407,406,488,7969,198693,T
906457250,1809,17,99495,407,1475,977,7338,199217,F
348885185,632,1,41712,407,508,977,5311,198333,T
479105484,1891,26,183427,407,423,1466,5341,199177,F
223879083,1096,34,78912,407,540,1955,7409,198736,T
502869609,1926,25,107856,407,410,1466,5007,198463,F
560942608,1093,27,89626,407,1240,488,7303,198327,T
177711326,1647,20,49410,407,6086,1466,7739,198583,F
137209500,1015,40,25375,407,2007,488,10289,198362,T
485325350,1639,22,62282,407,3477,488,5801,198340,F
608614617,1190,62,72590,407,705,1955,9778,198728,T
385754860,1876,11,90048,407,7790,1955,5403,198971,F
268612695,1169,62,77154,407,3541,488,8301,198800,T
590979126,1643,24,141298,407,1025,977,5717,199137,F
807838637,612,1,23256,407,2140,977,9795,198687,T
136274793,1872,23,138528,407,584,977,5451,198991,F
663923659,625,1,23750,407,1693,488,5075,198646,T
417091806,1874,25,138676,407,3477,488,4932,199210,F
277722680,1007,32,36252,407,2007,2444,5231,198411,T
837279434,1790,20,153940,407,38951,488,5755,199302,F
556302633,1121,59,95285,407,1232,1955,10617,199283,T
266017649,1908,11,145008,407,538,1466,5599,199067,F
311346625,1211,51,70238,407,2375,1955,7835,198940,T
708649218,1853,8,163064,407,12983,1466,7396,198912,F
371121237,523,21,16213,407,693,488,7764,198566,T
125099367,1818,17,59994,407,1678,1466,5769,199097,F
250732224,581,18,36022,407,743,977,7404,198995,T
149938545,1771,61,79695,407,21639,1466,5188,198829,F
623169114,423,1,24111,407,411,977,7841,198480,T
462129738,1744,11,50576,407,854,1466,7502,199119,F
462588824,1257,51,99303,407,1272,977,4974,198584,T
396161877,1935,17,112230,407,2404,1466,5119,198717,F
328909334,1193,67,72773,407,427,2444,5586,199262,T
419232784,1663,18,146344,407,6955,1466,5176,198505,F
822903740,1196,83,26312,407,772,977,10056,199197,T
965646508,1904,9,167552,407,6086,977,5671,198851,F
278917710,1074,28,60144,407,14981,1466,9733,198413,T
328962521,1830,17,58560,407,38951,977,10380,199116,F
050115546,1067,48,88561,407,1187,488,9895,198521,T
180595310,1889,22,107673,407,6086,1466,4984,199093,F
488738018,1142,65,67378,407,708,1466,7618,198600,T
357178254,1832,16,175872,407,475,1466,5567,198556,F
929174257,1157,86,64792,407,504,2444,5267,198510,T
879338127,1652,21,145376,407,1854,1466,4897,199023,F
207269606,987,47,76986,407,732,1955,10367,198462,T
222879232,1898,23,149942,407,517,488,5876,198927,F
514158549,1196,52,27508,407,432,488,9766,198694,T
152856270,1771,49,154077,407,32459,977,7966,198402,F
549623239,629,30,53465,407,751,977,5457,198402,T
851145602,1707,23,150216,407,1533,977,5241,198669,F
948447482,401,1,38496,407,885,977,5330,198369,T
386581564,1735,26,86750,407,433,977,5793,198818,F
462136515,1247,86,102254,407,4327,2444,5458,198997,T
675709028,1866,53,139950,407,16229,1466,4875,198968,F
612682390,1256,67,42704,407,1180,977,5597,198473,T
713942320,1692,12,111672,407,2238,977,7290,199003,F
020680374,1058,70,103684,407,749,1955,7763,198393,T
499667739,1818,24,114534,407,21639,1466,5327,199078,F
314584870,581,1,52871,407,441,1955,5651,198427,T
565865907,1869,12,72891,407,3974,977,7708,199304,F
166091967,1090,24,94830,407,749,1955,7397,198445,T
386673337,1859,14,143143,407,4868,488,5518,198504,F
521066334,417,3,23352,407,478,977,10107,198786,T
009462283,1812,4,108720,407,7213,488,7697,198391,F
432368826,1045,49,76285,407,897,2444,10704,198546,T
247620007,1857,43,163416,407,38951,1466,5285,198532,F
718653065,1102,53,61712,407,491,1466,5802,199198,T
618207417,1689,39,84450,407,19475,1955,4987,198761,F
033205316,1665,29,93240,407,11456,977,7997,198726,F
459535910,1145,41,101905,407,718,1955,5280,198448,T
406204353,1063,26,62717,407,931,2444,5109,198777,T
035137263,1852,2,153716,407,27822,488,5119,199116,F
314236717,414,19,9108,407,581,1466,4935,198834,T
811384944,1800,25,95400,407,409,1466,5556,198693,F
528061150,1159,28,99674,407,2028,1955,10750,198634,T
386493479,1677,20,155961,407,24344,1955,7889,198775,F
