userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
133833629,5050,30,257550,4596,74122,477,10128,601709,T
025132633,176,13,12672,1864,42355,955,7224,601561,T
919758152,5070,43,268710,2066,10403,955,10365,600977,T
164603311,68,1,13192,4458,42355,477,7887,601295,T
890235592,4942,42,133434,4360,11627,1911,10528,601431,T
998817533,3625,101,79750,2010,6308,477,5754,601838,F
040094883,5006,20,370444,3615,6241,2389,10036,601047,T
095556335,4987,57,563531,1200,10050,477,10514,601734,T
080231636,4927,22,620802,1207,16942,1911,10050,600972,T
278039034,186,1,36642,2066,7231,1433,5140,601002,T
122629127,4883,39,161139,1193,16942,955,5063,601637,T
949931052,35,15,4690,1807,17969,1433,4939,601927,T
763800345,5056,535,672448,7231,84711,955,5643,601412,F
934524037,4991,43,434217,5541,13476,2389,7735,601010,T
133210874,4999,36,209958,2334,5989,1911,10344,601851,T
537444866,5054,17,793478,2164,9564,477,10401,601545,T
807099524,4940,48,182780,1912,6815,1433,8040,601963,T
234853690,102,1,11526,1190,6895,955,5179,601387,T
553836950,148,5,34484,1341,12890,477,7153,601901,T
910447757,5058,29,1001484,2770,11859,2389,10106,601702,T
624669053,4992,26,698880,2994,6376,1433,7295,601077,T
983278130,5055,32,80880,2381,23719,477,7137,601422,T
254314489,5081,29,213402,1222,7231,2389,9869,601062,T
922801548,5061,30,450429,5247,9564,955,7708,601630,T
879728972,1,1,204,1744,29648,1433,5698,601199,T
898740113,166,1,12284,2117,20447,477,5549,601615,T
032614418,4931,48,803753,2450,74122,1911,10006,601480,T
451187645,3614,92,39754,1552,6176,477,5061,600996,F
882712063,5036,44,1072668,2334,10588,1911,4921,601709,T
853091074,161,1,9660,1405,84711,477,7917,601384,T
212466413,4893,27,391440,3427,7059,955,9702,601250,T
741303644,3718,79,632060,7059,20447,955,5383,601865,T
321852668,4932,34,49320,2391,18530,955,10505,601186,T
688672830,4964,47,873664,1471,11859,955,5144,601406,T
687827181,4909,35,770713,2023,14118,1433,4835,601507,T
514960972,5076,42,847692,1275,7231,1911,4919,601116,T
935220953,4950,54,1183050,5247,12353,1433,5257,601388,T
991535866,4920,559,1092240,7320,74122,955,7400,601317,F
717366496,4962,34,759186,6895,14462,1433,9549,601859,T
548761976,149,17,5364,2003,6738,955,7354,601919,T
713085080,4915,54,668440,1385,22806,1911,8109,601530,T
276247412,4935,21,646485,3258,10403,955,10549,601689,T
890630488,4963,554,982674,2695,6241,477,5241,601226,F
024925375,4911,33,982200,1723,42355,1433,10040,601284,T
364912775,77,18,11858,1572,20447,955,5706,601222,T
599372920,4991,19,708722,1906,7906,2389,10015,601616,T
744854108,4951,23,762454,1405,12890,477,4879,601356,T
