userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
817491307,5052,35,298068,1258,9882,1911,7698,600967,T
257834449,3582,111,343872,1258,1888,477,4942,601283,F
652810366,5137,68,118151,1258,2837,477,5118,601495,T
529541892,3761,71,97786,1258,5490,477,4788,601405,F
587986459,59,1,2773,1258,1976,955,7899,601354,T
410870525,3658,81,131688,1258,1188,477,4859,600965,F
817270328,5120,28,460800,1258,3427,1433,7158,601866,T
247357210,3767,91,169515,1258,4089,477,5719,601647,F
034084567,3858,111,358794,1258,1395,477,5521,601157,F
098377702,122,24,5246,1258,3040,477,5355,601078,T
146451058,214,50,7276,1258,2647,477,7704,601221,T
647529124,3686,105,339112,1258,2810,477,4735,601410,F
383955832,7,1,658,1258,1280,477,7351,601547,T
874730344,3647,77,251643,1258,14462,955,5512,601895,F
686924787,5036,47,448204,1258,6738,955,7412,601203,T
120507128,3661,94,172067,1258,1876,477,5336,601046,F
788500027,4983,18,189354,1258,1556,1911,5650,601378,T
989791523,3673,115,77133,1258,10781,477,5699,601230,F
422363571,5157,57,402246,1258,2156,477,5672,601369,T
393504665,3825,69,355725,1258,19128,477,5122,601781,F
869648919,4923,55,339687,1258,2400,477,10209,601544,T
784953738,3858,132,273918,1258,5342,955,5091,601970,F
720691740,287,13,24395,1258,2720,955,5391,601526,T
888148018,3580,116,247020,1258,8593,955,5084,601692,F
834423957,5024,40,422016,1258,1269,477,5198,601109,T
154047926,3588,109,190164,1258,4983,477,5341,601070,F
157904224,277,25,27146,1258,3825,477,7582,601715,T
314933474,3844,102,261392,1258,1326,477,5290,601575,F
463298250,4980,85,124500,1258,1520,1911,8064,601827,T
553334630,3860,112,374420,1258,1243,477,5608,601382,F
167100683,5057,24,237679,1258,1847,1433,10281,601202,T
950644086,3782,76,347944,1258,1277,477,5388,601602,F
707622716,5114,49,301726,1258,6050,2389,10298,601004,T
956145994,3833,135,356469,1258,6176,955,5058,601907,F
034739994,4923,55,438147,1258,1291,477,7522,601785,T
568200697,3775,113,234050,1258,8471,477,4824,601476,F
360879369,3662,95,84226,1258,31209,477,5072,601478,F
229290343,5135,33,118105,1258,1807,955,10291,601412,T
497339118,4914,27,324324,1258,2044,477,10067,601222,T
162303617,3795,123,239085,1258,8850,955,4958,601020,F
987665560,4929,30,320385,1258,1303,1433,10337,601701,T
347799288,3579,86,118107,1258,1248,955,5484,601447,F
412080659,138,1,6486,1258,4860,477,9704,601599,T
426184660,3814,125,286050,1258,1202,477,5292,601854,F
793387217,192,11,12288,1258,1713,477,7186,601926,T
900090760,3570,81,114240,1258,2534,955,5331,601039,F
510028998,3618,115,256878,1258,4596,477,5313,601219,F
213827145,5170,21,418770,1258,1744,1911,5305,601646,T
835873086,254,1,15240,1258,1870,477,7871,601884,T
415515321,3607,137,187564,1258,2612,955,4963,601135,F
341895307,4930,33,108460,1258,8850,955,7859,601516,T
101479240,3751,83,123783,1258,1185,477,5293,601782,F
035802873,4970,29,352870,1258,1356,1433,7291,601426,T
679151514,3746,85,352124,1258,1744,955,4834,601572,F
026187972,5047,74,373478,1258,45613,477,10356,601278,T
182576131,3788,118,219704,1258,1363,477,4754,601283,F
205544271,4957,69,426302,1258,3683,2389,4730,601166,T
903856865,3655,81,266815,1258,5342,955,4791,601527,F
128347192,4903,83,151993,1258,2783,1433,7933,601882,T
338393060,3580,89,204060,1258,1512,955,5278,601502,F
151051856,4945,20,257140,1258,2837,1433,7478,601903,T
289843776,3840,136,226560,1258,3010,955,5050,601310,F
267614924,5178,42,264078,1258,1564,477,7414,601227,T
878410409,3571,78,199976,1258,1501,955,4782,601466,F
717301213,5117,38,363307,1258,1796,2389,4733,601394,T
940631167,3665,111,76965,1258,1435,955,5166,601067,F
129814097,4996,61,129896,1258,4033,1433,7150,601500,T
857801390,3623,83,275348,1258,2491,477,5565,601089,F
778751916,4966,76,124150,1258,5929,2389,5511,601400,T
398913390,3690,130,154980,1258,1516,477,5722,601731,F
110951316,107,24,3531,1258,1912,477,5385,601328,T
196233445,3833,136,111157,1258,1267,955,5188,601895,F
356899133,4887,35,459378,1258,1300,1911,9679,601081,T
020778163,3759,115,229299,1258,1900,477,4902,601298,F
370198969,4938,31,148140,1258,2979,1911,7500,601363,T
688099461,3575,105,89375,1258,4941,477,5734,601812,F
242278469,5162,32,144536,1258,6308,2389,9570,601004,T
614240109,3823,81,225557,1258,3137,477,5441,600997,F
112001482,143,1,12012,1258,1780,477,9820,601615,T
001173173,3672,126,275400,1258,2523,477,5195,601435,F
305765602,5139,60,318618,1258,1248,1911,10549,601517,T
840647016,3724,76,279300,1258,2797,477,5657,601972,F
935112370,201,23,8040,1258,1332,477,7340,601155,T
218123149,3648,100,233472,1258,23719,955,5661,601204,F
446250643,254,1,15240,1258,3258,477,4751,601021,T
386718716,3838,87,191900,1258,8593,477,4754,601198,F
526480652,13,19,1196,1258,4941,477,5332,601171,T
557821944,3798,127,148122,1258,29648,955,5448,601214,F
116509303,3610,109,238260,1258,118595,477,4763,601890,F
284093828,5048,33,287736,1258,24707,955,7932,601758,T
970885567,109,1,9919,1258,2683,477,9737,601361,T
759729657,3852,86,192600,1258,1471,477,5377,600996,F
802959345,193,1,6562,1258,1661,955,7661,601352,T
998666548,3584,71,358400,1258,3850,477,4774,601626,F
417619720,5046,29,161472,1258,1694,1433,7968,601293,T
693346908,3598,124,154714,1258,2254,477,5526,601628,F
030375572,172,1,7912,1258,1193,477,10189,601209,T
814348555,3752,106,333928,1258,1796,477,5530,601380,F
258802148,5038,74,473572,1258,2567,1911,7503,601695,T
276473501,3817,85,156497,1258,1225,477,4847,601473,F
