userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
977818279,1733,1,51990,1078,13274,1394,3061,353059,T
232804952,417,4,89238,983,18165,1394,3640,352856,T
688568581,4274,29,115398,710,4601,2323,3293,353153,T
333256991,4197,30,621156,1283,5309,2323,5813,353480,T
859313064,4271,21,563772,837,24652,2323,4798,353306,T
933397133,1767,1,83049,1575,7043,1858,3100,352951,T
635749932,4183,27,602352,4664,4368,1858,3682,352658,T
494031246,4253,18,710251,1042,15006,1394,5922,352640,T
792847479,465,1,68355,1237,12783,464,5690,353368,T
154398049,4332,43,329232,1042,69028,464,2849,353027,T
173437990,4211,36,960108,1568,5849,929,4674,353436,T
531686286,4306,41,185158,1036,4861,2323,3425,353484,T
968061016,604,1,97244,1012,69028,929,3386,352971,T
371541548,4176,31,551232,750,4261,464,5141,352550,T
899504450,1738,9,140778,1241,11133,464,3481,352978,T
563380479,4340,43,716100,821,3671,1394,3553,352851,T
035194845,1766,1,167770,958,23009,464,6114,353298,T
787085798,4327,11,592799,3792,18165,1858,5107,352854,T
551183345,4266,17,644166,1597,4424,464,5917,352740,T
767700482,4345,31,669130,1116,9082,1394,3552,353474,T
024330767,4175,36,1022875,1675,19174,464,4403,352694,T
179466048,1657,1,392709,1779,5392,929,5845,352630,T
781447828,4169,27,1033912,1106,11133,1394,6460,353002,T
933471513,4311,27,297459,1788,26549,464,5157,353318,T
387108828,4265,19,690930,3967,4727,929,6515,353171,T
240889043,442,12,15028,1085,4060,464,5975,353298,T
425623367,4165,9,254065,1494,6637,1858,4153,353516,T
840491995,4302,46,331254,1278,8217,2323,5618,352915,T
712950533,4194,43,616518,2066,3967,1394,3497,353434,T
535391106,4201,13,184844,940,7503,2323,4301,352896,T
910340353,4319,39,505323,3081,7190,464,4286,353289,T
045465884,4225,42,790075,3225,5658,1394,2761,352595,T
542350711,4225,25,1026675,1432,8628,1858,3520,353223,T
702760729,4233,38,482562,880,11504,1858,2905,352789,T
289437751,4254,17,472194,2595,4727,1858,3079,353113,T
478145516,4199,47,365313,1322,20302,2323,5038,352904,T
464944260,4337,21,936792,2117,4930,1394,3223,352910,T
420612564,4249,39,165711,845,4060,464,3767,352925,T
118930428,4174,22,392356,1612,12326,2323,4817,352614,T
753225364,4320,46,1010880,1533,5566,2323,5572,352777,T
384152420,1736,1,222208,1826,5392,1858,3276,352686,T
980915239,1633,3,396819,2347,13274,464,5690,352626,T
986484994,495,4,111870,1024,4060,1858,3081,352582,F
206143761,4361,38,252938,800,8849,2323,3408,352838,T
