userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
425069414,4303,53,210847,760,878,2323,3435,353179,T
356176897,427,7,15799,760,1481,1858,3446,353425,F
479457912,4194,40,83880,760,16435,464,6358,353020,T
412891697,520,7,26000,760,922,2323,2947,353284,F
790730056,4286,30,308592,760,1620,464,3295,352890,T
429261007,412,6,36668,760,1816,2323,2770,353140,F
364811656,4443,25,226593,760,7043,2323,3242,353307,T
933668200,485,1,46075,760,961,1858,3720,353241,F
014265450,4172,59,133504,760,1297,1394,4630,352546,T
030848780,434,1,18662,760,10458,2323,2769,353060,F
929290565,625,40,44375,760,3027,464,3445,352863,T
411855853,454,12,38590,760,1003,2323,3151,353097,F
943768433,4194,25,83880,760,2226,1858,6127,352612,T
959822879,468,1,18720,760,925,1858,3134,352639,F
337231000,696,1,25056,760,1700,1394,2858,352749,T
943840199,636,8,36888,760,766,2323,2978,353357,F
423495374,4234,25,342954,760,1760,1858,6360,352807,T
028357404,667,1,20677,760,1237,2323,3527,353429,F
698890362,1634,17,117648,760,1278,929,2845,353190,T
698760687,649,1,18821,760,1042,2323,3302,353121,F
139453906,418,1,27170,760,2900,1394,3625,352781,T
915310054,673,1,21536,760,1375,2323,3003,353369,F
813665934,4265,53,102360,760,2332,1858,5776,352966,T
132711259,419,17,12989,760,997,2323,2773,353531,F
938253921,4312,25,215600,760,1575,464,4841,352825,T
396207947,491,1,19640,760,2654,1858,3786,353381,F
020315231,4411,57,366113,760,5950,2323,5820,352858,T
389741406,626,1,22536,760,1268,2323,2824,352639,F
018920906,555,18,13320,760,2634,464,6426,353404,T
671055497,408,3,32232,760,1078,1858,3182,353259,F
910666872,4238,22,372944,760,1438,2323,6182,353140,T
405403693,442,5,23426,760,695,1858,3330,352735,F
621412796,4247,47,114669,760,1667,1858,4927,352704,T
702319712,601,1,41469,760,1124,2323,3028,353389,F
587629429,4403,35,88060,760,1021,464,3109,352830,T
111706164,414,1,12006,760,935,2323,3158,353392,F
643725363,4332,43,285912,760,1364,2323,5815,352531,T
259149481,445,1,22695,760,1287,1858,3767,353003,F
920636620,603,3,28341,760,713,929,5111,353217,T
531686308,503,1,44767,760,948,1858,3269,352774,F
134393034,4217,37,206633,760,1030,1394,6111,353126,T
884454667,580,10,15080,760,1297,2323,2796,353116,F
658131612,4377,45,148818,760,940,1858,5654,353408,T
547020238,412,4,38316,760,1474,2323,3691,353094,F
678641300,1862,1,115444,760,760,464,6246,352811,T
630792765,524,1,14672,760,1081,1858,2794,352602,F
335231203,4212,13,105300,760,1169,2323,5605,352578,T
030118801,531,1,20709,760,867,2323,3210,352712,F
746288315,458,1,28854,760,3417,929,5741,352791,T
266555186,642,1,35952,760,1605,2323,2930,352917,F
716900335,4311,71,418167,760,1928,929,6423,352583,T
979146991,574,1,11480,760,2634,1858,3039,352675,F
391220535,549,18,18117,760,800,464,3291,353295,T
037407521,456,1,19608,760,1816,1858,3285,353531,F
803538608,4270,75,362950,760,815,1858,3320,352554,T
579472833,581,1,23240,760,2396,1858,2797,352990,F
293200622,432,16,22464,760,887,464,4890,352571,T
380183141,639,9,18531,760,729,1858,3150,353051,F
930677637,4338,50,151830,760,8628,1394,3254,353302,T
149254797,409,7,15542,760,1597,1858,2772,353182,F
021461051,4460,27,374640,760,4930,1858,2797,352970,T
410845290,472,1,11328,760,43142,1858,2965,352699,F
448457903,4225,71,211250,760,723,2323,2742,353316,T
594610025,637,2,26117,760,11133,1858,3247,352933,F
795136574,1649,1,164900,760,717,464,5723,352770,T
596990621,456,1,11856,760,1513,2323,3393,352746,F
806958564,1595,14,46255,760,1232,464,2921,352897,T
112448290,595,3,19635,760,694,2323,3698,353004,F
506687657,4390,35,153650,760,1397,1858,4234,353265,T
297759126,689,1,57187,760,2300,2323,3063,353393,F
831432754,4248,39,373824,760,3166,464,2755,352889,T
636325028,438,14,30660,760,1030,2323,2910,353294,F
513784738,4285,32,239960,760,1380,464,3763,353008,T
395410270,533,1,27183,760,4314,2323,3612,352530,F
648550250,4339,16,364476,760,1845,2323,4557,353168,T
975113866,670,1,18760,760,793,1858,3224,352700,F
120986920,4411,53,436689,760,1358,1394,4601,353250,T
222912283,699,1,32154,760,972,1858,3553,353537,F
947061977,454,1,40860,760,1575,929,5632,352876,T
012132242,664,1,62416,760,829,1858,3511,352703,F
725219197,4182,66,112914,760,922,1394,3097,353495,T
431718795,621,1,26082,760,871,1858,3322,352583,F
434446968,4459,36,334425,760,4541,1394,5717,353015,T
221417387,489,1,44010,760,1219,1858,3014,353219,F
694816269,4420,34,309400,760,930,464,5100,353446,T
932199242,415,1,10790,760,2212,2323,3570,353266,F
384022687,1699,4,118930,760,1169,2323,2947,352637,T
460274264,529,1,35443,760,732,1858,3208,353527,F
823942800,1604,32,97844,760,1177,464,3735,352997,T
673154922,657,1,13797,760,1561,1858,3188,353503,F
017037965,4238,24,262756,760,3137,464,3549,353009,T
637463513,636,7,40068,760,1691,2323,3292,353346,F
524635106,4350,25,113100,760,903,2323,3696,352862,T
815330608,554,1,42658,760,57523,1858,2991,353379,F
352654260,4210,70,408370,760,3451,464,4613,352907,T
245452591,644,1,59892,760,1075,1858,3150,353082,F
306933828,4374,56,323676,760,729,929,3122,352604,T
251795726,672,13,18144,760,2806,1858,2784,352812,F
663236799,621,1,51543,760,784,1858,3273,352856,F
437849259,1600,26,94400,760,2226,464,3134,353026,T
