userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
445934430,2469,93,476517,4172,8161,631,4944,562406,T
859798914,3695,49,613370,2655,6767,631,4928,562775,T
612209160,2413,97,579120,3651,12612,1577,4092,562501,T
535760052,2356,84,497116,1387,42688,946,7131,562630,F
546745712,3940,10,847100,3171,7707,1577,5084,562854,T
772761269,1352,1,118976,4369,30830,315,3863,562875,T
295604562,4000,2,404000,1491,10276,1262,3990,562654,F
924013963,3544,58,542232,3908,11561,631,6678,562835,T
847906654,2385,101,317205,1881,6686,1577,7086,563134,T
522824539,3612,25,61404,2466,6378,631,3597,562450,T
091080782,2491,106,445889,3557,19136,315,3373,562739,T
018256712,2451,99,575985,1460,12064,946,6354,562947,T
794715061,4064,27,812800,1419,5605,1262,6469,562537,F
078571482,3693,63,842004,1441,23123,315,5119,563087,T
786080786,3557,34,487309,1219,46246,1262,3323,562406,T
623918217,2470,109,96330,5440,5662,946,5008,563219,T
469849880,3912,8,328608,1346,16816,1262,4910,563168,F
123732243,4068,32,699696,1247,13535,946,7164,562996,F
021866835,4038,3,230166,1190,17901,1262,5051,562808,F
494593452,2394,97,59850,2094,5549,946,7086,562843,T
603564830,2526,93,608766,1211,6235,1262,6503,562583,F
874953224,3590,64,890320,4172,6378,631,4685,562533,T
716889075,3541,60,439084,3303,13213,1262,5634,562792,T
045684871,3607,43,364307,1537,7399,631,3718,563243,T
449822144,3593,64,373672,4702,39639,946,4761,562530,T
729677982,2487,93,368076,1734,6235,1262,4907,562991,T
409987367,3693,31,310212,1475,8161,1262,5422,562844,T
353011961,2527,100,558467,2788,7707,1577,3151,562842,T
946138138,4055,16,583920,4404,25225,1577,3900,563171,T
861889316,2491,116,196789,3066,17342,946,6623,562825,T
098279214,3653,34,489502,2055,11561,631,3636,562937,T
424493101,4021,13,635318,2983,5780,1577,3118,562805,T
210831644,2360,99,167560,2499,7302,1577,7111,562623,T
194508793,2359,104,30667,3603,12064,315,6457,563075,T
330120864,3545,31,233970,2402,12905,315,5046,562899,T
468710546,3653,40,233792,4511,7499,631,4922,562388,T
583667880,1208,19,171536,1132,34684,315,4908,562845,T
602057641,3573,47,750330,4021,5721,631,7099,562353,T
255781969,2503,88,297857,3100,69369,946,4933,562325,T
773700771,3689,36,575484,1241,20553,1262,5363,562277,T
724122911,2442,116,422466,1550,7927,631,3396,562737,T
315572227,2398,85,199034,1196,8950,1577,3204,563277,F
280651099,3635,34,399850,1201,27747,315,6680,562852,T
768149553,5021,50,165693,3935,110990,946,4768,562599,F
544386748,1257,1,167181,2094,7707,315,3937,563005,T
103571431,3520,26,119680,2545,10881,315,4717,563093,T
797601953,4051,21,684619,7816,9097,1262,5051,562947,T
395968414,3588,61,204516,3207,14998,1262,3200,562408,T
247462865,2447,98,88092,1862,5662,315,5172,562658,T
977623844,2435,82,594140,1996,79278,631,6517,563206,T
265650493,3932,2,644848,1702,14604,631,7081,562598,F
669164539,2513,119,560399,2668,6528,315,7176,562524,T
673834846,1162,1,238210,1397,5780,631,3497,562671,T
358017913,3569,57,135622,2802,9568,315,3298,563184,T
891565310,3574,43,60758,4141,6166,631,6991,562605,T
214029653,3689,65,759934,2134,10672,631,3282,563078,T
305939858,2462,115,462856,4404,32644,315,4876,563147,T
535281640,2377,92,430237,1585,69369,946,5469,563163,T
802250449,3952,5,640224,2142,7399,1262,5668,563180,T
698253390,3939,4,839007,1137,79278,1577,5447,563028,F
075906674,2434,120,284778,1913,15415,315,5573,562590,T
357106589,4056,25,949104,1739,11325,946,6727,563250,F
049486402,2476,117,396160,1305,5721,1262,5593,562288,F
988785364,3629,28,54435,2951,8671,946,3753,562866,T
075660453,3583,39,748847,2331,30830,1262,3344,562410,T
152961468,1334,1,186760,1541,5605,631,4854,562379,T
149645934,2461,120,270710,2522,13873,946,4825,563245,T
959603325,3629,40,123386,2760,24128,315,3370,563005,T
549385736,1189,1,134357,1671,5967,315,3768,563220,T
571566301,3927,11,753984,7024,8161,315,4681,562566,T
345333075,1175,16,59925,3801,8408,315,3837,563079,T
494248488,3692,30,155064,1261,9405,631,7017,562576,T
812892984,3691,51,350645,1472,9568,946,3483,563252,T
061734810,2446,99,533228,3880,5605,946,7143,562747,T
046964289,2365,86,49665,3699,7114,1262,3496,563003,T
676500542,4029,1,946815,3468,69369,631,4139,562926,T
824538946,3541,58,201837,1394,7114,1262,4817,562982,T
884940729,3678,25,132408,4172,8161,1262,3721,562679,T
272735730,1174,1,239496,1761,17901,315,4045,562735,T
824244038,3515,45,421800,7927,7927,315,3719,562982,T
026305011,3590,25,653380,2444,6767,315,7071,562990,T
141395677,3562,26,879814,1452,6767,631,3265,562839,T
680206717,2369,104,225055,3557,9097,631,6697,563220,T
784055332,2398,111,79134,4335,13535,946,3894,562489,T
825613589,4024,18,635792,1244,14229,1262,4942,562304,F
219425986,2395,94,122145,1222,6098,1577,5576,562384,F
436172606,2396,88,551080,2434,11807,946,7068,562325,T
663430003,3972,1,957252,1321,5841,1262,3913,562812,F
972390257,1325,1,300775,1739,11807,315,3691,562736,T
788919305,3950,22,813700,1585,6767,315,6334,563192,F
493441982,3604,60,587452,2557,17342,946,4973,562330,T
707149329,2436,111,289884,1512,17901,1577,6320,562339,T
595462907,3963,1,776748,2434,7024,315,3871,562707,T
841980668,2384,115,209792,2802,13873,1262,3169,562588,T
482161929,1360,15,80240,1109,7024,315,3983,563233,T
186165253,3629,60,533463,2593,79278,946,4797,562539,T
459752722,3644,60,204064,6851,11325,315,5549,562981,T
983136414,2405,103,473785,4999,6606,315,4146,563155,T
688278333,3516,43,390276,2193,16322,315,5393,562730,T
136940378,2347,88,413072,1412,17901,631,7258,563016,T
857140288,4004,24,688688,3171,7816,1262,3109,562679,T
001336892,2363,104,375717,1165,11561,946,5088,562961,F
794330833,4062,10,995190,2999,10470,315,4809,562464,T
223294331,1260,7,153720,374,9607,439,1229,164380,F
353204261,2335,119,44365,2070,10672,315,4811,562545,T
377366363,3981,4,836010,2831,11807,631,7190,562467,T
215915582,4047,13,845823,1238,12905,1577,3736,562542,F
813009694,2378,116,161704,6235,42688,631,4861,562981,T
829886717,3965,21,697840,4702,5967,1262,3385,562460,T
437919286,2361,93,84996,1512,7399,631,6721,562468,T
716293174,2460,105,246000,1697,7707,315,3794,562771,T
992482134,3989,6,370977,1137,12332,1262,3985,562698,F
027655674,4000,20,772000,2193,13543,1078,3472,788255,T
186727088,2413,116,427101,3083,9909,1262,7110,562593,T
544843961,1246,3,16198,2693,10276,315,5338,563045,T
029063053,3935,21,637470,1165,5967,1262,3513,562669,F
017558666,4018,40,835744,2569,25225,631,4697,562603,T
847896286,2393,115,461849,1567,55495,631,5320,562906,T
313455991,3701,31,92525,1874,34684,1262,3986,563138,T
809061171,3643,38,754101,1366,7602,315,5568,563282,T
357934312,3681,38,375462,3135,15855,946,6980,562308,T
573239475,3627,27,275652,4439,15415,631,5332,563166,T
577398132,3919,20,685825,1350,22198,631,4770,563229,F
410869362,3504,29,718320,3383,55495,946,4134,562566,T
112005320,3585,44,663225,1784,10090,1262,3403,563173,T
007352846,2434,101,554952,1784,5549,1577,6856,562966,T
626948549,2447,97,102774,7602,12905,631,3831,562401,T
405180673,3930,20,844950,5235,16816,631,5073,562919,T
361314082,2524,100,146392,2159,8537,946,7099,562304,T
014845039,3671,55,502927,1170,20553,631,4829,562335,T
554395430,3524,48,359448,4784,23123,631,4690,562749,T
