userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
711558911,3755,36,356725,1784,1734,946,6547,563018,T
603491832,3978,20,294372,1784,16816,1262,5023,562438,F
238277224,3784,48,208120,1784,2102,946,5459,562870,T
612243476,4116,20,94668,1784,26426,1577,5215,562839,F
243926592,2449,150,161634,1784,2134,946,6468,562841,T
835094949,4078,14,330318,1784,61661,1262,5182,563253,F
837487971,2371,125,184938,1784,14998,631,6524,562829,T
512118798,4898,30,435922,1784,110990,315,7218,562394,F
505365076,3606,72,180300,1784,7602,631,4126,562929,T
837241935,4079,1,199871,1784,32644,1262,5493,562865,F
998266300,3792,73,246480,1784,1728,1262,3974,562406,T
510082466,3965,16,289445,1784,14998,1577,3717,562782,F
485885133,2605,105,169325,1784,1214,1262,4092,563267,T
709665519,4140,10,364320,1784,110990,1262,3696,563141,F
822522688,3514,41,316260,1784,5494,1262,4047,563268,T
234047728,4078,5,195744,1784,23123,1262,3879,563183,F
774464469,3562,42,178100,1784,1233,1262,4860,562740,T
420952318,4134,10,276978,1784,39639,1262,3244,562579,F
541853337,2457,127,127764,1784,1127,631,6332,562406,T
269349759,3937,1,125984,1784,29208,1577,4869,563159,F
117658397,3792,45,329904,1784,1594,1577,3495,562984,T
731437317,4104,20,348840,1784,42688,1577,4091,563121,F
395870789,2438,117,231610,1784,1676,1577,5176,562794,T
333156866,3904,12,148352,1784,20553,1262,5287,562315,F
093075831,2437,115,92606,1784,1887,946,6465,563022,T
513456568,4044,9,97056,1784,13213,1577,3494,562714,F
337359988,3700,71,251600,1784,2293,946,5480,562806,T
436871217,4073,1,207723,1784,15855,1577,4694,563255,F
182781141,3540,48,155760,1784,1887,631,3576,563065,T
537817592,4103,19,184635,1784,27747,1262,5185,562679,F
047224960,3749,43,243685,1784,27747,631,6630,562917,T
139583911,4080,18,314160,1784,10881,1262,4744,562930,F
537032397,2387,120,214830,1784,2511,1577,5686,562305,T
125767785,4037,10,343145,1784,14229,1262,3636,563192,F
708554848,3643,46,87432,1784,8808,946,5119,562614,T
497407042,4101,1,385494,1784,30830,1262,5461,562750,F
027680495,1373,1,49428,1784,46246,631,4957,562452,T
463473865,4033,9,169386,1784,14604,1262,5252,562616,F
269391682,2582,114,203978,1784,1520,1262,6958,562811,T
071978612,4926,42,413784,1784,110990,631,6705,563167,F
692551252,3609,78,101052,1784,4335,946,4096,562817,T
215141251,4001,20,140035,1784,11807,1262,3533,562559,F
204751180,3632,93,123488,1784,3303,315,3512,562652,T
