userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
120955762,1297,16,143967,1054,2623,2106,10966,260975,T
299991878,2924,1,64328,2653,7960,2633,5820,260747,T
995834797,4644,768,1017036,531,5368,2633,10710,261019,T
775970044,1255,2,72790,1817,2885,2633,8778,260767,T
543645754,2889,2,476685,565,3723,1053,8025,261031,T
137789324,4588,775,252340,942,3345,2633,8663,260830,T
910601740,4643,762,789310,588,4050,1053,8705,260771,T
667214690,2990,35,487370,541,2331,526,8766,260671,T
654303472,4127,23,647939,478,2482,1579,8864,260707,F
534079614,2968,18,575792,986,3297,2633,8556,260568,T
356688134,4074,26,1014426,634,46170,1579,8007,260675,F
005365889,4540,777,68100,2263,5630,1053,7899,261148,T
038076742,4654,63,121004,912,2593,1053,10553,260638,T
295964693,4636,761,945744,667,7695,2106,11100,260239,T
005832430,4758,67,951600,871,2653,526,10643,260919,T
987199973,4544,770,1004224,807,6412,1579,11047,260863,T
120028086,3043,33,395590,2308,3206,526,8629,260553,T
889753833,4556,763,487492,498,3078,2633,8156,260433,T
628432950,4061,30,499503,1049,2404,2633,8657,260308,F
370374990,4644,41,394740,687,2593,2106,5246,260644,T
756751881,4574,785,1056594,708,4911,1579,8860,260827,T
248092772,3669,119,418266,2079,2379,526,5796,260320,T
363429481,4671,751,224208,1202,12150,2106,10533,260667,T
155705298,1277,1,44695,2815,2331,2633,6176,260414,T
734806304,2994,14,377244,2308,20986,1053,5859,261065,T
122694618,1347,21,105066,699,2959,1053,5297,260580,T
979536306,1291,23,114899,761,38475,1579,5325,260989,T
711085193,4566,773,360714,629,9618,1053,11210,261165,T
824638195,2908,5,601956,1722,4526,1053,7862,260777,T
118632792,4694,759,291028,1803,3607,526,10574,260402,T
714461148,2928,1,720288,549,32978,2106,8212,260357,T
173263765,4574,754,457400,2355,2331,1053,7911,260312,T
357290898,4611,42,1129695,1357,3980,526,8158,260657,T
008020967,4077,15,807246,473,3078,2633,7931,260766,T
732685554,4681,776,950243,549,5130,1579,11198,260310,T
031865517,2868,26,298272,1735,3980,1579,11486,260275,T
595097173,4527,780,1091007,1803,38475,1579,8478,260356,T
343517105,2961,23,290178,3037,2593,2106,11440,261159,T
082101742,1421,15,187572,502,4122,526,5779,260714,T
836304700,4604,764,506440,1088,3445,1579,10918,260959,T
602049137,1257,19,289110,793,12825,2633,6244,260581,T
037140964,1275,1,210375,923,4526,526,8742,260678,T
384061939,1283,1,87244,578,2623,1053,11078,260909,T
003731166,4627,789,1050329,1892,13579,526,10948,260561,T
150457185,4702,48,164570,599,5496,1579,11175,261194,T
064717970,3017,27,564179,475,7695,526,11329,260883,T
576191387,3640,130,345800,3231,31436,353,1407,380798,F
555309852,4553,768,427982,908,19237,526,5802,261011,T
574209273,1260,6,212940,735,3445,2106,5733,260423,T
408623795,1256,1,141928,511,3847,2106,11020,260776,T
059554850,2987,1,295713,519,2781,1053,8624,260450,T
355682478,2906,4,209232,721,7695,526,8504,260640,T
527758223,3026,3,341938,665,2536,2633,5554,260885,T
552080013,4552,763,145664,3251,3445,2106,5632,260306,T
151273490,1409,1,154990,779,38475,1053,8729,260246,T
682932087,4094,32,1019406,534,28856,1579,8637,260605,F
045523344,4618,781,683464,1088,4711,1579,5976,261157,T
843174654,4655,752,325850,610,11542,2106,5582,260193,T
624816812,1354,1,189560,524,2536,2633,11476,261076,T
255781533,4596,774,491772,528,2482,2633,5976,261121,T
860971446,1297,23,263291,703,3723,2106,6085,260254,T
718910732,4152,34,552216,1137,12825,2633,6242,260272,F
512850031,2922,1,552258,477,4197,1579,8292,260270,T
274823392,4630,62,356510,1078,3847,1053,5388,260207,T
616540831,1407,1,46431,613,3723,1053,5510,261085,T
676157163,2896,5,196928,521,8878,1579,5751,260622,F
738178109,2913,31,565122,528,2482,1579,8652,260497,F
628676440,1420,1,68160,567,4617,1579,6019,261121,T
949494672,1282,5,66664,995,6075,2106,5677,260388,T
738226026,4739,58,549724,533,3162,1053,10767,260540,T
365943749,1367,3,215986,710,6075,526,11007,260204,T
424265909,4610,763,225890,1399,7214,2633,10762,260960,T
712511091,1320,12,56760,871,5771,2106,8702,260847,T
313189715,4574,64,82332,1165,10992,2106,10507,261108,T
200489768,4686,785,1030920,588,5018,526,10559,260277,T
114187607,1298,1,15576,942,11542,526,6115,260705,T
854842965,4741,46,862862,585,2885,1579,8641,261178,T
753804368,4667,46,798057,1518,8550,2633,5253,260746,T
119793398,4619,43,157046,1846,2959,526,11006,260551,T
064062541,2849,1,116809,2815,4911,2106,8393,261085,T
451252969,1370,1,268520,2007,3912,1053,10706,260331,T
923789326,4557,783,751905,465,6239,1579,7874,260943,T
608686389,4631,778,953986,1078,3345,526,11010,261051,T
645339270,3008,34,228608,1126,6412,1053,10767,260944,T
021675186,1388,5,134636,751,2684,1053,10986,260227,T
561130809,4693,768,769652,801,3297,1579,10517,260597,T
771731972,1405,16,281000,549,2684,1579,10706,260289,T
038760157,4638,761,626130,462,3847,526,11316,260416,T
852002909,4044,6,897768,2455,6995,1053,8345,260961,T
996635636,4713,60,952026,639,2781,526,11110,260204,T
425126371,1311,26,28842,986,2430,1579,5748,260323,T
299463123,4533,751,621021,671,28856,1053,11131,260464,T
784114687,2909,5,389806,531,4711,1579,5581,261046,F
842271784,2976,29,565440,1990,17757,2106,8610,260263,T
575089178,2856,33,685440,759,4197,2106,8229,260315,F
797030935,1389,20,134733,1073,4617,1579,11490,261190,T
038340397,1335,17,34710,632,2593,1579,6011,260894,T
448554047,3012,33,66264,905,2959,2106,8162,260804,F
909695770,4646,759,334512,475,3297,1053,11201,261013,T
014952323,2905,13,124915,1221,2455,1579,8678,261156,T
128446470,1344,1,255360,667,46170,2633,10881,260813,T
035215554,4558,758,104834,1710,2355,1579,5845,260700,T
192644531,2933,22,193578,489,8244,1053,5495,260637,F
329129310,4692,776,75072,2098,2998,1579,10744,260772,T
566064129,1406,11,91390,682,2850,1053,11277,260893,T
485439147,1420,4,305300,824,7695,2106,5522,260753,T
687655686,1328,10,213808,723,15390,1579,5782,261144,T
799699587,1279,15,193129,604,38475,2633,5977,260223,T
634308293,4581,784,696312,1008,6412,1579,11406,260384,T
255586698,1333,19,251937,1326,3078,1053,10806,260973,T
850660634,1302,21,161448,950,4439,2633,11446,260303,T
618184580,2850,16,250800,560,3297,2106,10560,260262,F
827892822,1252,2,47576,549,4526,2106,8204,260419,T
046498792,4710,771,1078590,493,3297,526,8115,260573,T
192910851,1307,6,256172,749,9234,2106,8806,260367,T
560921570,1260,25,308700,590,3119,2106,8331,260473,T
476102179,1371,1,60324,714,11542,526,5498,260828,T
227819308,2991,1,134595,714,9618,2106,11121,260646,T
122648750,4755,50,394665,1390,2355,2633,5703,260730,T
079552033,1349,1,82289,1637,9618,2106,11229,260419,T
308473922,1300,1,23400,2684,17757,2106,10799,260449,T
387492446,3014,19,545534,1247,2536,1053,7946,260783,T
816396999,3022,11,229672,466,2959,526,8451,261140,T
725324755,2843,23,602716,1104,4355,2106,8877,260893,T
073390798,2854,16,616464,772,2959,2106,6041,260666,F
425533012,2991,6,83748,689,8244,526,6059,260333,T
255547255,3676,116,643300,678,28856,526,7958,260213,T
693328305,4609,766,373329,815,2404,526,10814,260644,T
581698018,4608,72,534528,514,7214,1053,6194,260864,T
078868805,3000,15,174000,426,4243,419,2414,178917,F
985850719,4746,35,541044,861,3206,1579,6266,260567,T
505376581,1345,2,294555,1416,3912,2106,6139,260210,T
097258968,4035,31,500340,1399,3664,1579,8883,260702,F
412970937,1403,12,291824,714,3980,1579,10883,260339,T
451340704,4598,72,956384,461,4809,1579,5997,260512,T
300318002,4709,751,786403,833,14428,2633,8338,261152,T
132222930,4559,784,223391,657,4911,1579,11322,261020,T
499775328,4639,750,881410,630,2653,1579,5288,261059,T
429846763,4686,54,576378,1528,10036,1053,11152,260295,T
906636691,4704,778,992544,2241,17757,1053,10494,261174,T
957000990,4643,59,464300,818,2815,1053,5307,260849,T
051552424,4593,754,1097727,916,6995,526,7948,261059,T
657074885,2987,1,167272,1648,38475,1579,8110,260324,T
894599035,3012,11,409632,864,5630,526,8733,260264,T
553851253,4736,48,449920,1416,14428,526,5660,261023,T
587675897,4701,785,780366,678,4122,2106,6133,260602,T
563680885,4702,770,394968,468,3723,1053,6003,260502,T
943429584,4698,770,1132218,1861,3497,2633,5818,260988,T
220053275,1344,1,276864,473,4050,1053,11320,260957,T
850045549,2958,18,718794,3162,2404,1053,8312,260700,T
188242372,3006,7,468936,676,2565,2106,8620,261010,F
357925320,2919,26,353199,530,2536,2106,11125,260942,F
324145439,4007,47,653141,2061,2565,2633,8448,261130,T
128068019,2933,15,437017,554,5368,1053,5392,260527,F
856563212,2985,4,256710,1374,3847,2106,11174,260471,T
242028428,2913,10,317517,969,4122,526,5847,260414,T
114381332,4680,37,243360,3251,20986,1579,5536,260883,T
921956573,4584,769,68760,599,38475,1579,10610,260744,T
913298716,1355,19,52845,552,3119,2633,7946,260964,T
235402727,4687,70,937400,3037,2781,1053,5224,260371,T
498432041,4014,33,578016,620,9234,1579,8841,260235,F
860040585,4712,779,768056,556,2379,1579,10533,261034,T
782438136,1250,13,93750,2684,4275,1579,8780,260962,T
592468326,4658,50,996812,593,6789,2633,6017,260294,T
773498318,1438,11,319236,596,7446,2633,11443,260318,T
682812540,4042,44,650762,1221,13579,2633,8509,260593,F
266021186,1311,8,15732,1762,2998,1053,6154,260509,T
764032805,1317,1,205452,1508,3980,2633,6128,260759,T
209789970,4726,48,912118,1131,4122,2633,5382,260341,T
