userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
207816958,2849,59,245014,495,650,1053,5327,260959,F
620927397,1466,1,83562,495,481,526,5812,260690,T
401550673,4862,45,388960,495,1508,526,8757,261066,T
206836276,4010,36,336840,495,974,2106,10623,261095,F
148873339,4800,787,417600,495,730,2633,5793,260732,T
300222101,2931,17,202239,495,990,1579,6063,260353,F
143541195,4733,804,302912,495,1208,526,6068,261032,T
911497050,2906,21,188890,495,739,1579,5908,260589,F
664926704,1324,31,29128,495,545,1053,11058,260602,T
134154883,4055,77,332510,495,534,2106,7992,260300,F
119462555,4534,797,217632,495,769,1579,5599,260250,T
412744925,2887,19,196316,495,978,1579,10793,260592,F
014292998,4668,68,177384,495,1068,526,11355,260781,T
934598227,2878,19,244630,495,1208,1053,8085,260873,F
067562997,1444,1,109744,495,777,1579,10998,260758,T
441223466,3080,10,215600,495,742,1053,8483,260771,F
887314738,4664,758,424424,495,625,526,8583,260694,T
206462525,3112,8,245848,495,725,2106,10509,260656,F
507470457,4689,802,145359,495,565,1053,10864,260360,T
957164559,4149,41,385857,495,747,2106,10998,260503,F
036274941,1308,17,82404,495,756,1579,8592,260461,T
588008834,3088,52,247040,495,779,1053,8265,260889,F
145788654,4591,783,298415,495,3345,526,6039,260451,T
530506357,2874,29,270156,495,1068,1579,5965,261006,F
898269523,1300,49,117000,495,1268,1579,5592,260690,T
700609548,2911,42,174660,495,3162,2106,11349,260741,F
880429406,4867,79,209281,495,871,2106,8894,260513,T
883391863,3095,22,210460,495,855,1579,7973,260898,F
082562717,1254,32,47652,495,2177,1053,8663,260846,T
819708374,3104,41,270048,495,703,2106,8071,260686,F
245162651,4623,817,175674,495,585,526,8663,260864,T
993585016,2973,10,222975,495,7214,1579,5307,260738,F
592631750,1362,54,125304,495,479,1053,5596,261119,T
252743626,3003,24,93093,495,20986,2633,5607,260541,F
183877662,2934,40,287532,495,4275,2106,5903,261010,F
581923537,1275,36,75225,495,1049,2106,5220,260401,T
415900326,3064,24,294144,495,1672,526,10515,261182,T
068327295,4019,25,357691,495,623,2106,8295,260394,F
163689109,4546,754,272760,495,2007,1053,8570,260438,T
441877432,3025,16,245025,495,550,1579,5358,260239,F
612495594,4258,11,127740,495,46170,1579,8783,260444,T
419287386,4136,48,409464,495,759,2106,8818,261013,F
433038388,3102,17,272976,495,487,2633,8673,261162,F
648830693,1281,51,121695,495,1319,2106,11250,261131,T
689206571,1485,55,29700,495,1026,1579,5841,260583,T
807388459,3065,31,263590,495,2404,1579,11444,260513,F
099555014,4598,774,450604,495,1083,1053,11059,260529,T
975064855,4237,59,381330,495,714,2106,11290,260428,F
462482296,1528,28,42784,495,1148,1053,5371,261141,T
572119903,2952,31,197784,495,2042,2633,11283,260406,F
485667711,1498,1,122836,495,739,2106,7948,260369,T
263908385,2980,22,256280,495,714,2106,11475,260554,F
260900034,1310,30,68120,495,1697,526,5786,260663,T
455443164,3013,18,259118,495,934,1053,5654,260893,F
972110189,3102,45,300894,495,1923,1053,7867,260679,F
595766880,4655,801,381710,495,1775,2106,5620,260628,T
277498665,1284,47,57780,495,641,1579,10547,260996,T
948509720,2955,18,218670,495,544,2106,6167,260224,F
023955170,1356,1,84072,495,527,1053,8541,260832,T
438070758,4280,43,389480,495,1508,2106,11256,261068,F
992949280,4666,63,149312,495,2536,2633,5451,260474,T
136202772,2969,59,293931,495,529,2106,8495,260655,F
370954211,4749,769,261195,495,1094,526,10904,260447,T
332742858,2948,25,268268,495,3723,2106,6098,261067,F
060254013,1248,26,71136,495,1049,1053,11040,260715,T
789977812,3029,44,187798,495,1581,2106,10711,260584,F
845385714,4666,63,293958,495,565,2633,5473,261170,T
585055839,4149,26,352665,495,46170,2106,10855,261002,F
716177479,3019,17,286805,495,772,1053,5481,260372,F
142720541,4698,101,145638,495,11542,1579,5314,260418,T
011942288,4723,751,174751,495,1803,526,5955,261127,T
019077159,3119,16,258877,495,824,2106,8086,260762,F
365952109,3001,17,174058,495,4711,526,5898,261054,T
817274151,2895,32,185280,495,790,2106,8395,260332,F
111390929,1460,37,70080,495,630,526,8500,260850,T
988498209,3061,5,254063,495,501,2633,6134,260627,F
885664110,3084,27,74016,495,591,526,10897,261020,T
681200212,2957,20,97581,495,8550,1579,11010,260960,F
913399879,4778,784,324904,495,465,1579,11114,261074,T
267069833,3089,62,166806,495,6789,2633,6147,260521,F
330218987,1318,48,125210,495,492,2633,5529,260559,T
053599535,3043,41,209967,495,790,2106,10964,260705,F
739319635,1341,13,45594,495,544,1579,11119,260731,T
214781276,2903,54,214822,495,1026,1579,10937,260956,F
886360437,4580,35,444260,495,874,1579,8646,260317,T
864424464,2908,18,221008,495,1748,1053,10503,261168,F
931020096,4694,801,201842,495,665,2106,11235,260337,T
217103211,2906,58,177266,495,695,2106,11065,261188,F
271278306,1394,56,96186,495,1073,1579,8080,260271,T
780696890,2899,22,214526,495,2509,2633,10845,260776,F
160529377,4569,751,150777,495,473,2633,5821,260486,T
971413660,3070,62,214900,495,669,1579,10706,260714,F
621656753,1376,7,81184,495,617,2106,11200,260271,T
607065253,3103,33,248240,495,522,1579,8095,261143,F
271446476,1488,55,65472,495,744,1579,6119,260920,T
777275583,3116,27,215004,495,4122,1053,8846,260577,F
570327643,4813,777,250276,495,2748,526,8290,260601,T
865085912,2871,6,275616,495,737,2633,6192,260389,F
328359646,1368,36,43776,495,4711,1053,5369,260256,T
794738811,3124,5,249920,495,659,1579,5291,260980,F
