userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
421091374,4200,201,306600,1048,1077,861,5342,451432,T
003873746,4647,9,292761,1048,1644,430,3423,451483,F
948035909,4192,226,394048,1048,3558,430,5187,451315,T
144175747,4815,62,370755,1048,1315,861,4064,451600,F
535091093,4290,220,326040,1048,1179,430,3720,450861,T
013981406,4865,22,432985,1048,4430,430,7440,450971,F
593300219,4634,53,166824,1048,2138,430,5156,450724,F
579849967,4334,222,390060,1048,1395,861,3732,451115,T
760897779,4166,203,341612,1048,5294,2152,3664,450869,T
493617670,4629,31,245337,1048,1031,861,5155,450717,F
697112073,4240,198,390080,1048,1855,430,3397,451010,T
582472440,4772,37,429480,1048,2782,861,5251,450916,F
215351580,4170,209,341940,1048,5565,1722,7810,451154,T
045339669,4875,44,292500,1048,1254,1291,3672,450801,F
669329312,4678,71,350850,1048,998,430,3913,451603,F
087775306,4215,186,134880,1048,1824,1722,4250,451047,T
150109299,4242,229,279972,1048,33395,1291,7385,451335,T
669452658,4867,60,292020,1048,878,430,5252,450955,F
612447468,4311,234,426789,1048,2913,861,7608,451077,T
203095865,4679,42,336888,1048,1912,430,7149,451336,F
714531828,4673,44,322437,1048,13567,861,5517,451001,F
625009644,4362,189,178842,1048,7616,1722,6904,451527,T
468086137,4174,191,258788,1048,7616,2152,7574,451689,T
219106450,4689,38,117225,1048,1051,861,3593,451437,F
159792789,4372,183,109300,1048,1226,430,5879,450713,T
784074864,4652,48,386116,1048,3501,861,4101,450983,F
653658930,4406,224,273172,1048,12404,1722,3585,451127,T
750464587,4718,51,193438,1048,1014,861,5212,451631,F
610091967,4116,204,185220,1048,1209,1291,3486,450786,T
576213239,4624,32,332928,1048,6479,430,5126,451163,F
383416339,4132,201,252052,1048,7752,430,6958,451314,T
838358465,4648,63,343952,1048,5294,430,6087,451301,F
728770591,4270,198,320250,1048,1236,430,5593,451428,T
336427385,4670,12,434310,1048,1069,861,3619,451113,F
776376036,4213,240,353892,1048,1879,1722,7551,451287,T
797034384,4654,47,134966,1048,3648,861,5859,450830,F
218310487,4356,199,413820,1048,1145,1722,7153,450911,T
040227382,4755,44,437460,1048,7893,430,7266,451017,F
968153601,4144,232,132608,1048,2933,1722,5828,450880,T
394725145,4743,29,94860,1048,943,861,3842,451050,F
145777291,4736,58,179968,1048,966,861,4145,451032,F
207365788,4282,201,175562,1048,4569,1291,4355,451185,T
776947311,4362,225,388218,1048,1556,2152,3749,451097,T
114569910,4894,46,132138,1048,910,430,4340,451334,F
483088040,4812,10,178044,1048,1534,861,3876,451121,F
162478247,4120,241,362560,1048,887,2152,7095,451502,T
610977243,4737,25,184743,1048,2138,430,3514,451224,F
964134764,4229,204,291801,1048,1904,2152,7474,451020,T
928005137,4271,227,341680,1048,1344,2152,5787,450875,T
973779353,3446,24,82704,1048,72357,1722,4402,450911,F
362979580,4289,189,394588,1048,933,1722,3951,451294,T
240405670,4839,14,474222,1048,1517,430,7525,451334,F
749201752,4370,234,218500,1048,1545,430,5227,451177,T
214917437,4809,19,129843,1048,5495,861,5866,451449,F
804967998,4149,208,302877,1048,1056,861,5946,451002,T
733770051,4875,30,477750,1048,1824,430,5755,450796,F
186447176,3816,239,370152,1048,2138,430,3632,451347,T
156368558,4765,48,357375,1048,1839,861,5628,451438,F
927472189,4750,70,118750,1048,16697,430,3406,450995,F
040359080,4301,175,210749,1048,1284,1722,5529,451651,T
317051477,4885,63,454305,1048,2181,430,3536,451129,F
505539398,4121,221,321438,1048,1779,861,5960,450884,T
996601089,4221,194,194166,1048,1414,430,3647,450777,T
444680428,4618,20,406384,1048,1904,430,7582,451357,F
077954398,4410,185,255780,1048,1110,430,6004,450888,T
766362066,4723,10,330610,1048,5712,861,4064,450917,F
128244600,4790,21,210760,1048,3558,430,7258,451503,F
435032860,4264,201,221728,1048,1545,430,5852,451390,T
152750279,4014,266,244854,1048,3876,430,4078,451027,T
906817615,4826,53,217170,1048,1280,1291,3498,451182,F
847900675,4330,227,255470,1048,2249,861,6109,450960,T
193388477,4797,72,100737,1048,1545,430,3801,451412,F
647344594,4334,228,117018,1048,1113,1291,3580,451483,T
726358803,4677,22,458346,1048,870,861,3996,451094,F
754625120,4393,192,412942,1048,1319,861,4069,451532,T
310988306,4716,20,273528,1048,3445,430,3998,451377,F
578771276,4916,54,152396,1048,1240,430,4338,451157,F
115256304,4247,194,178374,1048,1151,430,6111,450805,T
728320320,4214,237,235984,1048,4385,430,3917,451534,T
903042835,4778,38,329682,1048,1226,861,5861,451447,F
301073948,4344,194,360552,1048,24119,1291,7573,451650,T
395393175,4806,47,273942,1048,7893,430,6940,450789,F
093180721,4887,29,244350,1048,1061,1722,3652,451293,F
640053384,4377,182,214473,1048,22849,1722,5152,451115,T
162561337,4792,15,196472,1048,1051,861,4158,451152,F
528251827,4375,174,175000,1048,1186,1291,7713,451100,T
270660030,4368,239,406224,1048,2087,430,7390,451646,T
060488248,4741,35,156453,1048,929,430,4425,450716,F
308501147,4150,200,145250,1048,1327,1291,4409,451022,T
799250760,4737,12,165795,1048,1262,861,3432,451134,F
208254706,4190,186,259780,1048,8682,1722,6130,451557,T
959539211,3287,18,315552,1048,72357,2152,4123,451518,F
791415099,4733,17,217718,1048,1219,430,4021,450843,F
049603886,4300,198,339700,1048,1644,1722,7373,451618,T
436979661,4172,174,208600,1048,2077,861,7071,451251,T
146723901,4720,31,453120,1048,1323,430,5638,451468,F
835747739,4313,228,301910,1048,2019,1722,5189,451159,T
931953979,4656,76,148992,1048,1556,861,4058,451193,F
925782029,4280,175,188320,1048,1033,2152,4092,451139,T
813321489,4862,17,281996,1048,984,861,4370,451204,F
