userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
198378743,3890,55,731320,523,2902,2584,7790,277528,T
382576798,4284,93,471240,602,4257,516,10320,277394,T
081631090,2375,34,66500,682,3405,516,5181,277449,T
698198898,4175,62,279725,670,2746,1033,10864,277713,T
015279768,2619,184,28809,1365,12771,516,5823,278081,T
690533378,3780,26,143640,1096,9460,2584,5584,277316,T
280300861,2192,8,442784,1323,19647,2067,5319,278152,T
708881336,2405,29,115440,1596,3004,1550,5282,277610,T
635459232,3876,55,569772,800,3597,2584,6128,278087,T
043202188,2224,37,378080,877,7095,516,8269,277999,T
762777825,3161,622,648005,587,2902,1033,8626,277876,T
209332256,2428,9,604572,715,3451,2067,5225,278185,T
783767346,3064,615,655696,606,6549,516,5264,277487,T
732928403,2462,27,78784,1021,2688,2067,8129,278098,T
079139288,4208,86,820560,638,3360,516,7777,277525,T
427442257,2295,29,424575,616,3756,1033,8378,277557,T
477478584,3898,47,537924,1714,12771,2584,10980,277926,T
233582139,2307,16,41526,1264,4403,1550,8069,277956,T
781076719,3789,44,215973,889,2688,1550,11305,278032,T
965221626,4300,62,675100,563,3004,516,10664,277379,T
721646175,3889,36,486125,703,3498,2584,8226,277794,T
810028613,2380,38,402220,771,2869,2067,5743,277640,T
226683310,3828,37,528264,548,5108,2584,8079,277249,T
690231536,2404,32,108180,764,2746,516,11305,277672,T
199334966,3204,605,493416,1811,3317,516,11201,277478,T
490044998,3170,615,706910,618,4481,516,8409,278144,T
983309057,2411,6,286909,2343,3451,516,5165,277683,T
809624082,4267,92,576045,611,11105,2067,6036,277577,T
577399180,3209,622,738070,1403,3317,516,5575,277605,T
731387922,3801,59,475125,1009,2746,2067,10688,277504,T
161786117,3812,19,590860,522,3317,2584,5641,277511,T
998728925,2288,17,569712,1222,4187,516,8168,278110,T
002839570,3868,19,789072,579,31927,1550,5746,277541,T
916380137,2327,33,337415,1467,3192,516,11241,277964,T
985305349,2605,187,302180,1380,19647,1033,7960,277996,T
284776614,3888,148,905904,1365,9122,1550,8002,277521,F
890037478,2238,22,557262,1204,5212,1033,5788,278023,T
114532009,2425,22,194000,2301,3317,1033,7770,277986,T
412663537,2223,25,484614,935,12771,1550,10333,278056,T
462280766,2273,9,322766,2027,7512,1033,11155,277398,T
835189273,3967,26,718027,733,2935,1550,10713,278120,T
211424715,2213,19,427109,1964,2688,516,7806,277242,T
403574808,3862,47,895984,3648,2633,2067,11198,277479,T
499142482,2344,8,220336,1725,3990,2067,7798,277817,T
791518318,3949,41,497574,1059,8514,2067,7969,278002,T
793258716,4233,73,808503,2027,4911,1033,8120,278157,T
933678862,2398,23,311740,609,7095,516,10512,277952,T
847081486,2451,22,330885,834,25542,516,5950,277884,T
302642718,4302,59,81738,651,3648,2584,5809,277935,T
393972449,3842,33,422620,526,3990,2584,10319,278007,T
678992689,2374,40,194668,769,21285,516,10397,277492,T
631912499,2327,13,146601,697,3317,516,5361,277397,T
386412778,4268,60,990176,877,3153,1033,11223,278174,T
093996315,2484,176,295596,1737,23220,516,11283,278025,T
083295476,4206,79,996822,544,2806,1033,5302,277669,T
182277138,4131,77,400707,649,5321,516,11144,278136,T
047643130,2194,23,539724,918,2633,2067,5819,277389,T
461935531,2519,216,191444,1520,15024,516,5133,278135,T
470299144,3808,59,323680,594,3114,2584,10759,277786,T
821728670,2411,14,245922,912,3405,2584,5991,277510,T
077869302,2437,17,99917,1009,4911,1550,11113,277359,T
117263107,3838,27,694678,2479,2660,2067,8366,277744,T
334283696,2220,12,466200,1227,10216,516,10935,278134,T
598550665,4181,84,79439,545,3498,1033,5481,277937,T
764493920,2598,180,574158,682,9460,516,10770,277480,F
998106549,2273,1,134107,1296,2838,2067,5843,277566,T
098927881,2217,42,525429,1330,2776,2067,6131,277972,T
185673543,4268,87,268884,690,11610,1033,7726,277605,T
586099674,2278,28,480658,974,7297,1550,5595,277292,T
513788990,3906,49,738234,986,3498,516,10478,278125,T
450982539,2297,38,443321,908,3274,2584,6064,277528,T
507679984,4250,65,803250,755,4481,516,5721,277872,T
105572692,2244,18,289476,1055,8239,1550,6086,278028,T
526960559,2628,190,515088,1082,6721,516,5812,277398,T
216124213,2549,179,532741,1964,25542,516,5402,277997,T
377493059,4282,93,256920,764,17028,1550,5772,277726,T
611562373,3970,143,825760,905,11610,1550,8240,277880,F
486784617,4262,85,149170,592,4819,1033,8348,277949,T
379403971,2445,8,540345,622,3547,1033,5806,277954,T
684876298,2437,2,375298,1216,2806,1550,5123,278016,T
052138785,2343,7,65604,1115,5940,2067,8033,277543,T
275458048,2303,10,345450,1949,3077,1550,10974,278121,T
564618876,3952,40,679744,2869,2902,1033,10701,278017,T
289514835,2407,9,192560,555,3990,516,7983,278053,T
888250348,3798,31,334224,629,2746,1550,10298,277667,T
781010414,3778,59,139786,592,9460,1550,11314,277746,T
595021002,2346,6,297942,526,21285,516,8063,278144,T
284915147,3895,30,116850,1150,12162,2584,10809,277658,T
586544636,3820,38,878600,776,3870,516,10300,277752,T
555819260,2307,17,249156,778,3317,1550,5194,277878,T
030063426,3866,130,734540,2776,10216,516,10593,277721,T
475766216,2347,16,56328,831,11610,516,8585,277410,T
763199647,3823,24,145274,606,18244,516,10338,277693,T
090737617,3870,39,255420,538,21285,2584,11324,278067,T
873202673,2316,34,169068,533,5008,1033,11048,277734,T
798088432,4245,69,721650,733,10216,516,7862,277575,T
632538288,4242,76,924756,1773,3405,2584,5892,278066,T
675099368,2423,26,179302,626,4119,1033,11112,278216,T
664063653,3826,54,772852,1637,7095,2067,10467,277912,T
727168887,2262,20,445614,2869,2717,1550,10583,278241,T
215102026,2525,180,484800,1824,25542,1033,7782,277609,T
316784510,3835,109,705640,1920,10216,516,7786,277666,T
600736189,3125,636,706250,1145,7297,2067,6154,277846,T
245578911,3893,56,463267,3233,11610,2584,5406,277936,T
448411151,2228,10,376532,871,9122,1033,8368,277721,T
360691110,4200,85,88200,1864,3040,516,8104,277782,T
189611889,4134,76,694512,567,5108,1550,6100,278143,T
965815107,2611,177,292432,3077,7981,516,8162,278100,T
710923637,2456,1,135080,971,42570,1550,5300,277293,T
250333563,4282,88,128460,1222,2688,1033,5144,277654,T
156909713,4234,89,368358,534,6549,1033,7977,278057,T
305589176,4110,96,135630,746,3597,1033,8373,277586,T
493987268,2239,13,490341,2554,3192,1550,7879,277508,T
811248465,3888,40,272160,554,8807,1033,10301,277722,T
065697293,3888,123,680400,1616,14190,2067,5931,278024,T
586961144,3889,36,163338,1145,23220,516,11033,277751,T
272177765,3955,145,684215,2455,15963,516,8392,278004,T
601049387,4304,91,817760,568,4187,2067,5273,277819,T
270827935,3835,33,855205,3153,3990,1033,11045,278135,T
328483741,4203,74,983502,577,12771,1550,5240,277980,T
962971627,3109,623,606255,2343,4819,1550,8104,277417,T
959603430,3827,44,826632,826,9122,2584,5973,277536,T
217808110,4172,79,617456,629,3451,1033,8719,278141,T
048198435,2430,32,320760,635,3360,516,8245,277794,T
074388217,4299,66,98877,805,12162,1033,8277,277916,T
155907856,4287,66,767373,632,3317,516,5673,277931,T
761912464,4280,69,303880,592,3929,1033,10332,278179,T
842875538,2305,14,543980,648,3004,2584,5522,277436,T
499520753,2462,191,453008,672,15024,516,5835,277592,F
859049597,2269,5,161099,2280,6081,2067,5176,277315,T
614164781,2247,8,512316,1182,2935,516,5574,277474,T
922658629,4270,69,444080,808,9122,516,8223,277410,T
468517726,2568,185,626592,757,9122,516,5703,277272,F
872276427,2610,204,602910,3597,3990,516,8444,277253,T
590091767,2193,33,464916,1193,4187,1033,8286,277328,T
377827672,2337,1,413649,594,3192,2584,5951,278165,T
468949352,4234,75,436102,681,3153,516,10970,278100,T
667321069,3069,638,696663,2164,2838,2067,8387,278014,T
118876990,3949,50,177705,1419,21285,516,10865,277449,T
339384878,2222,25,428846,918,11610,1550,8668,278190,T
808281513,3893,46,210222,928,6903,2067,8408,277462,T
999616912,2368,17,305472,653,5108,1033,8416,277253,T
548031300,3939,28,63024,666,5676,1550,10829,277837,T
205172108,2543,177,330590,1658,13443,1033,5750,277768,T
833471197,2206,22,478702,606,3114,1550,6096,277572,T
532384728,3126,639,725232,834,5108,516,10777,277577,T
904355737,3946,45,240706,1702,6081,516,10508,278191,T
332629096,4265,80,196190,1264,11105,2067,5205,278225,T
722426193,4204,76,786148,2660,3040,1550,5986,277516,T
895972848,3802,39,174892,1878,4481,2584,5441,277522,T
512989582,2293,26,348536,1115,3004,1550,8744,277853,T
972801606,2276,7,550792,1316,2633,2584,7911,277933,T
349827442,2382,21,292986,624,10216,1550,6120,278040,T
487048953,4131,58,338742,1443,2806,2067,5563,277926,T
789352750,3886,25,182642,725,15963,1550,10551,277533,T
336000756,2447,10,227571,591,4403,2067,8282,278071,T
350167010,4221,78,1013040,805,2688,516,10434,277681,T
