userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
927028988,3865,46,355580,538,2343,1550,11116,277314,T
751405069,2555,184,204400,538,15963,516,8368,277591,F
024805723,2423,18,96920,538,8239,516,11104,278042,T
482186467,2589,209,88026,538,23220,516,5989,277967,F
260218939,3863,49,289725,538,609,2067,10350,277656,T
010278989,2515,244,206230,538,25542,1033,7847,278213,F
525647254,4279,107,188276,538,1906,1550,11295,278173,T
477004357,2575,231,249775,538,51084,2067,5673,278148,F
562384382,3954,39,280734,538,675,1550,11157,278138,T
660121726,2509,196,85306,538,51084,2067,5253,277942,F
032710872,3880,59,155200,538,1616,2067,8388,277405,T
883100676,2480,194,109120,538,51084,516,11014,278029,F
056202709,2389,20,164841,538,755,1550,8524,278052,T
493997979,2545,184,139975,538,31927,1033,5746,277541,F
712468554,2561,64,69147,538,1051,516,6159,278017,T
017677667,2689,189,75292,538,36488,1033,7832,278213,F
503108593,2365,28,177375,538,36488,1033,7955,277848,T
705885582,2560,246,186880,538,42570,1033,6039,277381,F
985460623,2380,46,228480,538,589,1550,8071,277561,T
054871374,2616,226,180504,538,36488,516,8453,278092,F
092784679,2477,53,193206,538,1323,1550,5877,277510,T
857336704,2650,196,76850,538,28380,1033,8245,277964,F
749533691,4351,88,182742,538,605,1550,8190,277312,T
358079016,2526,197,55572,538,15963,516,7777,277789,F
642525527,4185,111,200880,538,1199,2067,5955,277831,T
004340278,2702,232,62146,538,14190,516,6068,278197,F
045870396,4213,98,315975,538,577,2067,5312,277727,T
764166926,2690,210,158710,538,15963,516,5558,277802,F
576040091,3795,34,356730,538,12771,2067,10906,278057,T
