userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
445461648,1545,24,313635,491,1814,308,5013,183135,T
946555024,915,1,172020,418,2309,924,6718,182463,T
264909132,1573,18,361790,1469,2168,616,4855,182854,T
477928336,1521,11,246402,393,11856,1232,3623,183099,T
134416293,897,16,141726,577,2822,924,4838,182819,T
879911403,873,1,23571,471,3866,1541,7142,182416,T
106563577,1715,1,394450,513,3487,616,3773,182778,T
455939130,889,1,107569,2540,8083,616,6859,182482,T
982894285,1658,1,366418,635,2092,1232,5239,182629,T
878495452,1695,1,272895,1261,3952,924,5092,183211,T
574408017,1705,12,398970,399,2694,1541,3729,182331,T
243880579,1629,3,193851,1288,3952,1232,4762,182319,T
025981968,3180,212,677340,2130,42333,1694,3807,722069,T
866943464,3119,194,71737,1998,22230,308,3767,182838,T
089484866,1583,24,378337,1243,4337,1232,3974,182371,T
510976079,877,1,189432,499,7732,616,4966,182209,T
131272360,998,24,69860,720,2504,1541,3296,182311,T
311250366,917,8,103621,1058,2868,308,6508,182330,T
180479644,1604,1,234184,512,2044,924,3410,182668,T
953898402,868,21,24304,474,4234,308,3833,182469,T
225271843,878,1,64094,481,14820,924,6981,183169,T
726205019,1590,10,130380,916,7732,308,5322,183105,T
760553497,927,1,84357,702,2540,1232,3347,183155,T
802748721,981,1,25506,1111,3233,1541,3896,182780,T
297870372,1012,1,49588,1891,3175,616,7049,182445,T
700845523,1699,32,248054,363,9360,924,5358,182741,T
685968218,904,1,28928,1261,8892,308,6618,182937,T
111796145,1586,11,320372,373,29640,924,4613,182681,T
657708968,980,1,164640,1040,8892,924,5414,182759,T
114910223,1709,5,232424,993,1954,924,3606,182873,T
621318324,1538,22,235314,407,1872,616,3315,182371,T
126151034,1014,14,78078,988,2504,308,6860,182355,T
238262397,924,6,159852,404,2778,616,3206,183027,T
550149156,1652,9,280840,428,2309,616,4042,182921,T
091049443,1031,3,80418,376,1814,1541,3488,182593,T
442325948,3259,221,589879,390,4041,1541,3173,182230,F
976220166,848,3,125504,381,2436,1541,5582,182582,T
233427885,1672,20,198968,663,2280,308,3399,182762,T
630948060,955,1,165215,377,2251,1541,4734,183053,T
831028178,852,19,46008,535,6840,1541,3527,182893,T
129767848,1011,1,117276,666,3014,616,6323,182721,T
348148044,988,2,147212,401,2964,308,3451,183091,T
925198538,1538,18,56906,773,9360,616,4833,182812,T
433305242,916,12,163048,827,3556,616,5048,182824,T
905759770,933,23,109161,552,5928,1541,7079,182569,T
222695600,869,1,131219,435,1933,308,5132,182359,T
427319761,1549,31,153351,408,17784,308,4647,182272,T
093972568,911,1,38262,717,8083,308,6894,182212,T
611682099,1023,1,192324,747,5389,616,6821,182724,T
067950544,867,8,149991,705,2403,1541,7153,182277,T
988842607,950,22,161500,359,5736,924,6181,182979,T
215234994,890,15,82770,387,1796,616,6401,183034,T
738762724,3246,232,649200,1760,2044,1541,4046,183044,T
698803416,847,1,129591,756,6132,1541,6438,182250,T
679524103,946,1,36894,651,13680,308,4619,182340,T
343418109,942,2,164850,526,1852,616,5045,182225,T
827048932,1020,15,142800,376,3233,924,6594,182544,T
058529048,897,8,168636,769,8892,616,5077,182629,T
981673533,899,12,26071,661,6351,1541,6718,182323,T
470423576,1550,1,275900,1027,3120,1232,4766,182728,T
304044922,860,18,73100,427,2654,616,3369,183176,T
984035711,887,1,155225,1662,3866,308,6542,182508,T
163912781,865,9,49305,373,2470,616,5091,183211,T
203038432,1605,4,118770,2223,9360,308,3480,182346,T
657371412,932,11,44736,831,2694,1232,4772,183185,T
038715058,1013,1,129664,491,3705,616,6336,182666,T
854503311,944,19,230336,439,19760,616,5390,183071,T
446441476,913,1,202686,385,7732,308,6584,183201,T
351356851,1648,11,327952,395,35568,924,4648,182740,T
391489273,3274,225,753020,1482,7732,924,6482,182236,T
712632923,3181,232,763440,1662,2067,616,3240,183214,T
037905401,857,13,14569,651,7113,308,3400,182452,T
435079876,1590,26,259170,1933,3120,616,3721,182918,T
261371285,3086,225,567824,2067,1954,1541,3414,183187,T
300852001,1631,27,174517,653,1796,1541,3490,182557,T
