userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
644275792,800,1,84800,205,883,992,6748,85652,T
888241700,766,1,24512,191,1628,1488,4458,85544,T
671712155,720,1,103680,178,1078,2480,6687,85694,T
724552702,4983,119,523215,180,1318,1984,8414,85416,T
500997377,818,13,49080,272,5536,2480,6516,85607,T
192270499,707,23,118069,1012,1064,1984,6479,85865,T
413354599,4871,109,472487,319,1660,1984,4247,85619,T
001078432,775,1,83700,205,1509,496,6891,85721,T
378050897,4920,88,772440,282,1361,1984,6046,85910,T
262272665,4868,125,1114772,286,830,496,4786,86045,T
984504677,4980,100,881460,300,1122,1984,4682,85900,T
280894241,713,12,176824,902,933,1488,4081,86000,T
404744472,4967,106,764918,965,6388,496,6747,85642,T
349959561,733,15,43980,601,1766,496,6949,86193,T
316040537,667,12,152743,240,5190,1984,8509,85265,T
928836498,785,16,164850,838,8304,496,8617,85221,T
028072781,686,15,124852,271,874,1488,4117,86030,T
040793523,3671,25,550650,722,1431,1488,6708,85279,T
308673649,4860,117,1195560,549,1537,2480,6362,86136,T
053637261,807,5,16140,228,2678,1984,6009,86068,T
332795794,4811,100,81787,337,3774,1984,8676,85817,T
746336714,832,14,74048,210,1051,992,6256,85640,T
823788094,4855,88,606875,482,16609,992,3976,85944,T
422814858,736,24,122176,235,1597,2480,4512,86150,T
753383045,4917,90,280269,506,1153,1984,6523,85604,T
877281458,696,7,92568,456,1566,1488,6397,85464,T
265666645,4920,122,1102080,610,1805,496,6912,85464,T
878901101,4837,105,952889,242,1597,992,8178,85921,T
979826836,795,1,18285,223,2768,496,4215,86145,T
091918420,746,1,184262,208,2965,1984,6900,85563,T
731504437,4879,90,1170960,180,9227,496,8107,85506,T
270665924,4902,123,210786,222,1431,1488,4065,85944,T
138119960,785,9,131880,509,1078,2480,4240,85548,T
659496202,712,1,130296,965,2965,1984,4649,86048,T
635820094,698,2,102606,221,977,496,4252,85840,T
391010688,4924,98,797688,216,838,496,6223,85881,T
920500312,4824,116,197784,790,912,2480,8399,85726,T
314803253,764,24,97792,230,2372,496,6648,85808,T
131539331,4904,115,1118112,285,3954,2480,4723,85369,T
905149221,3652,13,233728,506,5931,1488,6352,85831,T
528694034,665,10,136990,259,838,992,8121,85404,T
427054476,3705,43,333450,238,7549,2480,4332,85291,T
514325531,4961,108,644930,597,1361,496,8763,85997,T
424479444,4940,109,889200,224,13840,496,8663,85593,T
827530739,4962,106,992400,179,13840,992,6047,85314,T
344110600,816,3,62832,299,1258,2480,8844,85798,T
015921310,802,17,16040,1107,1000,1984,3986,85235,T
605061931,4974,127,268596,227,2768,1984,6507,85686,T
283655404,736,23,105984,244,1297,496,8799,85910,T
080335785,4889,112,278673,305,988,2480,4957,85934,T
291261382,764,15,165024,525,1221,2480,4352,85348,T
913920959,4852,110,902472,638,977,1984,8365,85550,T
666430035,4978,121,293702,225,2129,992,4275,85478,T
788353337,4959,104,600039,169,13840,1984,5950,85379,T
806202618,4891,116,846143,251,1456,496,6253,85485,T
453094515,4878,107,97560,194,3075,496,4139,85512,T
392080158,4928,114,965888,187,1805,1984,8350,85861,T
003187796,701,13,82017,1000,892,992,8405,85834,T
127940680,713,1,57753,169,2372,1488,6251,86004,T
