userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
933229341,682,37,48422,173,1509,496,8002,85627,T
675853952,3676,51,290404,173,11863,2480,7977,85496,F
528838851,4916,137,417860,173,3075,992,6280,85719,T
084363721,3930,14,235800,173,16609,2480,4568,85491,F
439751693,718,16,54568,173,2965,496,4428,85471,T
357311860,3851,13,250315,173,8304,1488,8461,85702,F
783503357,815,1,44825,173,488,1984,4569,85873,T
897920416,3841,34,330326,173,10380,1984,8602,85465,F
889531745,5030,131,487910,173,2244,992,4632,85674,T
969833109,3644,36,284232,173,11863,496,6247,85915,F
756804667,735,23,14700,173,189,1984,4601,85736,T
041765105,3745,50,235935,173,11863,2480,5913,85423,F
139092570,898,18,63758,173,572,496,4290,85765,T
