userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
695585774,1607,10,168735,320,1569,1813,7993,142824,T
539360441,4127,314,536510,1100,2116,1360,3938,143434,T
925242718,4086,306,735480,629,2540,453,5726,143362,T
711711876,1930,1,123520,331,1411,2266,8101,142694,T
002727889,4048,303,121440,458,1587,1813,7563,142681,T
833311910,3597,27,564729,341,1768,906,5866,143481,F
672211292,4133,300,86793,525,1703,453,3644,143545,T
983983661,4099,301,332019,1058,23284,1813,4000,143389,T
070157741,1693,1,369074,422,2116,906,5763,143639,T
322547026,4159,316,765256,1019,1663,2266,3823,143083,T
059261609,1920,11,111360,747,1768,2266,8134,143455,T
929051240,4123,323,441161,579,5821,906,8143,142921,T
073076250,1692,18,30456,291,2328,1813,7867,142801,T
394671739,2006,25,415242,476,2450,2266,7480,143566,T
331484234,3572,21,703684,1791,9313,906,6357,142721,T
360257097,4032,322,193536,388,2328,906,7267,143323,T
541712049,1523,5,223881,375,2635,453,7239,142897,T
777989880,1526,12,305200,292,5821,906,3822,143649,T
253495241,1544,1,165208,461,1768,1360,7780,143225,T
227347847,1635,21,354795,298,1791,453,7561,143319,T
082268777,4190,304,175980,776,4656,906,5525,142794,T
373930933,1520,1,376960,1814,5588,453,3994,143471,T
632319110,4111,326,867421,1247,5588,1813,3840,142735,T
088573624,1967,1,359961,314,7352,2266,7340,143096,T
504219488,4204,325,517092,444,11642,906,7739,142676,T
697944000,3651,18,821475,440,2024,453,4521,143569,F
051532442,4171,308,629821,399,1535,906,6105,143006,T
148857337,4209,316,888099,323,4989,1813,7400,142764,T
524245248,1647,28,182817,1281,1624,2266,3688,142997,T
005502325,1578,1,285618,798,2587,453,6077,143451,T
872221258,4045,328,202250,425,1455,906,5611,143558,T
846735838,4142,305,687572,517,1791,906,7218,143143,T
391035952,4108,314,571012,485,1486,1813,3592,143016,T
088898535,3542,41,361284,1330,3492,1360,7251,142946,T
451556160,1703,32,51090,563,2972,1813,3991,142846,T
717160506,4200,301,151200,424,1940,1813,5510,143520,T
128354126,1989,1,399789,317,2972,1813,7911,143576,T
935017769,1529,9,340967,383,1605,453,5514,143649,T
789997076,3685,39,493790,716,2149,453,6056,143579,T
163831494,1572,14,72312,344,2450,1813,3904,143424,T
529877529,1593,2,270810,727,1967,453,4444,143449,T
045889968,4010,327,72180,388,4817,2266,3922,143131,T
293514954,4066,303,73188,320,9979,453,4093,143098,T
173196951,4113,321,361944,437,1814,2266,3841,143447,T
748391734,1536,25,233472,727,4506,453,4364,142988,T
937063186,1652,1,384916,342,1569,906,6113,143294,T
143264871,4156,311,162084,339,2408,1813,3824,142825,T
775686024,4090,306,593050,1270,2328,1360,7828,142984,T
627132119,1828,28,148068,702,10746,2266,8169,143466,T
158364740,4198,300,377820,878,5373,906,7599,142661,T
296910698,1570,22,76930,1019,1838,1813,6318,142760,T
764531288,1633,1,218822,435,1411,1360,7283,143489,T
507675927,1690,17,344760,394,5373,906,7213,143089,T
100274893,1971,1,35478,281,2450,2266,6278,142784,T
443939102,4059,331,787446,702,1455,453,3841,143038,T
444348935,1661,1,219252,637,2450,1813,4069,142704,T
992418403,4095,330,827190,352,2253,1360,4406,143477,T
012329084,1557,26,77850,284,1838,1360,3769,142733,T
249677073,4036,324,141260,468,3880,2266,6420,143203,T
012519941,4147,329,402259,618,1552,906,4596,142849,T
365744471,3638,5,483854,599,3775,906,3581,142681,T
694769038,1671,6,53472,635,1502,453,3667,143145,T
349066404,4203,311,247977,340,3880,1360,7561,143445,T
618655076,1964,23,304420,937,2149,1813,6283,143644,T
302910216,4093,319,679438,681,5174,453,3690,143248,T
005473933,4154,310,436170,931,2328,906,7204,142702,T
364431950,3689,35,752556,331,15522,906,7754,143245,F
449008613,4209,333,328302,412,2085,1813,5880,143243,T
395923720,4209,324,75762,356,1552,1360,5730,143651,T
191947082,1687,1,256424,420,6985,1813,6047,143184,T
149298949,4137,305,397152,347,3326,1813,7700,143011,T
065065301,3547,25,510768,344,6074,1360,4075,143324,F
615002403,4033,326,435564,459,6652,2266,4272,142995,T
605036882,4030,307,971230,878,8218,1360,5503,143178,T
661025360,1676,14,253076,950,1486,1813,6150,143273,T
079760049,4070,315,679690,771,2182,1360,5749,143187,T
576343082,1581,1,154938,339,6985,453,3893,142912,T
777157397,1894,1,323874,327,15522,1813,7790,143065,T
416052959,1508,1,82940,1724,1814,453,4622,143301,T
791227887,4180,302,146300,335,4656,453,3603,143588,T
727626191,4076,324,105976,379,1746,906,4061,143263,T
440843669,4131,328,768366,1552,3775,906,5631,142652,T
226420384,4035,329,108945,671,5588,1360,7306,143503,T
363755859,4052,333,814452,515,4817,1813,8228,142901,T
429249017,4040,306,92920,327,2182,906,6185,143211,T
489288500,1546,28,306108,1383,4989,1360,4137,143360,T
348179032,4186,321,209300,467,3582,1813,3868,142883,T
964136064,1685,7,389235,424,8731,906,5985,143415,T
577428863,1532,11,370744,316,3326,1360,7438,142679,T
