userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
041685752,3317,59,185752,1166,12097,508,8095,396587,T
491093961,4585,154,476840,885,5865,2541,8489,396974,T
248143489,719,1,38107,1483,10462,1016,5400,397426,T
659273473,4664,141,387112,782,8602,2541,7851,397417,F
549583891,728,1,32760,894,3910,2032,5149,396872,T
881708240,4602,154,754728,1000,4900,2032,5200,396901,T
290504073,4613,161,350588,887,12903,1016,7631,396512,T
213540318,703,15,158878,1081,12097,1524,8174,397468,T
479719703,771,23,86352,1372,6912,1016,10890,397077,T
363729491,4602,159,667290,801,12903,1524,6013,397354,T
329270559,4652,149,502416,1428,64518,1524,5177,396631,T
964983669,705,1,90240,858,10753,2032,8421,396836,T
347207871,4757,154,1184493,3871,6912,1016,5140,397422,T
583605291,3393,75,230724,1372,25807,1016,10356,396969,T
708782625,4728,144,335688,1955,15484,2541,7603,396574,T
703530605,4571,127,1069614,1169,7444,1016,10954,396688,T
336809908,727,1,167210,4032,6451,2032,5949,397207,T
196370812,808,11,8888,1339,9925,1524,5771,396705,T
252352985,2875,11,629625,2651,16830,1016,5158,396671,T
911893087,4666,121,1082512,4501,3910,2032,8268,396667,T
468674480,862,1,212052,2669,12903,1524,7734,397015,T
428085543,4683,130,1128603,1148,4162,2032,5117,396755,T
558615551,3042,24,739206,2530,5027,1016,7944,397160,T
648271396,4714,147,249842,1244,48389,1016,7710,396834,T
181034430,864,4,152064,1162,8798,1524,5991,396594,T
778856663,4692,154,487968,1225,12487,508,10318,396814,T
210402617,2960,24,645280,1087,4900,508,5112,396969,F
703565824,719,17,162494,3225,5452,1016,7871,396646,T
551044381,3701,105,462625,3253,8602,508,8617,397058,T
087037602,4752,121,798336,2263,8064,508,5480,397365,T
738169168,4727,156,576694,1115,5777,508,5450,397369,T
602381797,740,6,73260,4399,4779,1016,5843,396579,T
340667534,808,7,117968,1460,4554,508,5951,397273,T
307423467,4723,133,56676,2784,4207,508,5782,396547,T
288692481,754,15,113854,2726,14337,1524,11154,397303,T
249567416,686,5,100156,1277,13825,2032,7839,397034,T
151195889,3014,4,497310,3280,27650,1016,8585,396994,T
836281524,3001,1,681227,1626,6346,1016,8551,396861,T
800286006,3594,99,132978,4838,4449,1016,10966,396939,T
058621483,3020,7,135900,2977,4501,1524,5394,397242,T
136194614,4630,136,240760,1093,32259,2032,8192,396736,T
352976642,3324,50,96396,2332,18433,1016,10799,397327,T
625717987,4572,155,882396,875,10753,2032,8285,396814,T
753286804,855,17,26505,4349,22771,508,6055,396538,T
936372047,3568,79,456704,4449,12903,508,5235,397240,T
799203849,4710,145,461580,891,43012,1016,5491,396581,T
573698505,4594,155,937176,908,22771,2541,10932,397436,T
385240663,2893,38,584386,3225,25807,1524,8097,397119,T
018593816,4606,130,211876,788,8798,2541,8508,396741,T
061423214,4665,142,881685,3000,7742,2541,5379,396829,T
332264786,4622,141,268076,794,35192,2032,8560,396492,T
