userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
438780357,4632,184,231600,782,4301,2541,8369,397385,T
069477178,3152,9,148144,782,1906,2032,5231,396939,F
231706827,4852,156,97040,782,8602,2032,8536,396595,T
939155372,3040,15,109440,782,774,1524,5352,396766,F
848502966,975,1,51675,782,3795,1524,5234,396569,T
653285493,2975,18,282625,782,2434,2032,5520,396780,F
256149665,4707,128,211815,782,5692,1016,10852,397489,T
769635188,2964,24,219336,782,780,2032,5577,397461,F
145112825,849,37,63675,782,953,2032,5843,397141,T
104433438,2969,16,210799,782,16129,1524,5774,396590,F
253983916,4687,141,210915,782,3990,1524,10793,396528,T
238909515,3035,22,230660,782,2497,1524,5117,397125,F
446832330,4791,149,282669,782,902,1016,10832,396489,T
213297125,3136,39,75264,782,32259,2541,5104,397231,F
976504042,961,28,87451,782,2846,1524,8274,397425,T
177514796,2880,23,120960,782,5692,2032,5470,396855,F
030345291,4737,135,251061,782,1751,508,8538,396699,T
063264848,3116,20,258628,782,2304,2032,5154,396729,F
607955366,4771,167,124046,782,830,2541,5237,397025,T
686722330,2870,15,266910,782,4032,1524,5557,396826,F
513525175,4662,141,284382,782,2174,1524,10802,397204,T
000130090,3035,13,139610,782,982,1524,5203,397385,F
824127674,4599,160,294336,782,1792,508,5835,396670,T
488306885,2920,15,73000,782,77422,2032,10194,397364,F
649386965,4643,134,348225,782,1870,508,5266,396688,T
647951688,2959,12,245597,782,9002,2032,5846,397337,F
043090617,4569,130,260433,782,1751,2541,11014,397203,T
562988446,2913,12,259257,782,2174,2032,5855,396684,F
735165585,4818,131,192720,782,774,2541,8061,396824,T
858096352,3039,21,124599,782,4074,1524,5340,397180,F
844617866,826,1,55342,782,1029,1524,5882,397176,T
457154615,2994,18,134730,782,20374,1524,5394,397176,F
360398409,727,1,35623,782,2277,508,10967,397496,T
910508676,2927,8,190255,782,25807,2541,5452,397288,F
694864810,915,9,21045,782,1372,2032,5244,396917,T
289960677,3026,7,90780,782,1800,2032,5660,396607,F
612100647,723,1,17352,782,1759,1016,11082,396738,T
454379429,2903,7,121926,782,2174,1524,5689,397495,F
755562800,4586,170,293504,782,4838,2032,5941,396817,T
684624310,3024,17,299376,782,25807,1524,8281,397101,F
712174255,4573,140,233223,782,1236,2541,7741,397090,T
818270745,2959,21,257433,782,898,1524,5222,396520,F
616132622,733,19,32985,782,1240,2032,5724,396854,T
689579024,3096,7,164088,782,775,2032,5346,397004,F
086932307,822,27,65760,782,778,2032,10971,396556,T
017520922,3015,18,132660,782,794,1524,5101,396717,F
431358176,4608,189,165888,782,1530,1524,8129,396890,T
574554856,3075,12,104550,782,2910,1524,5119,396710,F
262552951,4754,162,413598,782,862,2032,8585,396720,T
225362180,3052,22,277732,782,12487,2032,5222,396684,F
291191369,4811,142,139519,782,2212,508,5846,396968,T
215104114,3080,8,95480,782,5692,1524,5043,396786,F
841544049,4675,144,247775,782,1348,2032,10474,397232,T
818366569,2877,9,63294,782,801,2032,5395,397002,F
903917773,4733,134,255582,782,798,1016,6045,397224,T
461317706,2940,21,120540,782,9925,2032,5093,397425,F
803714194,790,30,71100,782,2290,1524,5362,396936,T
233273982,2961,24,59220,782,12903,2032,5804,396827,F
748660945,905,17,49775,782,1180,508,11043,396817,T
287678800,2916,20,204120,782,1759,1524,5821,396923,F
257063690,923,48,33228,782,3199,1016,10470,397071,T
970609452,2935,13,164360,782,3000,1524,5294,397211,F
285391920,4847,173,203574,782,1720,1016,7749,397198,T
877651273,3154,16,126160,782,1115,1524,5036,396642,F
006884509,946,22,89870,782,948,2541,5805,397289,T
280746337,2912,11,107744,782,22771,2032,10964,397232,F
456490350,4630,154,439850,782,9677,2032,5496,396555,T
455753687,3055,11,73320,782,1236,2032,5427,396748,F
794896099,933,51,92367,782,6791,508,8242,396743,T
254958476,3066,9,113442,782,2450,2032,5546,397219,F
349540919,4724,137,458228,782,2250,508,5733,397232,T
045002544,2877,30,284823,782,1975,2032,5146,397030,F
545954324,4587,165,211002,782,2598,508,10263,397374,T
260104414,3049,7,118911,782,1294,2032,5379,396535,F
348585349,4713,182,410031,782,1240,508,5864,397181,T
791365216,2950,10,286150,782,1449,2032,5459,397369,F
357234416,4659,182,195678,782,1128,508,10548,397296,T
525840106,3087,52,265482,782,27650,2032,5266,396857,F
616289013,731,2,23392,782,3280,2541,5424,396702,T
062938047,3128,24,275264,782,43012,2032,5358,396661,F
011860707,844,1,63300,782,1975,508,7651,397125,T
839081105,2869,13,261079,782,908,1524,5048,396997,F
370475763,3418,78,119630,782,858,508,11129,397448,T
595173392,2905,14,281785,782,1852,2032,5302,397351,F
126009570,903,1,20769,782,2530,2032,5188,396690,T
544580789,3160,18,176960,782,858,1524,5104,397052,F
240201086,4602,135,414180,782,2707,2032,5794,396634,T
157835271,2877,15,140973,782,1135,2032,5603,397454,F
883591515,949,51,47450,782,1759,2032,5306,396560,T
340927113,2876,7,166808,782,839,2032,5196,396558,F
052191420,947,24,89018,782,830,2032,5169,397234,T
195114561,3005,14,237395,782,3395,2032,5076,397398,F
685509166,777,1,31080,782,2450,508,5820,396655,T
500337708,3127,14,234525,782,1407,2032,5341,396899,F
129948082,691,6,20730,782,3456,508,11069,397010,T
397377463,2952,25,144648,782,975,1524,5053,396696,F
418038633,942,3,28260,782,1955,1524,7627,396620,T
469536274,3134,18,203710,782,6451,2032,5136,396945,F
610234693,817,16,65360,782,1690,1524,8040,396928,T
652280324,3135,7,269610,782,1483,1524,5395,396751,F
