userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
132114324,3888,352,346032,10445,9389,411,3668,848318,T
268783211,1865,10,85790,1723,34819,1644,3467,848274,T
271936993,1797,8,221031,1824,10713,2055,2358,848151,F
167624489,3894,368,619146,2963,20382,411,1604,848221,T
360663331,3984,364,784848,4220,18992,1233,2493,848079,T
496775902,4036,107,201800,1801,83567,2055,3171,848394,T
840931374,3875,335,577375,6528,10578,822,1940,847631,T
718166894,1969,1,135861,2295,18992,1644,2368,848264,T
121341774,3978,339,982566,2678,15194,2055,2873,847970,T
117926987,4023,106,68391,3290,15475,1644,3310,847773,T
264144894,3992,84,686624,1695,52229,2055,2065,847679,T
596688820,3995,338,743070,9948,32141,1233,4160,847973,T
175840231,4131,104,363528,4263,32141,1644,2280,848305,T
117620435,3964,369,523248,2028,15767,1644,2150,848372,T
509123881,3916,361,493416,3851,13264,1233,2739,847558,T
102278309,1867,1,257646,2823,19896,1233,3778,847919,T
590291473,4125,113,660000,3540,10995,2055,2065,848234,T
162648419,1933,1,170104,3905,36333,1233,1988,848512,T
155286699,3916,337,336776,3027,83567,822,3903,848299,T
049770500,3874,366,302172,1861,52229,411,2881,848550,T
680048298,3999,106,343914,3851,49157,2055,2622,848157,T
562154097,1893,1,198765,3264,18166,1644,1848,847616,T
441187721,3825,363,814725,3923,59690,822,2973,848487,T
103688872,1841,1,338744,1723,12856,1644,3282,848277,T
779209934,4180,105,785840,2457,139278,1233,2126,847745,T
526031657,1791,1,171936,2199,10713,1644,2251,848159,T
978132373,3906,364,636678,9831,37985,822,3295,847909,T
864396443,3835,337,387335,3941,11938,2055,3483,848271,T
762731266,4107,93,324453,2073,19434,2055,3720,847891,T
414656610,4034,95,839072,5222,8527,2055,2374,847670,T
441575707,3820,339,886240,2258,69639,1233,2696,848340,T
070699651,4025,111,953925,5497,64282,2055,2065,847734,T
806505864,3816,368,133560,1836,83567,822,2527,847933,T
526332997,3863,364,150657,7597,16070,1233,3382,848389,T
100497129,4169,76,883828,1744,32141,1644,1797,848458,T
936658813,3870,374,917190,5497,9496,411,3341,848478,T
319605742,4175,103,797425,2159,18166,2055,2646,848291,T
832127175,3903,340,874272,4116,9389,822,3332,848314,T
033333442,3879,347,135765,2228,36333,822,2995,847944,T
122381589,4131,101,793152,10068,8890,1644,1654,847988,T
126437431,1954,13,349766,2842,27855,1644,2811,848095,T
886138710,3997,367,387709,3264,15194,822,2160,847985,T
294115859,3849,341,573501,7666,26957,2055,3257,847699,T
624912890,3875,354,620000,3316,167134,411,3427,848274,T
055708538,4182,92,1028772,2652,8356,1644,1697,848387,T
791168144,4078,110,244680,1903,11770,2055,2065,847875,T
533689127,4031,90,761859,6632,11938,1644,4276,847951,T
188319115,1797,29,222828,1681,26957,1233,2528,848211,T
586466484,4051,97,956036,2264,16385,2055,2161,847918,T
360210452,4121,103,581061,6330,9717,2055,2065,847748,T
272191181,4055,105,908320,1712,52229,1644,2190,847694,T
471003820,4335,229,498525,10068,8890,2055,2820,847854,T
142926127,4122,94,1022256,6330,32141,2055,2065,848339,T
209842901,3954,346,253056,2636,8704,2055,4249,847790,T
