userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
329094366,1959,17,315399,760,3340,1959,6922,340116,F
774391341,4508,52,171304,2379,9727,1567,6993,340263,T
724864771,4358,84,117666,793,13781,1567,4990,340050,T
206998319,2067,9,76479,3595,3409,1175,5313,340832,T
276503609,4377,66,424569,714,3481,1175,6363,340800,T
364564898,1965,1,477495,921,14380,1959,3145,340660,F
985179257,1968,23,401472,772,23625,391,5456,340628,F
957962629,2039,34,93794,1847,4530,1175,5004,340421,T
863791273,2098,18,205604,1017,7190,1175,6916,339925,T
917288702,4336,82,1014624,978,5167,391,5031,340842,T
148126952,2024,1,133584,1036,3409,1567,3142,340229,T
232322769,2035,7,415140,731,4351,1959,3731,340171,F
331576517,2281,27,301092,816,5088,391,7088,340540,T
111502499,2087,1,237918,1778,4936,783,3856,340052,T
376372378,4395,72,817470,896,3595,391,6550,340711,T
688478146,4342,46,243152,2205,3340,1567,5119,340429,T
796224851,1984,21,349184,2826,4593,1175,3085,340653,T
319376764,4367,59,1087383,804,3891,1959,3303,340787,T
335236488,2087,27,404878,1229,4863,1175,5256,339947,T
984733834,1993,21,195314,1957,13781,391,4842,340398,T
049585820,4348,74,734812,1483,8268,1567,5406,340121,T
965373743,2023,3,38437,884,12250,1175,3345,340233,F
769595212,2008,25,401600,961,5512,1175,3679,340595,T
161583605,2099,10,507958,1317,10669,783,3262,340418,T
702861285,2000,21,324000,2329,11025,1959,5540,340293,T
200395113,1939,35,191961,828,6240,391,3170,340880,F
544399663,2344,23,283624,4658,4793,391,7234,340866,T
150980140,4502,60,837372,700,5802,1175,3485,339973,T
041455907,4371,48,1062153,2004,11812,783,5277,340199,T
997849602,1982,1,221984,2106,18375,1567,6784,340077,T
887473431,2046,1,302808,1900,19455,783,5000,340274,T
182714533,2032,20,20320,978,8939,1959,6664,340458,T
269382249,1993,17,221223,669,7037,1567,3963,340688,F
799475695,4426,53,1079944,1008,3801,783,6570,339921,T
526247673,4400,70,1025200,1476,7691,1567,4660,340418,T
376996817,1984,34,378944,4186,3340,783,3085,340690,T
073096903,1994,28,484542,1817,25442,783,6879,340451,T
454950959,2106,32,113724,950,7517,1175,4933,340592,T
496981555,4398,46,844416,1383,5906,1567,3335,340712,T
420500353,2027,24,433778,3891,11025,1175,3841,340088,T
152480793,2352,1,319872,1629,16537,391,3615,339968,T
977689052,4392,66,465552,774,4530,783,6433,340213,T
136492081,2089,12,509716,1002,10669,1959,7063,340793,T
283158277,1995,6,339150,2431,66150,783,6955,340423,T
301205910,4376,47,634520,4658,13230,391,4848,340000,T
170832004,4426,76,686030,1401,8067,783,3305,340526,T
023255960,2078,3,164162,1257,4186,1175,4058,340235,T
484796177,4422,85,128238,3242,3445,1175,6525,340047,T
337480303,4342,47,282230,841,4410,391,3315,339892,T
405620828,4501,64,121527,2468,19455,391,6331,340165,T
182655520,2064,27,509808,1438,7190,1175,6742,340654,T
237035747,2185,13,196650,3758,3716,391,3746,340217,T
273404626,4425,74,146025,981,7190,1959,3620,340516,T
025292689,2031,1,123891,778,9727,783,7082,339912,F
381203362,2035,36,144485,921,3481,1959,3676,339972,F
662684354,4479,56,1021212,4410,10669,391,6787,340174,T
789157795,1999,1,127936,2219,25442,783,6565,340527,T
991193693,2185,23,421705,1215,7190,391,3173,340223,T
970183196,1936,10,294272,1194,3340,783,5179,339986,T
552829761,4349,79,1048109,709,11812,783,5057,340032,T
249918046,2210,13,486200,1262,15750,391,6475,340514,T
315921767,2060,25,135960,1185,15750,1567,3837,340160,T
201913129,4460,50,1106080,726,6750,1567,6276,339907,T
056552221,2009,7,88396,955,12250,783,5111,340123,T
978115108,4344,55,960024,1198,5702,1959,4125,340091,T
170717294,4383,54,429534,4083,15750,1175,6480,340738,T
290256847,2111,14,21110,1483,3340,391,6450,340582,T
912148082,2013,13,501237,1257,3801,1959,7020,340145,T
529047592,2044,34,476252,861,11812,391,3435,340835,F
808355138,1937,25,385463,964,55125,1567,3214,340238,T
620188612,4463,79,370429,2505,5422,391,4119,340546,T
305583729,2038,23,289396,1378,3518,1567,6545,340643,T
025476148,2017,27,262210,681,13230,1959,6646,340571,F
843684557,2092,28,324260,808,66150,783,5393,339927,F
013592436,2043,1,455589,1629,4936,1175,3979,340558,T
535861725,4454,56,1037782,2379,13781,1567,5340,340564,T
794957623,2309,23,431783,806,8703,391,6904,340649,T
498333842,2042,21,81680,665,3375,1959,3620,340593,F
078284499,2047,34,77786,942,6890,783,3200,339885,F
693235043,4453,46,342881,1538,3716,783,6963,340688,T
344666971,4375,55,258125,1344,9727,1959,5132,340745,T
461483152,4345,49,469260,852,15034,1959,3600,339891,T
454480794,2066,28,33056,1225,15750,391,7133,340405,T
282337581,1993,17,167412,1257,6750,1567,3325,340053,T
123717516,4416,84,874368,2802,4240,391,7108,340303,T
348996442,2330,12,330860,1248,4295,391,6397,339888,T
504771508,2114,7,107814,2779,4134,783,3562,340183,T
574675802,2219,22,443800,675,8939,391,4978,340400,T
473267656,4450,54,511750,1181,6750,783,3270,340322,T
045884377,2022,30,62682,2029,12250,391,6868,339929,T
104181106,1986,22,270096,702,9450,1959,3852,340610,F
436752271,4441,81,106584,872,8703,1175,5416,340021,T
897983512,4471,76,621469,3242,9187,1175,3788,340111,T
297594509,4498,52,125944,1098,19455,391,4038,339880,T
643977506,4410,65,330750,868,8268,1567,5078,340222,F
540575714,2058,1,284004,947,5011,1959,6813,340203,T
463831354,2061,13,267930,2625,4033,783,6665,340684,T
440554641,2031,19,24372,700,17407,1959,6479,340096,F
927637682,2366,22,404586,1005,10669,391,6907,340869,T
436129457,4317,46,608697,2851,4530,391,6308,340627,T
078074132,4458,53,967386,831,6013,1959,4080,340430,T
859179852,1975,1,211325,741,4658,391,3440,340507,F
576092844,4375,83,1045625,1637,8268,391,5100,340474,T
045098246,2008,5,170680,1837,3375,783,4049,339927,T
385539359,4469,48,1009994,4658,9187,1175,6585,340183,T
769673785,2374,27,579256,3675,33075,783,5064,339882,T
199870602,4342,48,590512,787,7190,1175,5617,340760,T
331307807,2101,32,525250,739,7190,783,5098,339966,F
615330464,1999,9,85957,672,8703,1175,6368,340107,F
036971574,4393,75,303117,1750,4033,1175,6864,340225,T
345067222,2311,22,573128,2080,11812,391,6730,340004,T
853527107,4382,66,65730,1450,6615,783,5573,340634,T
092254046,4451,79,1112750,833,15034,391,5615,340472,T
926048171,4377,77,131310,1091,41343,783,6949,340780,T
281555800,2037,14,61110,1496,3891,1567,6480,340172,T
299609215,4381,84,240955,942,6615,391,6924,340617,T
727957786,2090,1,144210,1164,4530,1959,4914,340320,T
008864323,4332,84,311904,767,4936,783,5036,340019,T
325062720,1957,28,332690,2205,22050,783,3088,340276,T
055821851,2219,16,275156,3716,27562,391,4675,340807,T
798531911,4355,56,483405,806,22050,1175,6219,340237,T
998883659,4365,53,859905,852,9450,783,3118,340049,T
459264151,2230,32,512900,987,23625,391,3709,339982,T
503571473,1931,1,446061,3307,13781,1175,6377,340162,T
884855165,4506,72,495660,3518,17407,1959,4830,340479,T
345808973,1926,35,327420,2362,15034,783,4679,340449,T
891090474,1963,4,31408,852,14380,391,5120,340193,F
769541781,4324,46,229172,884,47250,1567,5021,339971,T
234969805,2093,6,479297,2583,7190,783,3450,339885,T
818414754,4376,84,656400,1297,36750,391,3620,340062,T
976276064,4424,80,190232,675,3716,1567,3870,340420,T
965893014,2000,24,102000,953,5906,391,4865,340262,T
078097594,4420,85,534820,1339,36750,391,3560,340093,T
688621925,4433,78,633919,694,3984,783,5476,340589,T
757807597,4439,57,57707,703,6125,783,3791,340650,T
713029103,4462,63,410504,1621,8268,1959,3247,340233,T
677334768,1998,24,235764,961,4240,391,6681,340633,T
570309534,1961,25,351019,4410,3675,783,6616,340774,T
032298516,2015,14,328445,2362,5167,1959,3765,340328,T
773299801,4436,68,226236,2667,12721,783,6822,340687,T
810609013,2197,28,459173,2544,3716,391,3441,340074,T
013626658,1998,34,187812,673,16537,1959,6333,339908,F
840683014,4316,59,470444,666,4725,1175,5283,340341,T
034847973,2020,17,145440,1827,17407,1567,4885,340340,T
677577524,1930,25,137030,762,5334,1567,7047,340735,F
970567776,2039,1,258953,1020,23625,783,4100,340530,T
618439824,4489,68,794553,955,36750,1567,3918,340775,T
348731381,2071,26,426626,700,8268,783,6785,340211,F
690422423,1941,1,269799,1164,7517,1175,4079,340138,T
615039283,2293,30,401275,1267,5250,391,7210,340042,T
786356289,4416,62,631488,818,7350,783,6905,340255,T
969964308,1951,1,341425,789,8939,391,3624,340025,F
514335762,4452,64,218148,2106,22050,783,4982,340783,T
100990855,4385,49,1004165,3034,15034,1175,5019,340084,T
136709710,2104,1,269312,1740,11812,1567,3287,340599,T
759934810,4436,52,882764,1383,9450,1175,6825,340082,T
954304794,1990,11,286560,1053,13781,1567,4881,340129,T
275580051,4463,85,477541,2161,3445,391,3750,340041,T
592639215,4398,55,444198,859,8703,1959,4991,339879,T
786830513,4500,54,103500,1168,4936,1567,6747,340103,T
727773078,4504,73,450400,1463,3375,1959,3958,340620,T
209192786,2255,1,487080,3891,4863,783,3713,340633,T
354302255,1983,25,466005,1900,14380,1567,7096,340766,T
522410972,4379,60,1037823,1117,6240,783,5354,340393,T
450172471,2063,31,187733,934,5702,1959,3964,340202,F
978845317,2260,23,472340,2414,4240,1175,6995,340025,T
943046025,1946,26,99246,2147,13230,391,6812,339936,T
664337592,2266,1,493988,1582,8480,391,3756,339918,T
228214648,2051,18,127162,1413,13781,1175,6526,340847,T
859265872,1975,34,314025,1066,3634,783,6527,339956,T
412043698,4488,47,125664,1740,5422,1175,5392,340776,T
494548214,2017,15,165394,686,9187,391,3768,339892,F
648910901,4341,67,390690,1687,5605,391,6382,339953,T
032447144,4314,54,77652,870,6013,1175,4787,340340,T
932460885,2059,24,160602,2468,6615,783,6499,340390,T
770108281,4426,83,243430,4469,8480,783,6301,340224,T
927368568,4322,71,194490,689,10022,1175,5084,340717,T
700459336,2096,4,58688,767,36750,1567,4761,339989,F
858269500,4350,50,365400,744,6240,1567,4857,340628,T
369125893,2054,5,232102,826,8480,1175,3823,340456,F
813540897,4316,85,608556,2281,3675,1959,3245,340629,T
458466956,4393,74,882993,1109,36750,1567,6358,340512,T
252583616,4452,47,730128,776,55125,391,6665,340824,T
271904440,4357,46,736333,1431,4033,783,6431,340687,T
058833264,2225,29,367125,886,4186,391,3350,339876,T
990250385,2049,16,428241,2733,6615,1959,3806,339954,T
125720348,2058,33,238728,2486,11812,783,4906,339900,T
990706889,2233,9,415338,2414,3801,1959,7113,340495,T
368085290,1989,1,99450,802,4530,1959,3597,340252,F
945976365,4368,65,567840,958,17407,1959,6976,340598,T
399563699,4405,83,638725,772,10022,1175,7203,340559,T
