userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
272703267,2026,34,97248,868,6485,1175,4892,340850,F
867281596,4428,90,367524,868,1567,1175,6983,339967,T
668813309,2118,36,154614,868,750,391,3222,340109,F
801731430,4355,96,226460,868,686,1567,5389,340564,T
025511812,1997,1,183724,868,3937,1175,3180,340674,F
383454034,4371,89,118017,868,987,1175,5421,340736,T
456669305,4520,96,307360,868,1470,1567,6548,339877,T
940138639,1997,1,123814,868,738,1959,4925,340000,F
480567432,4374,76,411156,868,1234,391,5591,340453,T
708449404,2211,46,154770,868,1590,783,3231,340852,F
064612992,1991,19,85613,868,2953,1175,6850,340127,F
605957341,4404,62,361128,868,1621,1175,5095,340248,T
079947116,4519,61,212393,868,806,1959,4850,340768,T
183357195,2105,1,189450,868,2120,1175,5451,340074,F
648082044,4321,108,345680,868,843,1175,7221,340246,T
132171380,2057,43,47311,868,2029,783,3325,340471,F
044185240,1954,62,181722,868,3307,391,3168,340866,F
424200564,4485,66,367770,868,767,1959,3304,339939,T
938007728,4380,75,170820,868,2281,783,6338,340413,T
351844193,1936,52,135520,868,1597,783,5349,340316,F
830589733,4532,55,326304,868,964,391,3469,340878,T
789444799,1975,23,104675,868,839,391,6726,340422,F
793563411,4441,65,186522,868,955,1567,6455,340674,T
391177501,2046,49,155496,868,1194,783,3889,339955,F
855278356,4434,70,416796,868,13230,1567,4992,340798,T
935557830,2153,37,183005,868,945,1175,6341,340543,F
213267228,4559,85,451341,868,1992,1175,5411,340746,T
440906913,1994,64,113658,868,978,391,3924,340652,F
290689846,4392,72,430416,868,1128,1175,6399,340613,T
520191516,1976,35,165984,868,865,1567,5429,340026,F
502594043,4526,106,239878,868,2826,391,5097,340373,T
788214023,2041,17,173485,868,1731,1175,6842,340586,F
336844846,2473,28,220097,868,2396,391,6865,340548,T
181583174,2023,13,86989,868,1056,1959,4776,340364,F
982557085,4340,85,125860,868,10335,391,6959,340496,T
990872245,1979,25,189984,868,10022,1567,7129,340623,F
392888522,2035,28,97680,868,4593,1567,7166,340342,F
702813168,4401,50,215649,868,802,783,5166,340761,T
916174555,4442,83,88840,868,854,1175,7240,339949,T
020243876,2088,16,171216,868,1945,1959,3284,340670,F
368197225,2118,27,116490,868,1091,1175,6268,340218,F
255398950,4569,109,137070,868,908,1567,3186,340878,T
524366191,4610,69,285820,868,1027,1567,5429,340637,T
063852841,2202,13,48444,868,1696,1175,3945,340371,F
891880242,4478,111,237334,868,1378,783,6933,340836,T
700832920,1930,50,171770,868,1339,1567,3873,340721,F
574385642,1999,27,171914,868,9187,1959,3735,340415,F
062689777,4588,110,183520,868,1538,1567,5132,340094,T
187509972,2078,34,76886,868,1934,783,6251,340616,F
522700524,4374,112,323676,868,4658,1175,7122,340408,T
931495358,4394,64,193336,868,23625,1175,4985,340389,T
385493307,2041,45,116337,868,850,1175,5269,339889,F
777402906,4422,90,367026,868,679,391,6962,340362,T
697658144,2000,12,194000,868,1132,1175,7251,340046,F
898230438,4353,64,422241,868,1066,1567,3430,340114,T
487381709,2145,7,51480,868,1164,1567,6422,340355,F
511946920,2192,43,103024,868,886,391,3642,340361,F
887291924,4472,94,187824,868,1722,1567,7180,340611,T
384379599,1963,6,76557,868,13230,1175,7024,340453,F
299853143,4589,88,325819,868,3634,1959,7185,340383,T
164235305,4380,64,289080,868,1002,1959,6345,339938,T
933860777,1987,21,53649,868,1040,783,5157,340505,F
114634152,4569,66,223881,868,2205,783,5216,340014,T
270023639,2034,25,83394,868,755,391,7238,340810,F
609742730,4422,65,234366,868,981,1959,6897,339951,T
026292037,1938,27,87210,868,981,1959,5219,340535,F
346940370,1954,64,50804,868,877,391,6379,340211,F
696485959,4541,62,281542,868,958,391,3711,339883,T
233667208,4407,114,431886,868,1125,783,5348,340456,T
906760286,1959,32,160638,868,1413,1175,3795,340456,F
305727702,4349,60,404457,868,1220,783,3937,339988,T
716399348,2051,23,71785,868,1389,1959,7071,340807,F
915944267,2128,50,53200,868,733,783,3722,340116,F
641217554,4346,113,199916,868,9727,1567,6655,340250,T
073229902,2181,1,56706,868,1731,1959,7036,340540,F
291284058,4484,71,336300,868,1378,1567,3363,339914,T
236619754,1990,29,145270,868,1768,783,6731,340183,F
783585896,4416,47,317952,868,1066,783,3904,340874,T
312361326,2019,46,111045,868,6890,1959,4116,340228,F
232905224,4506,65,328938,868,1678,391,6345,340395,T
520107574,4505,78,252280,868,2329,1567,4901,340001,T
617509435,2048,40,124928,868,4469,783,6915,340197,F
562662888,2068,12,142692,868,3937,1175,5085,340451,F
748287917,4521,57,248655,868,2524,391,3719,339963,T
684386017,2018,32,173548,868,12721,391,5623,340587,F
855986073,2431,14,228514,868,845,391,3945,339951,T
201114224,4393,55,131790,868,758,391,5179,340489,T
550097710,2069,23,148968,868,2625,391,3685,340583,F
672544859,4411,51,194084,868,953,783,6465,340018,T
357385972,1979,15,172173,868,708,783,6309,340661,F
665834669,2164,54,196924,868,1401,391,6591,340588,F
221179888,4580,98,164880,868,918,1959,5085,339998,T
765159993,4331,113,90951,868,2106,783,7135,339993,T
372102961,2120,4,178080,868,2779,1959,6797,339916,F
429914464,4432,50,292512,868,746,783,4783,340051,T
889325248,2050,48,149650,868,1148,1175,7069,340055,F
935135863,2073,12,163767,868,1040,783,5299,340744,F
800119615,4504,81,445896,868,993,1959,6839,340097,T
448756259,4536,103,399168,868,1277,391,3152,340386,T
600568326,1957,1,119377,868,2265,783,6932,340363,F
