userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
380075300,4255,86,723350,620,20930,908,5002,234719,T
550610377,4384,66,192896,1106,3654,908,4532,233892,T
730373413,2471,474,219919,569,3385,302,4868,234120,F
473693455,2330,492,135140,963,4698,605,3494,234337,F
207771414,4399,88,369516,528,2842,605,3613,234166,T
167408777,2352,496,576240,2213,10010,1514,4854,234240,T
601344436,1495,28,32890,587,3837,605,5147,234191,T
843282576,4434,93,124152,460,3289,1211,6567,234168,T
160515614,2495,490,449100,3289,4514,605,4010,234561,T
998616018,2412,475,101304,641,2842,302,4577,234636,F
260961025,2485,482,390145,1731,2373,302,7013,234079,T
015612239,4367,87,1087383,1293,4427,605,6050,234009,T
899873477,2480,473,148800,1205,2740,302,3982,233826,T
194949065,2412,463,200196,1718,4186,605,3692,234404,T
340858272,4290,101,137280,665,5755,1514,6712,233804,T
463508262,1536,21,344064,892,3111,605,4515,234534,T
261257339,4379,82,507964,1075,10963,302,4984,234488,T
400108070,1468,24,77804,461,3713,302,6508,234372,T
799410086,2513,480,98007,712,5903,302,3363,234616,F
503255784,1492,9,279004,767,19186,302,5029,234333,T
019450497,1486,1,35664,1784,2646,908,5157,233809,T
944104427,1541,6,194166,1224,7426,1211,3134,234228,T
450705358,4253,80,76554,1524,4186,605,5146,234621,T
387678609,4394,69,254852,2502,46046,908,6320,233875,T
068309784,4344,68,925272,1199,3488,605,4910,234670,T
982919798,2343,492,510774,1046,2708,302,6501,234677,T
604764427,4410,95,987840,855,10010,1211,6669,234508,T
413017429,4264,94,422136,2074,3542,1211,6715,234352,T
429863865,1399,1,265810,1495,2423,908,4696,234607,T
011467569,4443,82,635349,1598,2842,908,6486,234016,T
832404303,2372,468,265664,1566,15348,908,3753,234166,T
690068897,4250,65,884000,1448,5354,1211,5408,234245,T
684478874,4440,73,399600,939,25581,908,6597,234716,T
455569025,1567,15,169236,3289,6976,1211,5206,234121,T
257145394,4274,103,166686,464,7939,1211,4668,234229,T
695117322,1395,11,311085,540,6222,302,3018,234631,T
211732337,4436,65,660964,671,2325,1514,3068,234298,T
506957363,4387,74,495731,673,3197,302,4581,234685,T
900974528,1459,4,24803,875,10010,908,3676,234584,T
707602156,1519,2,174685,532,4111,302,6998,234202,T
611739598,1510,30,140430,523,17710,605,6521,234191,T
685314285,4343,71,786083,2951,4514,605,6153,234578,T
841156419,4419,69,304911,584,16445,908,6796,234335,T
