userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
278848004,852,49,37488,772,2131,302,6858,233743,T
715980130,2613,526,177684,772,499,908,3162,234180,F
413450801,2454,484,223314,772,3336,908,3264,234153,F
982240994,4260,91,119280,772,1346,908,7023,234512,T
758476381,910,16,23660,772,819,302,5097,234684,T
024376132,2410,466,219310,772,659,302,3804,234352,F
802677088,4476,85,411792,772,992,1514,5223,234548,T
945079681,2466,482,106038,772,650,605,3091,234615,F
413076122,1452,32,121968,772,988,605,3870,234244,T
513109496,2487,487,208908,772,461,302,3916,234036,F
300461918,934,44,56040,772,548,302,5258,234550,T
470554045,2335,493,142435,772,2807,605,4749,234245,F
337243293,4467,101,419898,772,2131,1514,3322,234743,T
102304034,2335,465,86395,772,701,908,3020,234348,F
660878089,4427,96,296609,772,3774,1211,5423,234079,T
054164682,2458,506,238426,772,1151,605,3388,234400,F
942319723,2428,505,123828,772,473,302,4969,234502,F
116308184,1551,31,40326,772,1757,302,6031,234622,T
160015796,2341,529,184939,772,689,605,4504,234121,F
594929895,4267,67,260287,772,943,908,6058,234742,T
059967455,4268,96,140844,772,1051,302,5462,234626,T
792199853,2314,524,192062,772,679,302,3479,234661,F
319373244,2605,477,104200,772,1798,302,4008,234563,F
148384163,973,31,74921,772,497,605,4552,234552,T
196725729,4400,130,92400,772,28779,908,6763,233951,T
591780662,2405,529,197210,772,2002,605,3540,234382,F
122738820,4290,72,244530,772,917,1211,3974,234015,T
225465788,2372,502,73532,772,717,605,4665,234520,F
672892140,4477,96,317867,772,562,1211,3898,234231,T
629392839,2366,490,82810,772,749,302,5500,233934,F
934968736,4363,71,349040,772,575,302,3263,234048,T
380106812,2517,526,153537,772,10963,908,3637,234559,F
622268860,1677,1,70434,772,3436,302,6291,233970,T
977489523,2379,521,199836,772,460,908,3190,233998,F
871551607,1044,38,36540,772,1244,605,3310,233994,T
868067430,2355,494,84780,772,466,908,3026,234724,F
969464388,2493,474,114678,772,1902,605,3150,234295,F
800383378,1534,44,85904,772,463,302,6016,234713,T
969966577,4302,98,283932,772,6771,302,3351,233877,T
135917677,2507,467,172983,772,810,302,3600,233769,F
688192504,4390,117,215110,772,558,302,5041,234673,T
690449170,2331,476,142191,772,3029,302,3270,234258,F
243601606,902,40,77572,772,1798,908,4659,234410,T
879074719,2554,510,109822,772,519,302,5243,234058,F
065156311,4415,77,110375,772,1421,1211,3312,234031,T
037133634,2419,467,149978,772,607,908,3014,233760,F
237544510,4319,131,211631,772,1272,605,5469,234283,T
784082394,2420,511,239580,772,7426,302,3481,234218,F
579411485,1485,1,90585,772,7426,302,5369,234035,T
827385028,2592,529,106272,772,772,605,3459,234534,F
782740739,4535,69,267565,772,1265,605,3820,234162,T
056462382,2474,497,56902,772,679,302,5256,233805,F
956932909,4277,132,196742,772,562,908,3488,234119,T
572961713,2420,482,166980,772,520,908,3171,234371,F
594621289,917,11,49518,772,913,605,5491,234335,T
638315767,2474,529,247400,772,685,302,3977,233998,F
781676072,4521,92,244134,772,1112,1514,6834,234556,T
724837778,2362,485,96842,772,1112,605,3033,234320,F
914473044,4390,75,254620,772,13543,1211,6187,234092,T
148730408,2523,479,75690,772,8855,605,5162,234449,F
925898895,4459,63,280917,772,1037,1514,3569,233898,T
615243291,2535,506,159705,772,819,302,3255,234501,F
148841037,948,13,28440,772,1145,605,6181,234727,T
189454685,2401,488,141659,772,491,605,3553,234320,F
010175809,1419,54,66693,772,862,302,3134,233788,T
823415691,2529,492,78399,772,637,908,3283,234600,F
422351186,836,32,66880,772,775,605,5110,234113,T
639004658,2432,507,155648,772,1075,302,5412,234620,F
790804369,1658,55,142588,772,32890,605,5199,233856,T
946716100,2389,522,119450,772,1841,908,3198,233946,F
472480161,990,7,20790,772,508,302,5266,234190,T
034164277,2488,483,79616,772,665,302,4715,234312,F
829683460,4542,128,190764,772,3153,908,4787,234334,T
556360950,2415,525,70035,772,687,605,3837,234631,F
869386758,4282,129,128460,772,612,302,5135,233844,T
954793335,2484,483,144072,772,1323,605,3747,234742,F
486682710,4453,75,271633,772,1534,605,4880,234637,T
534818103,2498,492,199840,772,536,302,5152,234270,F
613503692,4473,72,335475,772,483,605,3854,234529,T
821744914,2364,517,75648,772,1258,605,3111,234123,F
636797821,4399,68,435501,772,524,908,3269,233907,T
591135250,2394,531,79002,772,846,605,4515,234719,F
129158997,4403,132,413882,772,472,1211,5421,234699,T
299854267,2469,520,167892,772,2423,302,3713,233888,F
575863605,4382,118,118314,772,482,302,6496,234616,T
988583653,2605,523,112015,772,1080,908,3310,233787,F
356391951,1406,10,52022,772,1123,605,3123,234613,T
244159039,2359,481,195797,772,1096,302,3514,234742,F
115903483,1643,31,126511,772,1656,302,5348,234429,T
494613423,2458,465,73740,772,2302,908,3114,234255,F
245477659,1599,22,49569,772,1902,908,3328,234401,T
541857073,2491,529,89676,772,888,302,4863,233881,F
475996660,1602,11,115344,772,4263,605,3570,234615,T
120156397,2323,485,171902,772,659,605,4613,234096,F
949495639,4523,119,357317,772,906,302,6176,234023,T
997542967,2526,501,58098,772,596,605,3191,233770,F
761897889,1476,19,54612,772,717,1211,3362,234245,T
435791613,2591,531,106231,772,470,302,3566,234369,F
126759254,1385,21,31855,772,1504,908,3897,234721,T
645635192,2415,473,219765,772,1495,302,4647,234476,F
