userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
838138526,2815,576,332170,2859,16391,1858,9972,499072,T
528936913,2849,562,695156,1290,10244,1393,9738,498640,T
323607484,3841,25,595355,1107,8334,1393,7405,498674,T
054586647,3928,13,420296,1622,10690,929,9662,499108,T
558379717,3971,53,571824,1018,8334,464,5533,498938,F
765501345,2880,588,648000,1442,5924,464,7667,498881,T
778257455,3870,30,178020,1546,9278,2322,9347,498766,T
103042461,261,26,40455,4351,54638,929,7422,498597,T
610235091,362,25,73124,1044,70249,929,7001,498936,T
036420647,3842,29,338096,1105,5924,464,7026,499166,F
212112554,3815,8,259420,6645,5652,929,9734,499096,T
364137109,3866,35,548972,3997,5017,1393,7092,499125,T
417203532,3839,2,310959,1267,5287,1393,7270,499138,T
322302559,3867,29,873942,1982,4967,464,9493,498578,T
527745675,2854,564,710646,3997,4967,464,7264,498325,T
719014533,308,20,24640,1409,81958,929,9464,498329,T
342399156,3876,32,705432,1429,6146,929,4993,498370,T
457754287,3529,47,832844,5996,61468,1393,7671,498675,T
901599923,2956,580,535036,1982,5069,1858,5440,499014,T
707448701,3911,35,571006,3997,8195,1858,10224,498713,T
886081603,3976,30,950264,1639,7126,1393,4817,498350,T
790786154,3977,50,560757,1007,18212,929,7886,498555,F
137403268,3820,9,118420,1381,12608,1858,4796,498392,T
915249019,321,25,40767,1433,49174,929,9766,498380,T
246430456,307,16,44515,1678,5403,929,9475,499022,T
417550235,2771,561,548658,1205,7565,2322,7684,499183,T
197250986,344,16,11008,1184,6645,929,6951,498656,T
285398783,347,31,19432,2175,8781,464,7242,498411,T
229902391,2853,579,542070,1661,5463,464,4994,498356,T
745049446,2839,574,269705,2521,16391,1858,5447,498619,T
663923083,2896,557,304080,2166,7683,1393,9554,498391,T
633676293,3986,24,593914,3438,14049,464,7881,498846,T
534603740,3937,13,893699,1290,15367,929,7284,498984,F
929312700,2840,555,457240,2119,35124,2322,5237,499039,T
210738978,2811,554,78708,1102,23416,929,4840,499239,T
544504916,3885,22,306915,2547,5525,1393,9391,499206,T
765783031,2827,582,70675,1404,5785,1858,9333,498651,T
721264239,3749,29,82478,1655,11993,1393,7386,499239,T
028248359,2959,579,458645,1122,8781,1858,5255,499132,T
663815366,3984,17,804768,1689,11708,1858,9429,499200,T
159304042,2859,571,491748,1073,5463,2322,7418,498490,F
911411147,2952,553,705528,3615,6304,1858,7273,498355,T
934194301,2888,560,467856,2601,5652,2322,6942,499008,T
535647288,453,21,67950,6556,6556,464,7965,499079,T
914546426,268,12,64320,1762,13659,929,4892,498279,T
658674245,2820,564,64860,3753,7339,2322,9479,498641,T
813987946,3885,18,108780,1459,10927,2322,5300,498309,T
611439161,352,35,67232,1928,10035,929,10226,499070,T
675282121,2956,575,375412,1277,5463,2322,9523,498891,T
892796924,2880,579,397440,1273,13290,1393,7496,499040,T
055812377,2847,558,649116,1321,12293,464,5410,499136,T
215976486,3723,29,521220,1731,6470,1393,4893,498964,T
178094142,4006,19,636954,1241,14049,2322,4802,498916,F
583209761,4011,24,742035,2074,5718,1858,9970,499278,T
733242574,2792,578,362960,1022,10035,1393,9455,499103,T
212058939,2891,559,569527,1743,10035,1393,7045,498340,T
822074655,406,6,64148,1666,5924,464,9852,498914,T
378673262,271,21,14905,3256,10462,464,9581,499030,T
059926862,2853,591,85590,1725,9278,1858,7368,499056,T
055626460,2902,583,243768,1413,12608,929,7775,498934,T
261592510,3986,50,721466,1633,8781,929,5474,498945,T
769408009,2780,560,141780,2235,7931,2322,4689,499165,T
497350353,3992,27,942112,1336,12940,929,5488,498313,F
844540089,2947,564,536354,5069,20489,1393,7585,498286,T
