userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
446532390,3786,46,140082,1073,1003,1393,5272,498941,T
396050446,4122,25,366858,1073,2446,464,6999,498580,F
576471470,2905,554,180110,1073,18212,464,7433,499108,T
477141298,3852,33,381348,1073,1148,464,7175,498363,F
211594729,2957,597,204033,1073,1135,2322,5254,499140,T
219454694,4068,70,353916,1073,1389,464,9437,499265,F
892414513,3921,36,231339,1073,6470,1858,5421,499226,T
132176279,3951,34,379296,1073,1531,464,6937,498579,F
988085104,2984,617,271544,1073,2410,1393,7827,498868,T
478755022,3886,83,318652,1073,16391,464,9500,498735,F
286597741,275,29,11000,1073,2892,464,7779,498634,T
426540907,4089,73,269874,1073,22352,464,7139,498434,F
817971065,495,48,43560,1073,37826,464,7055,498653,T
896063783,4051,32,392947,1073,1834,464,5643,499138,F
163788956,2793,574,212268,1073,3235,2322,7517,498877,T
936293069,3929,68,326107,1073,5403,464,7924,498716,F
890418779,3000,555,225000,1073,2809,929,9959,498837,T
950300083,3996,63,379620,1073,1666,464,9339,499076,F
367134709,2776,568,222080,1073,1112,2322,7324,498430,T
913139119,3930,70,353700,1073,1459,464,9852,498320,F
307328340,4009,2,376846,1073,7024,1858,5483,498855,T
679004920,3938,69,393800,1073,997,464,5525,499131,F
048614107,3024,594,99792,1073,7024,1858,9568,499073,T
901191357,4064,79,382016,1073,983,464,9963,498463,F
889452427,2934,621,88020,1073,1168,464,9896,499202,T
373628298,3969,36,373086,1073,1059,464,9949,498809,F
862702872,3987,44,139545,1073,3753,464,7966,498476,T
534886880,4051,42,384845,1073,2287,464,7422,498999,F
302665779,481,9,33670,1073,1381,929,7528,498591,T
914223675,3999,78,331917,1073,9106,464,7294,498481,F
015839604,2781,616,200232,1073,1283,1393,4926,498640,T
723329088,3893,48,295868,1073,10244,464,7875,498734,F
961177460,2807,574,58947,1073,1205,929,7848,499086,T
141271210,4096,34,344064,1073,3092,464,4717,498447,F
106406181,3822,51,252252,1073,4470,929,5054,498888,T
436959767,3940,60,366420,1073,18913,464,7868,498297,F
251486560,3843,18,146034,1073,2175,464,9957,498803,T
597488069,3879,41,287046,1073,49174,464,9979,498598,F
633265730,2862,556,68688,1073,2195,1393,6989,499103,T
977744827,4110,77,382230,1073,3841,464,4993,498414,F
786094289,3950,31,256750,1073,2716,929,5400,499043,T
882158473,4056,62,369096,1073,4351,464,4823,498420,F
354931352,3974,52,333816,1073,1001,1393,7497,499055,T
013269389,4105,78,340715,1073,13290,464,10135,498633,F
160308302,3901,58,339387,1073,2944,929,7382,498489,T
175720348,3972,83,389256,1073,1273,464,7349,499280,F
857310180,398,29,27064,1073,5069,464,9906,499082,T
809213618,3916,34,383768,1073,2471,464,7303,499220,F
388677447,2977,588,59540,1073,2859,464,9481,498471,T
440293153,3868,39,379064,1073,1862,464,10167,498564,F
568384590,2860,584,251680,1073,1591,464,9790,498720,T
245181628,3934,29,373730,1073,3112,464,4701,498559,F
582028348,3911,19,144707,1073,40979,2322,5637,499132,T
948566627,4033,76,362970,1073,4470,464,7148,498822,F
247365793,3006,553,207414,1073,30734,2322,9694,498305,T
902768895,3970,62,397000,1073,1951,464,4725,498732,F
825854698,3759,32,259371,1073,4313,1858,4677,498604,T
738908560,4014,66,357246,1073,4917,464,4753,498893,F
135665351,2901,590,107337,1073,1336,929,9818,499123,T
891027816,4089,78,359832,1073,8627,464,9509,498829,F
239490323,3872,40,147136,1073,3812,929,5057,498727,T
401293103,4116,35,378672,1073,1801,464,7621,499169,F
075455175,3725,31,271925,1073,3812,464,5089,498648,T
884905140,3985,29,378575,1073,8940,464,7599,498775,F
454843647,3729,61,264759,1073,1110,929,10044,498645,T
853686613,4063,49,280347,1073,9642,464,6974,499111,F
945855461,3813,14,110577,1073,5069,929,5157,498907,T
987729369,3930,78,353700,1073,8195,464,9643,498948,F
514250057,3799,59,296322,1073,2101,1858,9986,499218,T
807914054,4111,38,398767,1073,2330,464,7117,499175,F
772369613,454,52,40860,1073,13290,464,5596,498320,T
381251026,4039,13,367549,1073,3054,464,10065,499042,F
509397361,2971,615,145579,1073,5525,1393,7776,499015,T
960382177,3960,59,360360,1073,997,464,7394,498498,F
838221701,3743,59,250781,1073,1001,929,5614,499041,T
747851055,3906,78,378882,1073,1050,464,4914,498839,F
887323166,2870,607,126280,1073,8781,929,7826,498460,T
206275569,3864,44,378672,1073,1112,464,7185,498706,F
846592182,2893,587,133078,1073,2308,1858,9664,498997,T
960642981,3946,57,335410,1073,8627,464,5332,498576,F
867059277,2918,599,285964,1073,999,464,4600,498913,T
798464233,4063,40,369733,1073,3997,464,7117,498869,F
531542796,2832,565,181248,1073,1655,1858,4818,499055,T
084422520,4073,79,362497,1073,3235,464,9335,498856,F
346752973,448,53,30016,1073,999,464,5113,498391,T
450811749,3926,54,310154,1073,9456,464,9269,498344,F
231487552,4011,46,256704,1073,3872,2322,9523,498918,T
765986448,4120,81,313120,1073,14049,464,7323,499218,F
980925370,4020,5,108540,1073,5785,464,4680,498866,T
031007717,3969,55,341334,1073,1442,464,9552,498426,F
096000336,3825,58,279225,1073,9278,929,10113,498370,T
900773927,4047,79,364230,1073,3463,464,9426,498591,F
696768282,3965,3,122915,1073,2387,1858,9911,498788,T
292905377,3842,72,384200,1073,2319,464,9242,498685,F
778269682,2901,566,89931,1073,1369,2322,7568,498964,T
897255644,4072,35,305400,1073,5996,464,7057,499032,F
942783013,3797,31,159474,1073,10927,464,7536,499047,T
708845615,4075,28,370825,1073,1628,464,7150,498276,F
103328958,361,57,11913,1073,19669,929,6973,498278,T
295436601,4026,77,366366,1073,6304,464,9996,498359,F
