userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
840984376,4813,608,115512,2477,14867,1849,3380,684040,T
813883370,4777,578,902853,3874,15593,2312,2882,683832,T
830935423,403,1,28210,3118,7183,1387,3435,684102,T
195962471,477,2,94446,2167,13898,462,3100,684408,T
276470603,4736,616,123136,3180,31965,462,4829,683458,T
940568628,3585,30,172080,3493,6949,924,3335,684224,T
550976421,553,14,65807,1398,16824,462,2783,683787,T
863681966,4683,585,1006845,9133,19373,1849,5578,683778,T
187751172,4672,594,897024,2743,8639,924,4497,683688,T
909209182,4703,607,907679,4534,7892,462,5906,683637,T
947123210,3627,35,213993,1973,13602,462,3569,683924,T
186489647,4822,587,742588,4378,10311,1387,5787,683596,T
344852343,4814,612,616192,3551,79914,1849,6366,684214,T
875564425,4865,577,788130,1614,7892,1387,4622,684085,T
150208145,4799,591,993393,3329,17278,462,3523,683829,T
585020135,4770,606,658260,1756,7025,1849,6395,683964,T
844885792,3697,19,916856,2324,79914,2312,3650,683510,T
708743539,4744,588,730576,1869,37606,1387,5859,684106,T
085068074,435,12,106575,1991,7796,462,4997,683654,T
442480756,3741,1,650934,6949,13602,462,3400,684083,T
266731944,3725,37,290550,3418,49178,924,3559,684393,T
304524161,4780,589,592720,1795,13319,1849,6287,683782,T
607263035,4810,584,144300,1925,6801,462,4275,683443,T
867962201,4811,601,1010310,4151,6590,924,6067,684389,T
258362241,4864,601,520448,2004,127862,1387,6259,684370,T
091778337,553,7,90139,3382,9401,462,4309,683654,T
338457102,3582,26,823860,1985,15982,1387,5611,684398,T
910501832,3663,29,571428,1318,19978,462,3563,684401,F
876512662,3666,12,278616,5511,16824,1387,6140,683798,T
470360486,4821,594,120525,1837,17278,462,6258,683966,T
686093786,4817,596,592491,2557,22045,1849,3107,683470,T
338109679,4683,578,407421,3382,11623,1849,2752,683642,T
591891951,4847,612,974247,1630,7991,1849,6314,684346,T
940343698,1801,1,417832,1459,8196,1849,6547,683671,T
