userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
269454711,658,20,55272,1479,2412,462,5051,683607,T
951025480,3574,10,343104,1479,53276,1387,4660,684012,F
095782280,3592,2,71840,1479,1630,2312,2757,684103,F
547138503,614,1,47278,1479,3329,1387,3343,683584,T
293560449,4678,583,458444,1479,3970,1849,3340,684265,T
696685559,3655,47,310675,1479,4124,2312,3730,683557,F
667479663,499,45,42914,1479,2333,462,6436,684351,T
075159632,3720,50,249240,1479,53276,924,4684,683791,F
622204936,4931,626,108482,1479,2341,462,5661,684069,T
552886590,3631,16,206967,1479,2620,1387,5683,684075,F
340863946,3783,9,287508,1479,20623,1387,5845,683603,F
449011491,472,48,36344,1479,10655,1387,3176,683892,T
088989603,4960,646,203360,1479,1925,924,3548,683765,T
739033864,3624,55,286296,1479,1955,1387,3257,684394,F
903990231,1947,38,126555,1479,9835,1849,5959,683719,T
296539642,3748,32,374800,1479,5073,462,4476,683527,F
924307686,4774,611,386694,1479,13602,462,5591,684220,T
694378177,3753,21,180144,1479,1340,1849,3456,683863,F
615151403,3837,5,345330,1479,2892,924,3659,684342,F
116142606,4877,601,243850,1479,4955,1387,6395,684217,T
673710458,1721,20,41304,1479,3551,1387,4311,683851,T
818550299,3693,58,192036,1479,2204,462,3334,683997,F
240811488,465,1,34875,1479,1925,1849,3774,683738,T
276831402,3557,33,206306,1479,5657,924,4401,684121,F
970120136,453,33,15402,1479,1718,462,5601,684346,T
561655306,3614,11,133718,1479,1493,462,3650,684025,F
436902690,4748,590,142440,1479,27796,2312,6286,683702,T
179430391,3672,67,117504,1479,3970,924,4416,684144,F
570908681,3834,6,153360,1479,4290,1387,2806,684393,F
318647558,584,20,32120,1479,3805,924,3019,683598,T
196427928,1684,43,67360,1479,2103,1849,4380,683460,T
148009894,3745,61,228445,1479,2333,462,6355,684283,F
422212760,4699,594,333629,1479,8092,462,4807,683608,T
612450117,3588,44,308568,1479,1371,924,4979,684303,F
775046003,4747,604,284820,1479,1555,924,6515,683451,T
380115780,3677,2,264744,1479,2123,924,3142,684194,F
778700893,4811,577,182818,1479,1842,2312,4195,683742,T
918578065,3612,22,111972,1479,5033,1387,6369,683655,F
586632711,1783,39,167602,1479,1826,2312,4483,683535,T
749312432,3799,49,334312,1479,1486,2312,3196,683756,F
862285280,1841,33,86527,1479,2946,1849,2963,683714,T
369919079,3761,33,135396,1479,1283,1849,3296,683435,F
397888703,3553,20,145673,1479,3103,1849,3692,684375,F
786914603,1757,54,42168,1479,1443,1387,6429,684118,T
975090497,4741,603,298683,1479,1286,924,4619,684092,T
057916678,3838,22,299364,1479,4262,924,5965,683706,F
583385001,650,1,56550,1479,1345,924,4235,684316,T
220213027,3664,7,109920,1479,1682,462,2746,683897,F
099337423,645,1,20640,1479,1459,924,3598,683609,T
175736402,3621,26,144840,1479,2767,1387,3352,683627,F
051384822,1805,59,113715,1479,1664,2312,4444,683649,T
135705957,3725,64,160175,1479,1443,462,3085,683681,F
053307389,4861,589,311104,1479,2283,2312,4200,684010,T
329285553,3577,26,171696,1479,8412,462,3213,683866,F
052702798,4831,632,212564,1479,1315,924,4354,684330,T
016862431,3614,17,213226,1479,1853,924,4662,683579,F
143831394,3676,16,327164,1479,2598,924,4924,683724,F
219885907,567,35,48195,1479,1598,462,3655,683478,T
426636705,4743,644,294066,1479,1500,924,4498,683766,T
449000520,3580,12,193320,1479,1874,1849,3203,683826,F
411564032,4931,587,419135,1479,5240,2312,4877,684172,T
569594715,3576,48,100128,1479,15982,462,4491,683945,F
457250818,4841,589,261414,1479,2275,1387,5097,683920,T
713540590,3681,9,143559,1479,1775,924,5813,684196,F
810607179,4756,637,166460,1479,1348,924,3496,683710,T
389331208,3579,12,218319,1479,1574,1387,6245,683717,F
194023815,4743,616,431613,1479,1452,924,6369,683580,T
253041726,3578,36,332754,1479,1423,924,5753,683915,F
360378342,3616,18,307360,1479,1405,1849,3507,683588,F
569889552,4765,586,405025,1479,3133,2312,5964,683716,T
206728009,4699,585,469900,1479,2708,1387,5081,684320,T
301168362,3758,13,300640,1479,6393,1387,3479,684013,F
054706054,4933,611,483434,1479,3044,924,4136,683978,T
722935121,3788,18,287888,1479,29059,924,5848,683780,F
511098547,564,6,11844,1479,1363,462,4680,683428,T
388024476,3625,7,195750,1479,3851,2312,3563,683446,F
246872752,1919,31,122816,1479,5417,1849,2794,683457,T
122197587,3643,62,302369,1479,7702,462,5721,683628,F
320730595,1951,20,70236,1479,1304,2312,5115,683698,T
777560788,3558,38,167226,1479,2816,924,5532,684198,F
606216516,1891,41,139934,1479,1566,1849,4438,684304,T
782949664,3715,25,360355,1479,1547,924,3162,684319,F
561460786,4773,589,167055,1479,1337,1849,5977,683927,T
154765160,3769,7,376900,1479,1312,924,6296,683685,F
877989896,3662,5,179438,1479,79914,1849,4744,683970,F
560502664,1775,20,35500,1479,1383,1849,3692,683777,T
115620247,4802,627,264110,1479,1540,924,4544,683565,T
340160609,3843,8,88389,1479,91330,462,3378,683701,F
505192121,626,9,23788,1479,3164,1387,4913,684312,T
229662904,3693,49,136641,1479,8879,462,5882,683974,F
590650693,4839,592,391959,1479,1307,462,4855,683488,T
276697713,3603,59,291843,1479,15221,1849,2734,683535,F
036665408,1781,63,158509,1479,8302,1387,5100,684036,T
471210176,3691,43,269443,1479,5559,1387,4134,684299,F
187474678,4702,604,253908,1479,1433,924,4811,684315,T
417424895,3845,29,149955,1479,1914,1387,3665,684248,F
681099359,4820,643,294020,1479,11216,462,3263,684003,T
512485933,3669,34,172443,1479,5197,462,3687,684173,F
961389678,1959,23,174351,1479,1582,1849,4880,683523,T
447343767,3656,69,91400,1479,2152,462,4239,684075,F
