userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
603639717,1317,39,200184,1292,2182,2314,9656,135293,T
109579255,44,1,3784,528,7396,462,10112,135961,T
668716704,1334,44,77372,811,11094,2314,5235,136136,T
963870433,1353,57,326073,655,3328,2314,10150,136145,T
890276941,3560,27,662160,283,3169,462,4989,135811,T
803102910,1353,18,271953,1849,1495,925,9288,136001,T
978611250,1251,20,137610,330,4590,2314,7545,135712,T
189944108,3612,15,585144,957,1706,1851,5530,136105,T
990409223,3609,17,902250,290,2958,1388,5570,135310,T
661518639,1262,56,237256,1091,3915,925,4809,136013,T
916931398,2401,31,547428,437,1799,462,5074,136158,T
585045387,137,1,26441,396,1729,1388,5602,136178,T
345975419,3677,32,169142,354,3915,462,6909,135832,T
120533100,114,1,20064,426,1901,462,9899,135513,T
255083760,3638,30,847654,412,4160,462,4887,135634,T
869231619,1160,50,136880,1109,2717,1851,5458,135279,T
712830798,1235,33,302575,419,2335,2314,9300,136137,T
375925635,1220,21,126880,557,2218,1851,9709,135917,T
316526663,1237,22,300591,605,1929,1388,5585,135213,F
667024927,2369,40,177675,267,5547,462,6916,136122,F
716641938,3602,12,781634,304,1344,925,4964,135440,T
651793600,1286,38,261058,449,1987,2314,9587,135970,T
278890270,3522,1,693834,414,1463,1851,4910,135905,T
592982202,1206,27,92862,640,1929,2314,7058,135782,T
193683495,1245,45,18675,266,3803,1851,9815,135639,T
781043405,1252,55,21284,826,1431,2314,10234,136178,T
894533240,1,2,244,272,4590,1851,5014,135680,T
550454171,1267,43,154574,1188,2147,1851,4850,135662,T
706089069,1160,32,83520,494,2512,1851,9562,135982,T
047728470,1176,37,263424,417,5788,1388,5037,135906,T
625005847,38,8,1786,1118,2610,1851,4752,136006,T
684573581,1182,48,125292,279,1799,1851,5183,135498,T
030811152,1334,36,317492,380,2113,462,7015,135257,T
777487003,3659,9,329310,484,3915,1388,5202,135352,T
422791766,44,1,4444,365,1331,462,9445,135913,T
252026636,20,1,620,1024,5120,925,9878,135586,T
765232207,1204,43,172172,765,1604,2314,4776,136173,T
751669923,106,1,25228,298,2894,462,5348,135549,T
473648695,191,1,40683,325,1530,925,9297,135415,T
122251945,1285,48,149060,344,1604,1851,5291,135381,T
863048464,3501,13,357102,318,1901,1851,5341,135714,T
888836967,1298,52,267388,334,1344,462,7636,135393,T
972352737,22,1,2596,477,22189,925,5485,135616,T
852792131,1209,31,197067,493,1664,925,4753,135541,T
606608660,1233,28,101106,931,19019,1851,5033,135911,T
606663893,1324,30,328352,422,2662,2314,7375,135851,T
809043848,151,12,6040,1401,1584,1388,4757,136122,T
035024503,3670,29,187170,268,2256,462,5360,136090,T
294616569,1282,27,119226,401,1416,2314,7387,135876,T
655264360,3482,21,449178,283,7831,462,9989,136131,T
797891877,3626,1,717948,353,3169,462,4654,135346,T
239789880,3560,7,583840,291,6339,925,7094,135524,T
724017664,1288,44,155848,496,1463,2314,5577,135439,T
395822429,194,9,44426,811,3698,462,7852,135511,T
957650860,26,1,5226,557,16642,462,7299,135473,T
307834809,1241,28,287912,382,2295,1388,10040,135813,T
195912358,3555,33,739440,357,1566,462,4641,135518,T
621609714,50,1,1750,399,1548,1388,7209,135213,T
339817360,2343,42,377223,1040,6051,925,6989,135606,T
551630683,3565,3,584660,1016,1685,925,7438,135369,T
678047292,3494,7,503136,457,1358,1851,4721,135423,T
