userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
642662370,1282,59,43588,293,2048,1851,4829,135467,T
482838449,2565,61,148770,293,581,462,5505,135641,F
322629242,1224,22,110160,293,443,2314,9898,135221,T
482520522,1408,20,83072,293,337,1851,5125,136018,F
412485442,1234,71,88848,293,289,462,9591,135458,T
590013606,1417,19,127530,293,276,1851,6938,135233,F
236800864,2552,75,58696,293,723,462,4929,135738,F
298977084,3489,46,163983,293,1147,462,5318,136144,T
758340224,1232,34,105952,293,295,1388,5572,135308,T
080238600,2567,78,102680,293,610,462,4792,135813,F
912115350,1215,72,109350,293,328,925,9557,135292,T
599051491,2299,74,151734,293,416,462,4875,136180,F
580142221,1433,43,84547,293,429,462,5232,135283,T
942720669,2369,46,111343,293,1495,462,5197,135251,F
267965910,1241,18,107967,293,328,925,7346,136016,T
985611050,1209,24,118482,293,300,1388,5396,135576,F
194885653,273,28,5460,293,463,925,5424,135904,T
467038302,1196,23,66976,293,578,2314,5491,135201,F
523677298,1253,78,80192,293,931,1851,4966,135784,T
443875871,2428,43,53416,293,292,462,5123,136089,F
142783578,1444,31,41876,293,1566,462,9582,136075,T
223262538,1179,20,68382,293,586,925,7068,136161,F
533231657,2558,56,214872,293,4034,462,5577,135533,F
139164857,244,19,20740,293,1358,462,4964,135876,T
890999092,4,1,108,293,1040,462,4792,135307,T
522472863,2388,37,95520,293,4754,462,7096,135357,F
696277438,1452,81,63888,293,1401,2314,4695,135351,T
343465163,2489,55,194142,293,2894,462,5123,135413,F
232186498,1442,59,136990,293,375,1388,10180,136062,T
599834063,2461,68,182114,293,345,462,5007,136146,F
873776569,3760,67,251920,293,607,462,4999,135205,T
542107991,1243,19,105655,293,403,2314,5425,135206,F
935812795,19,47,570,293,305,462,6917,135780,T
483300818,2459,52,159835,293,8875,462,7410,136084,F
059285615,3527,60,186931,293,881,925,4602,135516,T
061912085,2582,31,67132,293,512,462,4834,135506,F
456268311,3585,41,301140,293,2958,462,7097,135569,T
621631058,2522,71,52962,293,11094,925,5573,135784,F
675378189,2305,51,189010,293,335,462,5359,135454,F
027888900,1420,45,45440,293,489,1388,7894,135650,T
790867330,234,32,12870,293,282,925,5021,135766,T
022337671,1231,24,28313,293,379,2314,4618,135656,F
145641198,3616,50,336288,293,412,462,6988,135553,T
809204092,2502,35,75060,293,385,462,5227,135559,F
103159004,1213,44,66715,293,881,1388,7841,136057,T
825088896,2380,72,192780,293,1008,462,4638,136130,F
800936057,3686,16,88464,293,1987,462,5312,135620,T
605652045,2423,39,184148,293,765,462,4766,135596,F
487221754,1,2,85,293,719,1388,7140,135353,T
845761226,1372,21,91924,293,619,1851,5510,136053,F
986566153,1331,24,119790,293,708,1851,4977,135323,F
746487585,1247,67,93525,293,778,1388,9821,135904,T
664651974,1258,73,33966,293,276,2314,9883,135889,T
293523643,2380,49,226100,293,7396,462,7942,135321,F
224616919,44,3,2640,293,332,925,4706,135353,T
379229756,1307,20,49666,293,452,1851,5577,136188,F
641266933,1342,36,52338,293,1431,925,9832,136087,T
257016558,2524,58,222112,293,286,462,5415,135443,F
786533544,1193,31,114528,293,322,462,7604,135968,T
086163354,2511,45,77841,293,1447,462,5607,135435,F
422854912,14,6,1330,293,616,925,9565,136133,T
039027469,1262,22,83292,293,426,1388,5587,135261,F
744876674,166,35,16600,293,4930,462,4806,135502,T
991812048,2342,80,192044,293,1100,462,4597,135406,F
230569318,1350,65,49950,293,348,2314,7505,136204,T
387126266,2527,68,93499,293,541,462,5178,135912,F
755706901,1323,24,38367,293,599,1851,7376,136173,T
392971394,2409,77,175857,293,320,462,4663,136050,F
397988061,1304,23,121272,293,297,1388,4814,135343,F
465665186,1308,36,115104,293,491,1388,7224,135581,T
607502843,1286,73,102880,293,322,462,9860,135888,T
213883788,1252,21,111428,293,283,1851,4642,135980,F
301822884,3638,4,254660,293,978,1851,5203,135496,T
976180170,2305,33,179790,293,11094,462,7409,135216,F
887242613,1379,80,99288,293,14792,925,9689,136025,T
600380207,2499,39,137445,293,494,462,5052,135923,F
039705268,1352,72,123032,293,430,1388,5257,136006,T
107833858,2322,37,227556,293,1267,462,4848,136141,F
484120663,1288,86,72128,293,1128,462,5202,135743,T
304170239,2340,72,168480,293,802,462,4805,135950,F
062340754,1370,29,108230,293,630,1851,10211,135488,T
879001024,2448,41,168912,293,281,462,4770,136059,F
243138041,1342,59,55022,293,837,925,7190,135854,T
674243615,1277,20,95775,293,1849,1851,5026,135312,F
735721806,161,44,6923,293,599,462,5308,135241,T
855675167,1438,18,130858,293,308,1851,5057,135234,F
597585434,1402,78,56080,293,385,462,9671,135359,T
349139271,2397,28,194157,293,1118,462,4715,135918,F
945327841,1248,73,57408,293,370,462,9242,135764,T
332606659,2356,81,49476,293,2295,462,5407,135947,F
275764835,1160,58,107880,293,472,462,4810,136067,T
469464784,2451,28,63726,293,13313,462,9399,136000,F
312647026,7,31,273,293,383,462,7391,135695,T
998236314,1362,22,34050,293,290,1388,4666,135348,F
361151820,1414,37,86254,293,978,1851,10045,136181,T
384320425,1359,22,135900,293,832,1851,5338,135340,F
679525072,3623,16,94198,293,8875,1851,5102,136120,T
617619637,2435,46,168015,293,1987,462,5216,135805,F
970426867,1220,20,70760,293,811,1851,5452,136031,F
270797333,204,25,8568,293,390,925,5275,135350,T
