userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
289120294,1755,81,26325,1640,5581,1340,3139,436241,T
004078526,431,2,46117,2238,4828,1675,3330,435966,T
624783047,4041,31,921348,2865,17906,335,5647,435678,T
626710426,285,1,15675,2702,6821,1005,4825,435727,T
867124158,2247,41,53928,5730,11019,1340,2826,435412,T
719028794,1763,77,218612,1962,4430,670,5382,435690,T
974378083,353,1,24710,983,4775,1005,4239,435417,T
344688279,1814,85,224936,2428,4621,1675,6038,436134,T
828474841,2259,37,528606,2066,10743,670,3319,436046,T
581945867,413,1,68971,2573,61393,1675,4333,436355,T
565234314,1723,82,361830,1712,85951,1340,4452,435449,T
802867530,1788,60,409452,3942,5305,1675,5855,435959,T
744095623,285,15,5415,3280,7958,1005,4878,435644,T
538040390,1725,90,18975,2036,85951,335,4321,435823,T
856364694,2115,33,234765,2323,33058,335,5840,435611,T
705808892,317,1,16801,1836,20464,1675,3629,435415,T
939994477,1909,98,314985,1310,25279,1340,3115,435405,T
011341496,3993,1,95832,1665,71626,335,4872,435777,T
605499538,380,1,46740,2066,4621,1675,3508,435552,T
064061924,2094,41,410424,908,4939,670,3494,435851,T
011175320,1773,87,33687,2903,10232,1005,5546,435816,T
973006861,4279,97,941380,1133,5654,1005,3366,436060,F
034716295,4277,98,958048,2558,13863,335,5523,436385,T
018730814,1816,82,334144,1214,5654,1005,6120,435587,T
298597747,4246,98,844954,1951,23470,892,3978,870762,T
750631619,1815,70,435600,2884,28650,670,2666,435502,T
449725411,4001,37,760190,1038,6714,335,4111,435896,T
530660939,1912,73,347984,1093,18685,1675,3978,436365,T
950481965,293,1,46001,1615,7162,670,4403,435966,T
153127804,3954,11,264918,1256,39068,670,3192,435574,T
900551287,2175,27,126150,1035,4671,335,2840,436182,T
268023914,1882,61,80926,2238,25279,1340,2939,435920,T
230981162,2153,21,129180,2984,5581,335,3296,436265,T
088177321,3979,20,827632,4092,6319,335,4851,436034,T
117838037,252,1,56952,1279,10232,670,4251,435397,T
305741916,433,1,101322,1813,61393,1675,2848,435619,T
046263795,240,1,56640,1884,5055,1005,5377,435606,T
771526738,1767,82,358701,1918,5807,1340,4789,435768,T
897744505,2106,36,153738,3410,6821,670,4193,436175,T
207509121,2229,32,291999,2484,9342,670,2640,435572,T
168946297,1851,78,347988,976,4476,335,6173,435783,F
925776421,362,1,30408,4016,4297,1005,3069,436358,T
477664709,1774,85,46124,1079,18685,1675,4209,435516,F
935543551,4242,92,941724,1006,6611,335,4025,435607,F
995640270,276,4,3864,1275,11937,1005,4490,436113,T
359245957,1785,85,355215,1476,16529,335,4799,435827,T
549852593,3992,18,750496,959,61393,670,4723,435536,T
352990819,3952,27,988000,2215,4775,335,4469,435717,T
621114307,4217,92,839183,5968,85951,670,5793,436326,T
069519449,267,11,14685,1404,10232,1675,4081,435676,T
086143039,2127,42,121239,1180,33058,670,3320,435705,T
478779595,363,20,53724,959,42975,1005,4631,436197,T
829509916,2143,43,231444,992,5371,335,3073,436296,T
400291818,1794,85,299598,4476,39068,1340,4790,435501,T
048572707,4020,21,265320,1130,6611,335,2694,435737,T
206970580,3917,8,215435,1698,7409,335,4684,435968,T
455734453,2198,39,28574,1351,6319,1005,2863,435732,T
736286910,3923,2,819907,912,9994,670,4409,435401,T
263840931,3866,10,947170,1386,4430,1005,3383,435642,T
446175050,1883,99,231609,1282,42975,1340,3061,436233,T
267412510,2135,50,215635,1446,5807,670,3637,435755,T
461137443,354,1,80358,1170,5055,1340,2654,435669,T
915964796,3851,2,188699,2484,71626,1005,2662,436074,T
021545995,358,24,33294,1020,6052,1005,3452,436362,T
352951372,325,1,16575,1442,8770,1675,4513,436372,T
980493866,4146,110,833346,1768,10743,670,2961,436196,T
966727040,1745,77,158795,1529,28650,1340,6249,435439,T
921888290,1885,77,64090,922,4430,670,5717,436190,F
036149677,2258,22,510308,1338,15348,670,2979,436137,T
925096146,326,1,64222,1844,4775,1675,3459,435927,T
125714687,3842,38,630088,934,4883,670,2687,436210,T
215119731,3879,23,515907,1023,28650,670,4036,435580,T
216122250,3848,16,492544,2181,5581,1340,2674,435886,T
551562927,374,1,70312,868,8426,670,4920,436280,T
611541225,298,22,74202,1096,8426,1340,3314,435724,T
354308666,1874,65,44976,1015,7958,670,4832,435486,T
149178411,1833,63,445419,2017,85951,1675,4305,435701,T
864240273,298,1,40528,1279,5439,1675,4290,435814,T
359948921,4305,95,684495,1852,5177,670,3234,435682,T
856911640,1912,77,49712,1451,4997,335,4783,435959,T
194504599,1902,70,374694,2298,13429,1675,2752,435950,T
385964697,2223,30,235638,3493,5371,335,4014,436326,T
066988531,1877,62,185823,1063,17190,1005,5581,435962,T
458450530,1734,84,265302,5968,5305,670,5458,435491,T
806413846,2217,49,421230,2181,4430,670,3016,435951,T
257988157,1723,61,373891,1427,8264,1005,6234,435945,T
908256734,1779,74,83613,1918,7674,1005,4370,435734,T
498637156,3975,17,214650,3331,4385,670,6061,435561,T
429079400,3899,29,639436,3673,85951,670,6083,435905,T
746114946,2066,42,181808,2226,4571,335,3002,436138,T
813921562,1892,62,174064,4571,21487,1340,4488,435756,T
639219393,1783,78,347685,1540,6414,1340,5749,436042,T
953061970,4191,117,716661,1110,8108,335,3143,436061,F
780521079,318,7,10812,1893,8264,1005,3318,436099,T
340597513,2171,22,206245,1058,21487,335,3638,436018,T
100053159,3965,27,582855,4828,11615,335,3651,435886,T
515835037,1898,69,20878,2903,35813,670,4153,436141,T
153074425,3908,29,957460,2226,5968,335,4895,435990,T
265026640,284,20,6248,1136,4385,1675,3342,435419,T
296520794,1783,66,265667,1579,7045,1005,2954,436024,T
229743847,244,1,43188,940,7284,1340,4316,435569,T
450954397,3885,35,679875,3493,10232,335,4451,435778,T
791272509,1871,60,159035,4172,4571,1675,5505,435823,T
786240788,323,1,39083,1347,9342,1340,4878,435428,T
596149959,1861,72,152602,2923,39068,1340,5418,436207,T
878884527,2218,45,270596,3280,12639,670,3502,435726,T
341755556,1793,72,141647,1691,5887,670,4717,435582,T
177562802,283,4,3113,976,4775,1005,4750,435650,T
976759778,2110,38,346040,869,5968,335,2775,435816,T
032804648,4243,118,1056507,4722,8953,1005,4077,435643,T
272640177,4332,91,745104,1058,11937,670,3288,435462,F
928516893,3933,8,896724,2808,4997,335,3306,435679,T
839652438,3923,22,184381,5240,7162,335,3680,435782,T
273254982,1853,71,57443,1456,8108,670,5882,436031,T
078486126,358,1,60144,1004,4340,670,3394,436110,T
517638195,1921,72,315044,1338,6511,335,5894,436269,T
915456751,2232,36,42408,963,5581,335,3527,435459,T
832994774,1775,93,46150,2588,9994,670,3284,436303,T
460475336,3879,11,182313,3493,7674,1005,3658,435866,T
116670062,3973,40,989277,1190,8770,670,3422,436022,T
741050296,3958,41,474960,4213,5581,670,2897,436162,T
808072008,352,8,56672,2387,8108,1340,4652,435480,T
454949778,362,1,9774,887,6319,335,5789,436398,T
386829126,1807,90,449943,1190,7674,335,4815,435557,T
429494463,1853,71,289068,3837,16529,670,4301,436301,T
870786217,4022,31,213166,3906,4775,335,5943,436361,T
176791182,367,8,71198,5581,42975,1340,3410,436128,T
575248944,320,17,35200,1347,4883,1675,2758,435915,T
944673357,4273,111,555490,1545,17906,1005,3418,435872,F
460452088,2249,42,170924,1534,8108,1005,3058,436332,T
702245350,2109,23,187701,1386,7162,1005,3623,436335,T
199887561,2105,50,442050,967,12278,335,3652,435838,T
977409431,1813,59,146853,1055,5730,335,4021,436379,T
231042776,1881,95,267102,2636,7409,1675,5462,436252,T
958959802,1818,70,414504,2772,11019,1675,3445,435435,T
735527492,259,1,25123,928,5305,670,5698,435806,T
665651812,332,1,11952,895,6319,1005,4933,436200,T
972167432,2245,34,141435,1038,13429,335,6252,435517,T
411842106,1867,67,461149,1245,33058,670,3461,436036,T
896141344,1795,61,342845,1562,6611,670,4169,435505,T
444109759,3944,28,149872,2484,39068,335,6340,435739,T
614822390,4024,27,857112,4523,5371,1675,3035,436244,T
715263292,2239,16,147774,1685,33058,670,6350,435983,T
468197386,1830,61,409920,1672,42975,1675,4676,435972,T
278767397,1739,89,74777,1271,5509,335,3573,436381,T
982951299,1774,73,260778,1183,6319,670,4908,436222,T
348538212,1886,85,86756,1901,10481,1340,2803,435979,T
110866708,2061,27,243198,3803,11937,1005,3558,436278,T
995083625,1781,67,293865,2374,17906,1005,3319,436064,T
934500511,1865,93,158525,948,8595,1340,4609,436121,F
890280530,1771,73,417956,2076,42975,1340,5327,435640,T
377393432,1909,85,259624,1404,17190,1675,3298,435700,T
380633657,1802,83,427074,959,11615,1005,4229,435584,F
742103330,1732,84,372380,897,5730,1005,3638,435706,F
512990391,1827,94,36540,882,15348,670,2835,435534,F
891773830,2162,20,151340,2943,7813,670,5537,435729,T
675815739,4031,35,322480,3231,22618,670,4728,435429,T
478108284,1845,93,402210,952,4722,335,3048,436045,F
434311939,1895,69,384685,1298,13022,1005,4003,436124,T
713054555,1801,93,180100,3183,11615,1675,5728,436262,T
415890567,1890,72,319410,866,5439,670,4895,435417,F
687611444,1787,79,176913,1634,13022,1340,5317,435481,T
226427143,1909,65,286350,2148,18685,670,6338,436134,T
794152999,1801,67,61234,2027,26859,670,4426,435568,T
979036760,1907,76,417633,963,33058,335,6242,435459,F
330728954,314,1,15072,908,9143,670,3012,435789,T
092349726,1865,93,395380,868,5581,335,4230,435621,F
692766115,1825,79,93075,1119,9342,670,5790,436025,T
379560317,1891,78,317688,3255,5654,670,3310,436255,T
203736018,327,14,7194,859,9143,335,4614,435485,T
895704026,336,6,50736,126,618,1239,3825,52049,T
836692639,1723,86,349769,3091,4621,335,5549,435953,T
309978385,4208,93,934176,1314,14325,670,2762,436233,F
049417526,250,20,17750,1011,5509,1675,4179,436280,T
317121266,1831,79,124508,5654,8264,1005,2759,435892,T
595508118,336,19,26208,1627,7813,1675,4059,436318,T
224542887,4034,39,588964,1852,7045,335,5970,436153,T
612617822,360,1,26640,934,5807,670,4484,435822,T
903686890,1750,77,124250,992,6511,1340,4918,435774,F
783519870,2200,44,96800,1069,8426,335,4617,435971,T
068450117,3880,16,353080,3136,5439,670,5807,435409,T
