userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
640939246,4676,120,252504,2575,4796,1725,9178,501734,T
021788191,1565,252,34430,1078,5638,575,11461,502012,T
622608116,1445,237,330905,872,26078,1150,11554,501894,T
896914650,1562,235,60918,925,5715,2300,8644,502004,T
520233902,4687,105,913965,970,23181,1725,9328,501929,T
561355843,2699,11,151144,1495,34771,2300,9557,502140,T
421183762,4004,25,952952,931,5490,2875,6641,501819,F
430435422,4054,14,725666,5418,7872,2875,6282,502006,T
099380358,2688,35,588672,1574,17385,2875,6103,501739,T
894439887,4598,112,101156,5638,11277,2875,9254,501815,T
900550158,1420,259,174660,911,12272,2300,6247,502386,T
600292424,2760,27,378120,1015,7194,2875,12126,501742,T
898925338,4152,92,610344,1390,5960,2300,9503,501983,F
289770018,4675,102,1023825,1428,5638,1150,8616,502250,T
412048337,1472,232,55936,1381,34771,2300,6176,501615,T
043926010,4130,22,900340,1209,4438,1725,12006,501991,F
049382870,1488,247,358608,3899,14388,2875,6411,501610,T
286957597,4093,46,888181,4967,8181,2875,6054,501871,T
573080307,4745,109,502970,1474,5638,2300,9043,501965,T
642644635,1550,265,370450,1220,7872,1150,12306,501823,T
462973263,4736,102,1013504,931,4346,2300,5833,501740,T
072607758,4169,109,312675,4636,5349,1150,12129,502252,T
185594319,4660,109,177080,927,7320,1150,12013,502106,T
356305637,4629,94,486045,1629,4636,2300,6568,502232,T
186371239,2726,28,564282,1035,4486,575,11533,501721,T
534769228,1544,256,166752,5281,9070,575,6709,502134,T
797208848,2762,30,312106,1568,12272,2300,12180,502488,T
453035616,1415,253,65090,1500,4346,2875,6337,502322,T
684807249,1544,250,376736,929,4346,2300,8771,502463,T
250695357,4213,119,345466,1474,17385,1725,8721,501931,T
638284055,4699,91,798830,1127,5876,2300,6246,501922,T
576984008,2745,29,343125,993,4346,2875,9461,502280,T
874430846,2617,19,235530,1245,20863,2875,9130,502148,T
738274932,2705,22,319190,995,4796,1725,6236,502125,T
393399857,4068,90,691560,1830,10980,2300,8882,501851,T
915082556,1551,248,145794,2075,12644,1150,8868,501712,T
380011756,2618,42,424116,1390,11277,2300,8687,502033,T
006959802,4194,118,473922,1506,9483,1150,11834,501729,T
333932784,3958,46,565994,3448,23181,2300,8917,501802,T
831741840,4143,98,857601,2745,7072,575,5833,502299,T
411083991,1508,254,85956,862,6519,575,11513,502033,T
928426685,4586,93,398982,950,9272,1150,12054,501622,T
449813734,2710,28,436310,1045,6840,2300,12443,502275,T
441486971,1481,246,48873,1404,8345,1725,6260,502312,T
792666790,2749,16,541553,959,27817,1725,12477,502081,T
533030197,4096,48,765952,1005,4796,2875,6371,501707,F
356291648,1473,256,178233,1798,4851,1725,11977,501846,T
946757746,1402,262,33648,1188,11921,575,12118,501648,T
011343559,4081,39,975359,1545,4392,2875,5700,501669,F
277923884,4611,95,258216,3597,5418,1725,12047,502141,T
492764541,1567,227,241318,4301,6840,1150,8874,502375,T
247464369,4640,88,134560,961,4438,2300,9204,502264,T
737196912,1427,257,99890,1871,6227,2875,9220,501965,T
365307780,2662,25,577654,3185,4535,2300,11919,502252,T
652222158,4660,98,144460,1146,5795,575,8938,502527,T
926130912,4112,96,612688,1100,6419,1725,8872,502079,F
342077044,2706,39,70356,1724,5490,1725,9071,502316,T
984612368,1420,255,159040,1545,4967,2300,6628,502040,T
033127304,4673,115,56076,1182,9483,575,12062,502323,T
246748057,4636,102,635132,1089,9703,1150,9251,502424,T
008921892,4034,17,520386,3023,11277,2300,5999,501769,T
187434164,4742,110,194422,882,4172,1150,6332,501933,T
556170187,4047,87,671802,1253,4908,575,5856,501851,F
938157237,2608,24,93888,1022,6227,2875,9418,502150,T
295775826,1422,255,133668,919,9934,2300,9328,501993,T
244656465,1423,251,179298,2440,4585,575,9259,501597,T
661235941,1403,265,331108,3793,7072,575,8851,501762,T
781221558,4042,47,966038,897,5795,2875,6424,502286,F
927751880,2766,10,401070,2513,4908,1725,8635,501818,T
668652835,4183,118,351372,2800,52157,575,11915,502385,T
851048370,3953,43,830130,2150,6730,2875,5834,502255,T
912015650,2594,23,80414,3660,52157,1150,12308,502364,T
596401998,4112,96,785392,4741,4172,575,12245,501801,T
239920771,2628,31,289080,3936,8024,2300,11519,501747,T
731788767,4206,105,601458,4851,4908,1725,6731,502035,T
446522290,1454,235,21810,858,5281,1150,11977,502118,T
989213854,2738,13,624264,1814,12272,1150,9583,502285,T
612659216,4649,100,464900,1188,4392,1150,12319,502160,T
944153268,2677,10,388165,991,4967,2300,8859,502260,T
839553398,2613,28,428532,1443,9272,2875,11977,501990,T
407076065,4707,110,254178,946,8024,1725,12363,502088,T
601333606,4120,48,749840,1069,4172,2300,8765,502399,F
530243150,4130,23,842520,1484,7320,1725,9387,502348,F
473366292,4079,116,534349,3259,7320,2875,5843,502342,T
179143343,4685,113,969795,1195,4392,2875,6508,502202,T
482464647,4070,114,463980,2075,26078,2300,9034,502413,T
965782480,4742,85,554814,1291,5027,2300,8677,501952,T
986054641,3974,35,794800,4090,7320,2875,8739,502030,T
205753881,1425,263,126825,4051,6519,575,9047,502382,T
128122607,2679,17,519726,1312,5795,2875,11845,502237,T
633607567,2613,46,640185,1168,8024,2300,6592,502385,T
026058756,2638,42,166194,1604,5795,2300,12497,501989,T
517034700,1380,254,67620,2344,4688,1150,9411,501983,T
516806684,1453,226,26154,1846,7727,2300,11744,502280,T
922220957,4646,117,204424,927,5281,575,9507,501933,T
380708436,4132,109,814004,2055,4214,575,6118,502005,T
154315944,4090,111,482620,1453,8877,1725,11632,502578,F
629026136,2640,44,319440,2781,12272,1725,9336,502377,T
949936111,4656,89,842736,1768,5715,1725,6327,501624,T
366349221,4068,98,793260,1377,7072,2300,5887,502125,F
596165558,4646,88,803758,1195,11921,1150,9206,502309,T
224756436,2645,44,478745,842,46362,1725,9192,501761,T
870411741,2616,30,413328,5151,7586,2300,9522,502565,T
737688880,4606,100,119756,897,19869,2300,11762,502139,T
461374245,2758,22,438522,2243,8515,2875,5709,502255,T
011282593,2772,39,413028,1346,26078,2300,12341,502524,T
213468986,4623,110,434562,1115,6136,1150,5765,501929,T
582534371,4116,29,654444,2640,10980,1725,11765,502483,T
340645500,2621,15,293552,1862,12644,1150,12314,502208,T
964480566,4059,25,799623,1260,11590,1150,8932,501995,F
891146783,4762,123,852398,1464,5876,2875,8674,501884,T
583070505,2720,34,418880,1790,7320,2875,11719,502334,T
196754166,2625,11,538125,1495,32096,1725,6595,501657,T
119694321,1394,266,107338,3899,10177,1725,9018,501902,T
448338046,2610,29,407160,937,5027,1725,11631,501895,T
625020409,1569,235,222798,1067,9703,1150,9321,501616,T
029946711,4068,19,740376,1109,10431,1150,12325,501712,F
446984550,1433,246,41557,1822,18966,2300,9444,501974,T
525240497,4748,84,1077796,1007,7872,1150,6533,502041,T
730086286,1406,251,80142,3234,4257,2300,6085,502340,T
815339019,1450,241,89900,887,9703,1725,12163,501598,T
658138641,4728,114,761208,1604,7586,2875,9548,502545,T
666716975,4117,101,601082,1308,5215,2300,8956,501991,F
355335013,1427,258,309659,1245,4172,2875,6000,502359,T
550410395,4077,103,705321,3285,8877,1150,5732,502126,T
062067150,1530,259,310590,3259,6227,1150,6314,501721,T
067254862,4029,27,999192,2150,4535,1725,8699,501938,T
725308935,1408,235,94336,1404,29804,1150,11954,501691,T
773700611,1531,239,122480,1464,9272,2300,8618,501732,T
649146482,4164,111,595452,1940,5795,575,12086,501827,T
706992303,4610,121,73760,2255,5027,2300,6334,502284,T
108569062,1431,252,306234,927,8692,1150,9398,502232,T
142460471,2613,44,629733,1556,41726,2300,6375,502151,T
816012955,1425,256,152475,1940,8345,1725,6155,502536,T
063682979,1388,236,308136,2150,23181,575,5770,502108,T
381230214,2711,14,439182,1287,7194,2875,9511,501658,T
905899293,4145,11,978220,1574,11921,1150,8798,502053,F
893445553,1488,254,279744,1871,17385,2875,6495,502080,T
167837379,4106,84,792458,984,9272,575,6554,502146,F
276721330,4731,112,468369,1078,11277,2300,6429,502438,T
540435829,4015,31,790955,3660,8345,2875,6709,502279,T
719173303,1407,264,173061,1798,9070,2300,11808,502354,T
605307631,4603,101,1123132,1316,6840,1725,5898,501853,T
766322068,4115,92,419730,1438,7586,1150,9374,502195,F
885384326,4596,114,413640,1078,5418,1725,8979,501852,T
743949555,4719,109,976833,1103,5281,1725,12317,501737,T
420730258,4090,90,458080,2006,15454,1150,5808,501691,T
856026065,2649,45,299337,1017,6730,2875,9559,501797,T
528577957,2650,15,113950,1386,11277,2875,6711,501631,T
841216885,2760,47,69000,4301,5281,2875,11577,501602,T
930056470,2657,21,584540,1056,4741,1725,5929,502421,T
841541472,4586,91,619110,1506,6136,2300,5919,502378,T
470212410,2784,21,420384,1051,5876,2300,6478,501724,T
330062172,4107,118,435342,2139,46362,1725,9427,501978,T
276262265,1545,235,135960,929,16048,1725,8749,502148,T
900570201,2790,32,281790,1048,11277,2875,6268,502286,T
366293892,4046,106,902258,1414,7320,2300,6690,501585,F
712147755,4147,98,406406,3660,4257,575,12267,502401,T
690116240,4081,25,710094,2161,9272,1725,9101,501687,T
551565174,4206,90,883260,1940,5876,575,5837,502108,T
141319323,2764,12,259816,1479,7320,2300,9471,502037,T
926629747,4180,92,752400,3185,4741,2875,9534,502065,T
890794491,1479,227,91698,984,4172,1150,6068,502041,T
081518203,2748,25,145644,878,4486,1725,11899,501683,T
457309133,1495,231,200330,1958,18141,575,8892,502560,T
722347108,2653,50,554477,963,19869,1725,9334,501862,T
678060067,4738,92,639630,1027,5418,1150,6618,501851,T
798615910,4582,84,797268,984,6047,1725,11727,502040,T
128463562,1554,238,135198,860,8515,2875,5700,502477,T
641235238,1486,231,151572,1022,11277,1725,9158,502193,T
206420933,1462,264,141814,1341,7872,2300,12302,501906,T
979313371,1457,236,240405,927,9703,575,11945,502003,T
103629739,4681,96,1076630,867,4636,1150,5734,501789,T
605690978,4112,97,768944,1175,5027,2875,5787,502048,F
518052412,1553,230,102498,1291,8181,575,9014,501880,T
386449010,3987,17,669816,2344,4535,2300,5987,502273,T
751955533,1547,231,165529,1048,13039,1150,11796,501985,T
222631228,4208,84,744816,880,29804,575,8983,501655,F
808881054,4618,108,230900,4301,8877,2875,6302,501977,T
617947902,1542,254,234384,1806,7320,1150,9483,502583,T
320154974,1394,251,112914,878,4438,2875,9411,502387,T
270473708,2728,28,30008,1458,10698,2300,9086,502580,T
321559931,2660,17,385700,2544,18966,1725,6088,502426,T
975701318,2774,49,402230,995,13460,2300,9236,502029,T
966680875,4044,19,812844,3392,18141,2875,5994,501579,T
107205349,4074,14,615174,5281,5490,1150,6108,502123,T
415481808,4171,119,504691,2674,4535,1725,11630,502571,T
808649447,2649,41,635760,1043,5490,2875,8999,502130,T
739869853,4225,103,667550,2838,6730,575,11912,501870,T
335689106,4684,117,351300,855,29804,2300,9312,502116,T
936432214,4636,116,106628,903,5151,1725,9141,501966,T
322065063,1448,251,63712,1078,21961,575,11826,502196,T
528188674,4042,40,327402,3477,29804,1725,6030,501990,T
268754252,4103,33,976514,1346,5490,2875,6065,501627,F
983954245,1517,241,374699,1045,5638,1150,9173,501974,T
264369169,1471,263,283903,2107,9483,1725,8960,502047,T
386876448,1487,244,20818,2640,4486,575,6668,502318,T
383947068,2760,50,637560,853,6136,2875,6018,502099,T
850744174,4075,114,847600,860,9703,1150,8730,501875,F
718634158,1527,239,151173,855,7872,2875,6261,501631,T
885986748,2711,32,666906,1996,8345,1725,9226,502364,T
863277305,4080,21,909840,2674,13039,575,6218,501829,T
900162677,4145,100,331600,1172,15454,2300,9598,502251,F
356681531,4596,94,225204,5151,10980,2300,9197,502285,T
169913995,2695,11,477015,2624,5215,2300,9149,502418,T
061540175,2659,46,324398,1083,11277,575,12438,501689,T
950313033,2611,47,493479,1409,4535,1725,9465,502008,T
068450506,4104,118,603288,4908,13039,575,9067,501942,T
716890219,2691,44,637767,1586,6419,2875,12196,502119,T
709969425,2774,40,227468,1419,7451,575,12144,501767,T
343110447,4665,90,121290,1372,13908,1150,6351,501796,T
064623270,1414,266,66458,1030,6519,1725,11895,502065,T
984566764,4583,83,614122,984,5418,1150,11995,501623,T
833371027,2686,49,566746,1377,59608,1725,11991,502231,T
526297427,1489,248,107208,1390,14388,2300,6002,501581,T
033093277,1454,260,196290,1188,7727,2300,6138,501664,T
132599135,3995,37,814980,2607,37932,1150,6576,502324,T
898161421,4061,94,580723,1381,8024,2300,9179,502281,F
271257011,4157,122,927011,2255,5418,2875,9370,502101,T
189564195,1408,238,19712,1888,6136,575,12212,501695,T
627619888,2654,33,294594,1433,4688,2300,6635,502225,T
497353352,2790,32,97650,1372,10177,1725,8579,502413,T
156052241,4584,84,279624,1381,5027,1150,12069,502278,T
520232882,2639,37,533078,1098,16690,2300,5752,501834,T
513195879,1447,255,244543,2331,7451,2875,6550,502403,T
087575767,4057,97,823571,919,10431,575,9324,502505,F
925346912,2692,13,382264,2128,26078,2300,9243,502107,T
307919845,1546,231,265912,1061,6519,2300,6268,501783,T
462494173,1380,263,136620,1806,9934,1725,9376,502359,T
791351971,4077,120,868401,3973,5088,2300,5830,502491,T
336804551,2637,30,551133,1363,5960,2300,11593,502303,T
357998901,2677,24,396196,3311,5281,1725,8746,501939,T
855982190,4589,98,413010,862,8515,1725,12425,502176,T
554628452,4590,120,711450,1212,5795,1150,9590,502570,T
593805671,4116,104,530964,1109,18141,1725,6731,501694,F
687467924,1568,263,244608,4967,16048,1725,6732,501819,T
314341499,4157,109,448956,1409,5281,1150,5732,501607,F
622559327,1577,259,394250,1350,12272,2300,6146,502041,T
982245090,1500,266,334500,1140,4585,2300,6062,502355,T
636763412,1424,266,111072,1312,6419,1725,12330,502452,T
971040141,4212,99,421200,2819,4967,1150,9241,502444,T
925766506,4076,91,419828,4090,23181,1150,9340,502151,T
232530190,4083,115,722691,891,16048,2300,6031,502075,F
442397084,1485,229,356400,977,6322,1725,11510,501663,T
048078171,4005,25,688860,2150,21961,1725,8985,502135,T
012194954,4006,34,677014,3090,5215,1150,12097,501673,T
744805560,2640,14,525360,1299,14388,2875,9250,502382,T
920222192,4070,39,675620,1386,4486,1725,9064,501761,F
