userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
300337980,1613,270,90328,874,1249,1725,6251,502262,T
292811993,4057,144,125767,874,1175,575,12312,502126,F
938857806,1583,296,139304,874,5088,2300,5713,502360,T
673241902,4071,101,289041,874,837,575,5846,502128,F
695355727,4171,90,246089,874,2184,575,6277,502373,F
056144513,1484,263,100912,874,929,575,9442,502090,T
598591079,1391,248,54249,874,1404,1725,8869,502132,T
036824026,4156,95,336636,874,8181,1150,12202,501663,F
925796828,4707,98,268299,874,2917,2875,9249,501962,T
048871605,4102,126,250222,874,5490,575,11486,502069,F
267286113,4604,102,303864,874,2086,2875,9344,502539,T
837460363,4286,145,338594,874,2709,575,8907,502460,F
398213583,4760,91,209440,874,4257,2300,8938,502164,T
430125711,4171,98,246089,874,1977,575,9566,502490,F
695105981,4636,149,190076,874,4796,1150,8715,502420,T
845536099,4166,107,387438,874,1539,1150,5901,502418,F
184121953,1668,257,60048,874,858,1150,12030,502579,T
444050417,4164,118,108264,874,1604,575,6657,502431,F
653896539,4835,142,135380,874,37932,1150,11560,502465,T
726607604,4059,125,105534,874,37932,575,9191,502574,F
899811156,2824,57,160968,874,1522,2300,11938,501882,T
616119033,4221,103,333459,874,867,575,6403,501660,F
106462386,1462,292,52632,874,1611,2300,9405,501746,T
138879708,4048,129,299552,874,5795,575,6629,502025,F
575090543,1385,276,134345,874,946,2875,9539,502052,T
139446845,4287,150,415839,874,19869,575,8706,502040,F
352170697,4641,108,227409,874,3045,2875,6099,502405,T
423378109,4107,122,386058,874,1015,1150,12334,502008,F
254109030,1514,245,45420,874,3477,1725,9578,502294,T
795821343,4129,132,313804,874,1035,575,9151,502147,F
683988788,4665,113,177270,874,26078,1150,5915,502554,T
964697825,4282,123,304022,874,7872,575,6469,501654,F
885337784,1399,261,61556,874,2917,575,12335,502452,T
617252701,4121,113,86541,874,3259,575,6283,502198,F
056712851,2752,37,214656,874,1059,2875,8732,502341,T
842852426,4090,152,167690,874,2657,575,11886,501956,F
903428801,2596,25,122012,874,1731,2300,8708,501604,T
720388340,4046,144,380324,874,1682,575,6562,502379,F
648996885,2762,54,113242,874,1443,2875,12241,502477,T
218261668,4311,106,193995,874,1022,575,8822,501958,F
213565181,1408,255,135168,874,1838,1150,9520,501639,T
522549582,4063,123,142205,874,1871,575,12304,501950,F
881839216,4770,133,438840,874,1106,1150,6284,502410,T
712575865,4102,114,393792,874,1495,1150,5893,502266,F
235548195,1601,243,56035,874,1035,575,9491,502503,T
332849247,4091,101,143185,874,889,575,12348,502109,F
058202930,4654,110,293202,874,19869,1150,11517,501654,T
045836350,4123,153,131936,874,7451,575,6020,502256,F
689001594,1606,296,128480,874,7194,575,12373,502029,T
460992792,4157,90,228635,874,834,575,9524,502285,F
422997874,4735,87,331450,874,3566,2875,6239,502575,T
943019235,4225,90,350675,874,12644,575,5863,502043,F
854446273,2605,73,203190,874,1580,2875,9250,501693,T
903752710,4174,146,250440,874,18141,575,12467,501948,F
776169074,1542,289,74016,874,2877,1150,6453,502255,T
711574915,4066,125,341544,874,1400,575,11997,501955,F
612173876,4809,95,413574,874,1136,1150,11795,501668,T
260525796,4102,105,139468,874,1879,575,11656,502542,F
752956795,1562,275,31240,874,2692,2300,12381,502339,T
073762354,4109,110,386246,874,1400,575,8700,501587,F
191980593,4692,95,112608,874,1241,2300,12028,502119,T
666051462,4093,140,372463,874,14388,1725,11951,501586,F
385108141,4585,106,348460,874,3828,2300,5833,501946,T
870539237,4133,98,409167,874,3392,1150,9522,502225,F
703380247,2643,14,245799,874,1017,1150,9266,502106,T
953019001,4200,110,281400,874,1753,575,6324,502542,F
596514890,4673,145,429916,874,957,2875,5939,502068,T
450865846,4287,109,381543,874,867,575,6049,502058,F
875396451,4725,141,373275,874,3973,1725,6145,501754,T
608633066,4050,84,372600,874,2781,575,6140,501594,F
443092396,2704,75,175760,874,899,2875,11846,502293,T
078486288,4097,150,381021,874,1506,575,9071,502244,F
483532250,4845,129,208335,874,1469,2875,11585,502133,T
479252462,4052,117,267432,874,4257,575,8734,502402,F
978914448,2701,23,164761,874,1689,2875,11798,501677,T
502442358,4220,89,362920,874,2781,575,11511,502465,F
160490392,4704,134,423360,874,2384,1150,5736,502243,T
524681783,4071,131,301254,874,2727,575,9010,501837,F
462311411,4637,133,185480,874,1419,1150,11806,502543,T
411233326,4264,122,289952,874,2006,575,12500,502470,F
663348060,4780,142,167300,874,1346,575,9301,501861,T
377676704,4051,111,101275,874,1574,575,6677,502016,F
083314044,4687,96,112488,874,2035,2875,8678,501749,T
364196056,4133,140,359571,874,944,575,6294,502100,F
035718152,4216,142,177072,874,1295,575,6398,501623,F
518146580,4669,99,298816,874,2331,1150,6420,502058,T
652936242,4700,131,267900,874,16048,2875,6213,501819,T
570955292,4133,133,376103,874,7320,2300,9032,502318,F
324730760,4613,146,405944,874,1227,1725,12263,501940,T
466357077,4298,83,219198,874,6227,575,6539,501733,F
468053521,2786,44,195020,874,862,2875,9124,502434,T
719572644,4186,94,330694,874,3023,575,6721,502514,F
529549385,2625,47,76125,874,69543,2300,8743,502341,T
769613796,4228,108,240996,874,849,575,6609,502080,F
382735614,2832,31,158592,874,903,1725,12149,501734,T
857771614,4111,147,160329,874,1238,575,5736,502131,F
475308109,1643,257,106795,874,1888,2300,5750,502404,T
012308602,4068,108,374256,874,1220,1150,6363,501781,F
140573518,1484,236,93492,874,1390,1725,12359,502499,T
005564011,4205,118,227070,874,1133,575,11641,502373,F
