userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
837627043,3918,2,532848,1897,33202,1829,6915,480022,T
497625441,3879,1,880533,1039,29052,2287,9170,479646,T
877943896,709,16,119821,1106,4695,914,4639,479646,T
723732788,4025,18,631925,1153,4695,2287,9151,479691,T
989114735,3991,9,530803,6456,35757,1372,5378,480047,T
409613857,3943,37,552020,962,25824,457,9178,480149,T
865013531,4029,28,241740,2783,4945,2287,9289,479270,T
806295850,687,1,143583,1504,5405,457,9537,479390,T
515092513,836,1,139612,2485,11621,457,4932,479443,T
012400274,652,12,30644,1480,8451,914,4690,479966,T
874094431,3909,13,543351,2224,4945,914,10115,479477,T
189057123,687,12,148392,3495,6367,457,9354,480066,T
194014828,811,1,76234,5738,4743,457,7031,479348,T
860341242,660,16,117480,958,5343,914,5186,480024,T
544024093,3977,22,437470,1220,14526,457,5346,480024,T
702840445,3946,20,414330,978,6281,2287,7369,479797,T
373997785,4000,17,464000,2012,14086,1372,5311,479842,T
912170999,3937,26,161417,4077,6937,914,7298,480073,T
814797249,4028,40,757264,5810,5405,914,9714,479538,T
317713922,3973,25,889952,5164,11621,457,7332,479460,T
937784200,4063,1,215339,2021,13671,457,5172,480020,T
088541789,3889,26,941138,2172,9890,914,5311,479594,T
394840835,759,1,58443,1229,5884,457,9421,479218,T
193227336,4060,21,479080,962,7151,1372,7663,479579,T
532637241,3921,15,556782,1734,7151,457,9666,479429,T
150406120,3888,24,972000,1570,38736,1372,9324,479315,T
641576235,3983,34,760753,1051,9890,457,7489,480066,T
311566600,784,1,53312,6640,7878,457,7243,479905,T
380333269,664,1,53120,1787,7747,914,7398,480149,T
509513444,3957,17,134538,1008,5343,1829,7128,479814,T
717310446,3979,23,107433,2003,6456,1372,5213,480097,T
059351619,3965,27,396500,1136,7878,914,10100,479170,T
870288623,3909,32,488625,1162,5533,2287,4839,480002,T
082419382,742,1,36358,1093,12232,457,7706,479474,T
596607919,3990,33,630420,1452,7378,2287,9678,479913,T
663113121,3953,12,225321,1379,7151,1372,5491,479264,T
640412849,4401,137,206847,2359,9890,457,5015,479165,T
712410651,4249,134,59486,1760,4945,457,10088,479199,T
082665347,3897,9,732636,1666,11067,1372,6978,479314,T
206240322,4060,39,600880,1636,12563,2287,9316,479309,T
282065960,3972,20,655380,1534,4792,457,5440,479544,T
145544598,4011,7,477309,4513,33202,914,9699,479335,T
888786132,4306,143,163628,1947,1759,345,689,168002,T
544972965,4049,15,182205,1125,5164,1372,5131,479362,T
402101158,3904,24,390400,1760,4648,2287,9452,479521,T
409357396,812,1,116116,2021,12232,457,7145,479227,T
670790190,702,17,27378,1159,4893,457,4746,479463,T
827899816,3966,4,317280,1969,7151,2287,5396,479876,T
354355070,721,1,118244,2383,4695,914,7293,479313,T
845607322,4052,33,952220,1851,5884,1372,5388,479448,T
