userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
710626738,4153,57,220109,1049,1912,914,4618,479216,T
233570702,4389,145,96558,1049,1586,457,7233,479928,F
078189936,4328,178,86560,1049,4427,457,5235,479274,F
225918331,4150,13,394250,1049,1734,1829,5317,479166,T
652631270,4087,63,351482,1049,3939,457,5408,479191,T
765509750,4435,177,212880,1049,1294,457,5338,480044,F
005798295,4453,174,244915,1049,6736,457,9731,479487,F
172845006,3926,39,239486,1049,944,2287,7816,479228,T
136875550,4156,5,120524,1049,1054,2287,7398,479792,T
171390265,4352,192,126208,1049,1266,457,4671,479273,F
216088991,4056,15,235248,1049,1391,2287,5156,479368,T
862655626,4460,153,227460,1049,940,457,5246,480017,F
109359688,3955,6,83055,1049,9890,2287,9511,479741,T
715372926,4285,144,304235,1049,1684,457,9891,480085,F
907849274,4266,162,166374,1049,3468,457,10065,479817,F
973979255,3963,5,245706,1049,1808,1372,9274,479945,T
937358194,4167,28,220851,1049,18593,914,9231,479714,T
099301649,4464,153,200880,1049,1781,457,9721,480119,F
997356515,4077,31,101925,1049,1586,2287,5232,479412,T
856451015,4336,169,125744,1049,2122,457,4542,479693,F
874229165,825,1,54450,1049,940,914,7750,479775,T
221705679,4313,149,116451,1049,1128,457,7015,479282,F
841391736,4042,69,262730,1049,2800,1372,4696,479448,T
561737068,4355,180,182910,1049,4842,457,6852,479346,F
630786495,3905,3,144485,1049,3078,457,4531,479769,T
806613913,4487,150,323064,1049,2359,457,5308,479234,F
997217135,947,1,52085,1049,5468,914,5014,479592,T
455293375,4290,191,326040,1049,1684,457,7772,479461,F
784387749,3936,55,389664,1049,980,2287,7327,479774,T
231659880,4303,183,133393,1049,1165,457,5012,479254,F
759662495,4103,37,110781,1049,2301,914,5470,479551,T
126859649,4338,173,164844,1049,1280,457,9151,480089,F
986160845,872,30,44472,1049,1660,457,5429,479246,T
752459635,4215,157,227610,1049,1343,457,6816,479816,F
725045029,4137,5,289590,1049,2093,2287,5315,480025,T
352760948,4366,170,205202,1049,1881,457,7376,479501,F
603301267,4144,13,190624,1049,1207,914,5493,479903,T
678642592,4506,164,135180,1049,1101,457,4963,480016,F
316939744,4082,35,126542,1049,1912,1829,5062,479589,T
982274330,4293,159,218943,1049,1302,457,9408,480166,F
429081243,801,37,24831,1049,3098,457,9247,479163,T
902314862,4428,171,221400,1049,3973,457,7519,479624,F
792187919,3906,25,93744,1049,3250,1829,4651,479596,T
529030323,4307,177,219657,1049,1672,457,5184,479689,F
555002771,4242,175,139986,1049,4998,457,9445,479690,F
654239641,4082,43,216346,1049,7263,457,9937,479596,T
767327716,4318,169,224536,1049,1912,457,10116,479290,F
711341374,706,1,57186,1049,5343,457,4765,479366,T
337697546,3929,10,381113,1049,978,2287,4811,479753,T
991942126,4406,188,171834,1049,1142,457,9826,479892,F
600444455,3928,38,137480,1049,1252,2287,6919,479545,T
764781284,4265,167,285755,1049,2408,457,7386,479940,F
749660087,4469,177,147477,1049,1412,457,9769,479351,F
714429210,816,1,55488,1049,3548,457,5076,480098,T
218866680,3921,13,219576,1049,3841,1829,5530,480089,T
545923708,4421,184,256418,1049,995,457,7357,479627,F
041647698,4007,39,188329,1049,1210,914,5457,479503,T
685753921,4410,177,149940,1049,2998,457,9630,479370,F
829355771,3991,57,359190,1049,1030,1372,10004,479167,T
714653525,4290,159,141570,1049,8770,457,9939,480075,F
205656745,3940,17,114260,1049,2568,1829,7302,480083,T
688368356,4240,152,313760,1049,1544,457,6987,480095,F
050487253,4357,153,239635,1049,980,457,4569,479532,F
058346344,720,2,29520,1049,4557,914,4559,479957,T
727692675,4368,184,222768,1049,4513,457,9595,479236,F
625202785,3999,15,127968,1049,1434,1372,9451,479518,T
719418568,4152,55,174384,1049,1614,914,9863,479843,T
948196614,4232,139,88872,1049,2203,457,5020,479762,F
316943054,754,6,26390,1049,1391,914,4722,479245,T
553981850,4338,135,177858,1049,6116,457,9993,479282,F
532162899,4045,34,129440,1049,960,1372,4672,479665,T
549067812,4503,157,297198,1049,1266,457,4999,480088,F
956456430,3941,9,394100,1049,1421,2287,5371,479333,T
290558332,4238,160,241566,1049,1636,457,7142,479795,F
473287010,4158,39,99792,1049,2047,1372,5399,479371,T
104614900,4431,156,88620,1049,1339,457,4627,479648,F
333570653,4002,27,116058,1049,1383,1372,9509,480058,T
871098645,4497,182,224850,1049,968,457,7435,479975,F
970202090,4072,52,171024,1049,4557,2287,4836,480025,T
521631137,4396,130,145068,1049,1728,457,7339,479540,F
798879651,763,40,21364,1049,2750,457,6938,479976,T
944943125,4234,183,270976,1049,1489,457,9679,479708,F
444021998,716,44,40812,1049,1063,914,9672,480109,T
696399946,4503,126,193629,1049,2582,457,7322,479683,F
184454478,876,26,20148,1049,1509,457,10104,480103,T
604725972,4369,158,152915,1049,5810,457,5410,479941,F
784084553,4120,59,309000,1049,17216,1372,7226,479422,T
892322426,4267,140,170680,1049,3018,457,7731,479822,F
894542364,4006,48,124186,1049,7151,1372,7251,479749,T
329797957,4437,166,275094,1049,1371,457,5177,479264,F
464970436,3884,1,345676,1049,7747,2287,6968,479551,T
171625991,4357,152,178637,1049,1210,457,7356,480101,F
330984559,698,14,65612,1049,1684,457,6953,479362,T
690776210,4261,192,311053,1049,968,457,7279,480062,F
607108636,3929,18,341823,1049,3018,914,7254,479176,T
174759524,4485,156,121095,1049,2446,457,6908,479535,F
134586010,933,6,31722,1049,1039,457,9414,480032,T
180084346,4455,170,236115,1049,1210,457,9455,479556,F
277723474,4009,65,312702,1049,1239,1829,10096,479767,T
271796954,4380,148,297840,1049,3018,457,9874,479772,F
