userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
941189920,4532,6,249260,1585,3955,941,6035,393503,T
859455252,857,1,162830,673,4483,470,2957,393706,T
617436503,4479,12,120933,1003,17696,1883,6256,393151,T
856638660,4107,230,246420,1867,4002,2354,3297,393746,T
740761530,2231,12,209714,677,3654,1883,3205,393604,T
564102536,767,1,136526,730,7471,2354,2940,393993,T
249917785,2165,12,127735,1047,3539,2354,4701,393415,T
909160970,926,13,138900,1268,6592,941,3561,393665,T
771755184,4856,71,932352,824,6226,2354,3710,393980,F
982324421,4569,21,886386,812,10845,470,4312,393581,T
143275168,4145,230,534705,1708,7863,1275,5208,544559,T
980830781,4929,68,404178,2454,4310,941,2783,393542,F
612017524,2254,30,58604,1715,3909,2354,2786,393545,T
342017166,920,5,53360,911,3396,470,5860,393346,T
006004756,4451,22,409492,1383,3694,1412,2941,393994,T
789902610,4909,70,913074,832,5698,941,3317,393311,F
623754082,4114,210,65824,2778,6113,2354,2849,393383,T
652276442,927,9,196524,957,9087,1412,3308,393206,T
179178732,846,1,137898,1656,6465,1883,2867,393701,T
710161898,4491,6,413172,1102,10188,2354,4239,393613,T
141185954,853,1,211544,1192,6592,1412,6405,393510,T
433419001,4412,15,538264,684,3909,2354,4278,393400,T
640847245,883,1,166004,4256,25863,470,3274,393180,T
300931799,4241,237,513161,1151,5603,1883,5793,394038,T
093836365,4850,88,683850,2075,6226,941,4344,393756,F
456511072,935,1,104720,4202,6465,1412,2925,394090,T
792992260,4872,85,302064,3502,25863,470,3612,393484,T
891428204,4410,28,1036350,796,3430,2354,4424,393125,T
765629282,4416,25,825792,791,7153,941,5736,393600,T
212979852,924,2,14784,1943,37358,1412,4979,393331,T
790434809,934,1,11208,4100,3777,470,3033,393540,T
573025496,4097,230,975086,730,4605,470,4875,393751,F
895008022,4171,216,775806,712,15282,470,4641,393166,F
905217829,738,1,181548,857,8200,2354,3042,393181,T
285462268,890,12,174440,676,10188,470,6572,393782,T
155523987,4557,15,136710,1308,3539,941,4208,393938,T
706049177,4477,24,380545,884,10188,470,6090,393934,T
325239442,4521,41,343596,718,16811,1883,3652,393218,T
193987496,4448,17,462592,1231,3654,941,4473,394030,T
440768395,2192,26,127136,906,6465,2354,5833,393401,T
958800527,4576,18,517088,1109,6343,941,4215,393652,T
073126750,832,1,17472,675,4803,1412,4351,393504,T
