userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
400750969,2401,26,96040,836,1095,1883,4594,393381,T
228053335,4070,263,305250,836,686,941,5968,393183,F
135024305,4642,53,139260,836,926,470,3055,393171,T
153141185,4250,225,289000,836,9087,2354,4556,393312,F
742426122,2152,16,107600,836,816,1412,3735,393716,T
507350913,4100,229,287000,836,742,1412,3476,393316,F
103393762,927,8,74160,836,1706,1883,3207,393386,T
106655732,4076,225,379068,836,2547,2354,6110,393424,F
378638912,4572,24,434340,836,8621,941,2997,394026,T
185805904,4124,266,107224,836,1954,1883,4675,394095,F
458611696,4645,70,227605,836,3002,1412,4336,393372,T
478422093,4322,270,358726,836,1034,2354,2899,393455,F
530766004,4134,269,281112,836,918,470,6117,393891,F
361099632,2342,60,70260,836,767,2354,3672,393823,T
963130919,4115,265,189290,836,2088,470,6054,393533,F
693473411,2208,17,123648,836,3820,1883,4967,393490,T
072410917,4624,9,295936,836,729,1883,3705,394098,T
596990969,4316,213,237380,836,1601,941,6094,393532,F
260379816,4669,47,121394,836,12931,1412,3390,393993,T
518169619,4301,252,159137,836,1283,1883,5653,393115,F
099235702,4136,237,198528,836,676,2354,3026,393568,F
291599550,4524,43,171912,836,716,1412,6491,393693,T
538801661,4657,75,97797,836,6226,941,4609,393215,T
858439763,4305,237,309960,836,699,1412,5095,393944,F
190513681,2381,1,73811,836,1053,2354,6074,393242,T
920712051,4199,256,243542,836,1167,2354,5750,393543,F
508868048,1011,4,101100,836,696,2354,3044,393419,T
234471492,4052,243,267432,836,1389,470,3767,394088,F
834437630,993,51,67524,836,985,941,3448,393616,T
497724643,4046,224,210392,836,913,1883,3089,393130,F
439082169,1001,1,48048,836,1106,470,3083,393204,T
833799208,4268,219,349976,836,789,1412,4462,393694,F
221692962,4565,12,310420,836,11593,1883,4192,393253,T
007307086,4084,273,338972,836,734,470,5054,393173,F
915029408,4659,49,237609,836,21014,1412,6303,394015,T
511379238,4212,258,387504,836,25863,941,5818,393818,F
858618846,4412,36,388256,836,2755,1412,6355,393167,T
578173738,4331,231,294508,836,1733,470,4449,393591,F
343447283,4580,72,283960,836,1227,941,4976,393516,T
118783194,4110,263,143850,836,1494,2354,4193,393526,F
067676058,4411,6,149974,836,836,941,4470,393173,T
951313917,4276,215,145384,836,694,470,2967,393160,F
879309899,4214,210,231770,836,1943,470,4799,393176,F
022117945,2251,56,144064,836,2050,1412,6124,393316,T
636662417,4173,212,317148,836,9339,1883,3153,393756,F
166529735,2202,19,85878,836,3202,1412,6363,393500,T
834434967,4143,239,132576,836,855,941,6626,393785,F
044682779,2145,1,64350,836,2088,470,6410,393112,T
545908867,4564,64,342300,836,5511,2354,6100,393161,T
986110537,4050,264,93150,836,2626,470,2881,393688,F
476984146,4340,270,160580,836,808,941,6044,393481,F
800975569,797,15,73324,836,1778,941,5680,393599,T
256479219,4620,13,175560,836,2302,941,4661,394015,T
116191904,4290,220,218790,836,1507,1883,6480,393986,F
715891815,874,3,27094,836,743,941,5854,393339,T
087821488,4191,246,326898,836,760,1883,6121,393759,F
949501034,785,1,25120,836,1788,941,4292,393356,T
465222023,4229,256,401755,836,2923,941,5854,393548,F
485047046,1035,35,60030,836,2088,1412,2918,393241,T
241411155,4099,266,344316,836,1209,941,4696,393279,F
613513261,4518,70,94878,836,1954,1412,5068,394070,T
332286275,4054,260,356752,836,1817,1883,4664,393510,F
104542374,1000,1,43000,836,1366,470,3435,393745,T
596012799,4092,211,401016,836,690,2354,6133,394083,F
830692165,4073,266,154774,836,683,941,5814,393631,F
043293993,4612,10,309004,836,2825,941,5228,393816,T
610883435,4422,37,97284,836,1268,941,3641,393942,T
977769562,4304,238,309888,836,1328,941,6471,393617,F
777212519,4530,60,185730,836,1249,1412,3060,393434,T
826591849,4141,214,393395,836,3113,1412,4520,393459,F
126495523,756,53,50652,836,2318,470,3060,393835,T
996939843,4337,269,169143,836,880,1412,4532,393857,F
841992724,4223,262,122467,836,724,1883,5173,393334,F
994325431,777,32,19425,836,2509,470,4735,393834,T
947949345,4535,73,222215,836,3232,1883,6088,393641,T
024847193,4342,232,104208,836,832,1412,5867,393985,F
390717747,4159,267,357674,836,1501,1412,5607,394069,F
962001397,2386,21,155090,836,1268,1883,2901,393675,T
239479016,760,3,18240,836,1400,470,3332,393157,T
394855383,4226,217,88746,836,971,1412,5228,393774,F
312556021,4112,238,263168,836,838,1883,3748,394008,F
784699569,2157,37,77652,836,1259,941,4263,393697,T
229956700,2271,41,104466,836,2141,1412,5628,393805,T
595209195,4208,248,361888,836,1377,1883,4427,393293,F
283361634,4112,210,201488,836,1283,1412,3674,393379,F
828049934,4401,67,435699,836,748,2354,4947,393253,T
838646221,4600,71,115000,836,4310,1883,5814,393829,T
969353522,4108,266,398476,836,1018,470,3037,393524,F
160882730,4068,225,398664,836,882,941,3824,393671,F
905031585,4383,70,284895,836,3056,470,3339,393423,T
790939050,4414,37,256012,836,1535,941,3602,393649,T
454887821,4211,215,160018,836,2689,470,4186,393210,F
865419087,4258,224,131998,836,859,941,6471,393403,F
492697521,4682,7,351150,836,2778,941,4291,393451,T
550026745,2412,13,159192,836,947,2354,4711,393227,T
358403541,4140,237,351900,836,5172,1883,4305,393542,F
973644173,945,1,39690,836,19777,470,3819,393171,T
768916862,4127,240,387938,836,10188,2354,6360,393327,F
723813374,760,1,64600,836,1102,941,4733,393929,T
538852577,4080,260,159120,836,1209,1412,3630,393911,F
