userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
795724629,3300,26,448800,581,5830,468,7642,281374,T
048228087,3212,21,690580,1768,4216,468,4920,281263,T
586148838,3661,201,549150,787,5957,1405,7165,281823,T
560720356,3175,49,285750,2446,10149,937,4953,281730,T
729979195,4191,150,1039368,769,4492,937,7351,281985,F
182877201,3256,39,84656,813,3605,2342,9426,281836,T
851532639,3313,11,490324,1530,3301,937,10219,281448,T
817251396,3625,188,174000,944,4893,468,5384,281493,T
256157296,3243,26,473478,1356,54808,1874,5221,281774,T
048675499,3242,28,113470,560,3114,937,9736,281227,T
825572490,3601,190,464529,954,21080,937,9443,281618,T
531213989,3248,19,94192,589,54808,2342,7494,281566,T
158504856,4151,151,386043,2468,4090,468,7548,281702,T
747137041,3267,43,555390,3425,3186,937,8018,281010,T
616562250,3584,193,68096,580,8840,1405,5659,281621,T
261907118,4110,118,563070,3342,13702,468,9787,281700,T
459093052,3116,33,598272,864,12456,937,7546,281294,T
935571929,3410,7,514910,1207,2854,468,10144,281479,T
102717981,3264,49,512448,586,3468,468,5034,281226,T
405242432,3567,215,42804,621,7211,1405,9746,281214,T
066374550,3375,11,371250,692,11914,468,10342,281766,T
371133831,3383,37,625855,2045,5074,1874,9515,281417,T
222482938,3301,35,145244,898,9787,2342,7587,281401,T
114039890,3206,39,67326,3754,2740,937,4660,281335,T
879941363,3579,182,178950,1181,5830,937,7235,281144,T
592504361,3391,30,94948,607,2915,937,5428,281416,T
532913410,4227,140,553737,2060,45674,1405,5391,281068,T
454272652,3323,10,199380,665,5592,468,9485,281669,T
519658021,4148,143,688568,782,7211,2342,7540,281922,F
085816104,3280,24,777360,898,4644,937,10311,281241,T
099222757,4167,154,950076,2686,39149,937,9762,281391,T
790530982,3264,31,169728,574,3468,2342,7477,281064,T
991917408,4285,147,972695,1045,24913,2342,4649,281747,T
849671115,3267,6,140481,765,2884,468,5555,281601,T
824538186,3545,180,361590,884,5074,1874,7417,281990,T
897620673,3327,1,226236,709,5373,1874,6985,281404,T
086610691,3628,190,794532,643,9449,2342,4851,281415,T
299222336,3296,11,721824,3114,2854,937,7532,281975,T
043831030,3368,5,474888,1058,3653,1405,5196,281079,T
418699332,3407,33,333886,1565,4216,937,9632,281168,T
716574289,3416,14,232288,822,2978,468,7082,281443,T
738923272,3248,15,315056,678,11418,468,10006,281162,T
866253856,4143,127,679452,2342,3754,468,5515,281313,T
634567593,3489,207,805959,570,4567,468,10058,281714,T
434682220,3333,10,373296,560,4567,1874,7220,281155,T
874362999,4245,118,564585,2884,2825,1405,9589,281659,T
801198092,3327,1,149715,801,8840,1405,5420,281671,T
787516410,3572,207,500080,761,4349,468,7812,282001,T
207113614,3235,48,650235,3559,12456,937,7342,281415,T
898493856,3323,13,299070,657,6524,1874,7475,281750,T
524794457,4136,146,628672,1384,9134,1874,7384,281100,T
220369816,3373,1,718449,1712,6373,1405,5663,281241,T
950870116,3650,209,594950,2635,7211,937,4947,281024,T
460855221,4212,129,892944,1323,6089,2342,7248,281572,T
551038801,4200,153,877800,767,30449,468,9701,281880,F
615831306,3401,7,217664,738,4807,1874,7641,281081,T
288296943,3613,208,343235,1877,10961,2342,5412,281943,T
896421154,3537,193,647271,1166,3859,1874,9432,281366,T
521715162,3518,204,109058,884,2825,2342,5162,281990,T
507909789,3503,189,472905,570,18269,468,5451,281348,T
916524680,3398,19,662610,1691,4152,2342,7250,281647,T
819142779,3314,1,629660,569,3383,1405,4938,281963,T
197050193,3250,19,799500,822,24913,2342,5353,281388,T
447908445,3619,184,466851,646,10149,468,5017,281196,T
083261639,3594,199,362994,1207,2946,1874,4824,281070,T
046004152,3588,202,563316,600,3653,1405,5199,281833,T
664362895,4197,145,633747,595,27404,468,9979,281026,F
617307395,4205,129,933510,1681,6524,937,4719,281900,T
876177078,3280,32,583840,1702,9449,2342,7745,281913,T
153668706,3493,201,174650,1100,34255,2342,5164,281023,T
091908726,4117,139,926325,618,2884,937,7754,281802,F
494145511,4298,130,919772,594,27404,2342,7908,281453,F
275262071,3427,27,678546,971,5270,468,7723,281471,T
936053467,3642,193,302286,1903,24913,2342,5066,281007,T
335035484,3330,10,276390,569,45674,2342,5020,281036,T
930729108,3303,27,538389,561,4567,468,7831,282001,T
717377584,4211,120,1006429,646,3806,468,10119,281316,T
762382900,3383,2,778090,1240,4492,2342,5292,281606,T
193160776,3648,197,725952,1791,16120,937,7449,281746,T
413582711,3636,213,327240,785,17127,1874,5562,281195,T
171518166,3342,23,578166,3011,3859,1874,9394,281881,T
790534252,3255,23,478485,1929,2796,937,10179,281172,T
118584356,3432,17,830544,3653,5830,468,9850,281739,T
713236903,3598,191,741188,611,3468,468,10170,281920,T
246782142,4187,118,695042,1391,3513,1405,10260,281736,T
191859101,4245,141,997575,702,4492,2342,5246,281282,F
