userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
616067011,3763,245,191913,600,627,937,9447,281226,T
385370642,4257,175,391644,600,11914,1874,9557,281326,F
565993556,3623,229,199265,600,631,937,5292,281336,T
305839702,4184,147,410032,600,13702,1874,9873,281390,F
309635534,3508,32,221004,600,1304,937,7599,281278,T
890509286,4313,146,409735,600,803,1874,9962,281877,F
815627844,3715,203,371500,600,774,468,9575,281096,T
727252134,4220,141,392460,600,3262,1874,9369,281175,F
144758490,3434,35,140794,600,759,2342,10304,281940,T
383897004,4218,131,396492,600,550,1874,9352,281956,F
250052747,3416,41,187880,600,1038,468,5048,281920,T
438272006,4156,145,415600,600,622,1874,9985,281895,F
358579660,3371,40,259567,600,3703,937,7411,281787,T
305757052,4398,133,435402,600,39149,1874,10065,281095,F
840678918,3568,182,156992,600,5480,2342,4745,281580,T
543176671,4274,137,384660,600,590,1874,10253,281271,F
096006568,3535,69,197960,600,8304,1874,9367,281670,T
179590056,4176,138,409248,600,958,1874,9460,281496,F
652831743,3533,214,162518,600,650,937,5420,281229,T
