userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
624518441,1388,11,213752,3000,3403,1869,9437,297884,T
400915110,1311,4,271377,1143,5265,2337,7982,297552,T
609915579,1292,11,139536,2658,4293,2337,4940,297836,T
143016048,1280,1,277760,797,4104,2337,7670,297926,T
129992234,1588,102,204852,1003,10336,467,9302,298087,T
449901448,1232,14,232848,669,12134,467,5541,297553,T
548668431,1369,5,316239,666,5581,467,7110,297578,T
265553860,1371,19,226215,1341,8721,934,9928,298043,T
832187012,1750,89,145250,1069,5695,934,10237,297883,T
815975612,1386,1,198198,644,3445,934,10126,297550,T
177953887,1424,17,320400,593,4165,2337,9310,297642,T
334705056,1426,26,154008,744,7542,934,10194,297868,T
202027088,1264,1,303360,570,31010,467,7417,298031,T
049465722,1425,12,267900,640,16417,2337,4724,297437,T
816737490,1280,1,37120,595,5367,1402,9483,297222,T
155485665,1626,92,175608,989,34886,467,5174,297238,T
895564721,1751,91,183855,1329,5265,934,9692,297999,T
115766353,1757,111,186242,670,2907,934,7726,298091,T
211481815,1244,11,269948,650,18606,2337,7408,297801,T
999885613,1383,25,250323,1453,6490,934,7850,297889,T
970504074,1307,26,13070,719,2877,1402,4842,297906,T
595996375,1178,1,116622,1240,6807,467,7109,297603,T
785428972,1302,2,45570,823,3403,2337,9415,297269,T
577315948,1693,86,82957,1007,3721,467,5247,297675,T
047278654,1247,5,284316,1153,4983,934,4665,297746,T
711073126,1421,19,35525,853,23257,467,9705,297212,T
545976407,1298,1,145376,667,5265,934,7079,297463,T
727738573,1261,19,100880,3578,4044,1869,5394,297390,T
233202328,1286,1,317642,568,3033,467,5350,297672,T
340654442,1321,22,253632,1316,6342,1869,5174,297940,T
186254369,1577,79,86735,816,3207,467,5606,297932,T
029756608,1229,1,194182,1103,2969,1869,5397,297163,T
154664055,1252,25,98908,1559,10336,467,10246,297948,T
853757782,1349,1,275196,1245,2969,934,9451,297429,T
636092508,1422,1,115182,708,17443,934,4769,297504,T
248031890,1666,96,34986,1585,13954,467,9447,297408,T
454488115,1662,74,68142,915,39870,467,9664,297834,T
273682154,1396,1,301536,711,3245,934,10144,297255,T
495837329,1351,24,132398,1409,9002,1402,4800,297752,T
599474597,1334,20,321494,1500,3245,934,10307,297819,T
985072584,1389,1,190293,601,9303,1869,10029,298104,T
111457546,1339,16,232986,1037,2819,1402,7242,297510,T
136657634,1340,1,328300,585,7974,2337,7271,297784,T
282412075,1111,1,181093,2365,5074,467,4708,297812,T
150228182,1308,1,261600,748,11628,934,7867,298075,T
947381468,2556,24,485640,3823,23257,934,5579,297348,T
532718638,1373,1,244394,637,18606,467,9748,297717,T
656648034,1358,1,69258,779,4501,467,7357,297608,T
158902191,1401,1,89664,630,19935,2337,5323,297417,T
840722136,1359,1,81540,2345,12685,934,7040,297821,T
175688749,1333,1,154628,2037,7752,1402,5654,297573,T
658677863,1408,1,315392,650,9623,1869,7237,297684,T
988283943,1387,1,158118,750,7344,1402,10279,298107,T
417827382,1372,25,130340,677,6342,1402,5101,297895,T
274706258,1142,14,155312,1098,4811,467,7271,297934,T
621811906,1260,8,84420,598,2847,1402,5036,297806,T
903987902,1379,1,322686,2022,6342,2337,7934,297596,T
292855158,1362,1,280572,900,23257,1402,7630,297551,T
755818588,1312,1,23616,625,5265,934,7774,297386,T
508461924,1369,1,98568,750,9303,467,10254,297249,T
983125108,1280,4,156160,3721,39870,1402,10213,297269,T
237991532,1687,91,89411,2022,3672,934,7663,297259,T
972785718,1159,9,154147,1014,8721,467,9636,297163,F
365968788,1761,104,117987,682,5168,934,7331,297981,T
823769142,1199,29,185845,2082,5367,934,9902,297485,T
725308892,1125,1,167625,1423,2819,934,9873,297211,T
990891000,1191,3,197706,1245,3101,467,5197,297481,T
891339910,1575,107,25200,1158,55818,467,5580,297267,T
834258427,1334,1,96048,900,8208,2337,4770,298071,T
041979490,1427,26,328210,806,7752,2337,4780,297835,T
531643198,1263,1,78306,724,6490,934,7235,297377,T
370875307,1395,1,154845,828,2937,1402,4852,297787,T
883745568,1215,4,243000,1368,3771,467,5416,297746,T
819001426,1381,1,107718,1065,2847,1402,10251,297739,T
674354455,1378,15,89570,1388,14688,934,9910,297445,T
824876205,1425,1,159600,606,4575,1402,7238,297882,T
466660193,1134,21,164430,1416,3578,467,9443,298096,T
372726467,1304,1,320784,1744,4165,1869,5343,297234,T
850623882,1292,8,72352,2146,5581,934,9687,297361,T
259546447,1397,24,310134,1681,5074,1869,7459,297175,T
305121715,1350,1,172800,2448,39870,1402,5432,297748,T
602676732,1246,1,39872,1979,3445,1869,5001,298078,T
276030753,1361,1,200067,2215,3445,1402,5228,298114,T
981115059,1125,1,74250,1632,5074,467,9757,297826,T
765550439,1302,9,157542,1111,3771,1869,7915,297724,T
010229966,1310,1,20960,2877,4293,1869,5178,297219,T
914751316,1308,1,129492,571,6202,2337,7187,297509,T
867070798,1229,7,81114,1885,6977,2337,9680,297191,T
101877019,1649,112,51119,1077,4501,1402,10265,297999,T
787922963,1360,1,191760,848,18606,467,10092,298102,T
278670121,1335,18,323070,682,11163,1869,5235,297981,T
878786515,1201,1,235396,924,2907,467,7509,297674,F
152740955,1398,4,202710,1125,2819,1869,10080,297272,T
774829535,1406,12,147630,1516,3101,1869,9312,297167,T
033997018,1399,1,85339,582,3135,467,7317,297969,T
526544641,1286,1,253342,1292,3101,1869,7748,297214,T
419537690,1418,3,69482,912,4811,1869,7440,297892,T
598328000,1628,102,192104,1003,3445,467,9478,297988,T
425398110,1342,15,118096,1049,6067,2337,4656,298076,T
459306066,1109,15,146388,972,4896,467,5512,297736,F
410568058,1748,98,417772,1354,3445,467,5385,297976,T
133991993,1374,24,243198,1508,10734,934,9878,297982,T
381739043,1615,90,103360,580,5581,467,7157,297245,T
004660680,1684,90,121248,736,4896,467,9620,297625,T
016758975,1429,3,67163,3171,3578,1402,4990,297262,T
298589650,1327,1,98198,1911,3721,1869,7916,297201,T
180444218,1401,22,238170,1594,31010,1402,7593,297476,T
316770356,1284,12,156648,825,6342,1869,10327,297843,T
130141943,1407,1,223713,558,4730,934,6965,297412,T
781930344,1673,101,97034,1224,11628,467,10196,297271,T
031843421,1165,1,220185,1057,2969,467,4679,297960,F
695052344,1250,12,132500,655,4165,934,7804,297541,T
814337255,1268,5,148356,622,13954,2337,7347,297892,T
191081044,1574,110,152678,946,3403,467,9717,297676,T
648988208,1382,4,276400,746,3721,1869,5605,297790,T
804615877,1277,1,154517,1033,3771,1402,7376,297648,T
707619246,1426,1,67022,930,3135,1869,9807,298071,T
087360672,1615,83,266475,781,4811,467,9935,297865,T
406125065,1288,1,300104,906,9967,934,9958,297502,T
590009455,1701,111,76545,708,2937,467,5189,298073,T
284632775,1714,102,291380,880,3445,467,5424,297761,T
062827813,1637,95,70391,912,3771,934,7526,297377,T
373333357,1330,5,236740,2163,12134,467,7254,297626,T
081259400,1296,1,107568,927,39870,1869,9539,298060,T
135612366,1327,18,92890,1208,9623,2337,7153,297458,T
596303895,1329,6,279090,637,17443,2337,5437,297778,F
660234152,1343,1,79237,986,9002,2337,4926,297460,T
901907548,1360,1,204000,1993,3322,1402,9555,297505,T
648538287,1719,94,36099,2306,4228,1402,5138,298152,T
744685821,1385,8,127420,989,17443,467,7008,298001,T
787445949,1382,1,49752,3207,3771,2337,5533,297506,T
720827772,1253,19,102746,616,8721,467,10226,298048,T
289409643,1123,1,241445,1691,3823,467,7257,298065,T
159709451,1371,17,167262,1094,5938,2337,4995,297251,T
294705932,1288,25,243432,624,55818,934,5464,297484,T
580154034,1745,112,57585,2269,3672,934,9617,297509,T
610756758,1688,90,283584,620,9623,467,5055,297888,T
864039984,1283,21,242487,1218,13290,1402,7934,297186,T
346811154,1147,15,213342,986,3987,467,7844,297444,F
898479481,1238,15,238934,1029,15505,934,9494,297331,T
920217060,1153,10,229447,1061,5367,467,7268,297343,F
946118998,1412,13,289460,581,12134,1402,9921,297298,T
781454815,1211,20,179228,3488,13954,467,7576,298162,T
685734000,1325,22,300775,649,4983,1869,5582,298055,T
656953960,1746,89,34920,3135,6977,467,6975,297455,T
597434426,1254,1,112860,986,4044,1402,5167,297340,T
092168876,1201,1,205371,1461,5265,467,7175,297296,T
274977675,1610,105,151340,576,10336,467,5248,297656,T
814196924,1261,1,89531,1000,13954,467,7657,297964,T
871525662,1306,6,231162,658,6977,1869,7036,297992,T
326335524,1235,23,245765,915,6807,2337,9864,297361,T
892460483,1241,13,289153,2709,13290,934,5660,297243,T
015837331,1403,1,26657,1824,3771,1402,10114,297349,T
606970930,1261,8,18915,1431,3207,1869,9652,297233,T
979408026,1308,18,273372,616,6807,1402,4964,297672,T
362372879,2535,10,359970,3987,11163,467,5284,297893,T
049259928,1361,1,280366,1335,4501,934,4652,297259,T
245558788,1296,13,95904,2790,9002,1402,9647,297810,T
794236127,1353,17,169125,768,4430,2337,7853,297298,T
568738095,1663,86,71509,1924,4360,934,9462,297666,T
690239878,1304,1,266016,1374,6977,1869,7085,297204,T
270811641,1361,1,111602,3532,3672,1402,7400,297632,T
809247326,1232,28,93632,2146,3445,467,10130,297542,T
325688280,1681,103,35301,877,27909,467,9892,297248,T
953517181,2479,34,265253,3207,17443,467,5499,297579,T
647699682,1424,6,244928,955,12685,467,5313,297213,T
078043795,1165,1,37280,616,2877,467,7489,298111,F
931918668,1320,18,291720,637,7752,1402,5574,297484,T
422228011,1608,80,130248,1026,4651,467,7801,297682,T
231995119,1294,20,152692,2215,6202,2337,7223,297364,T
239408689,1298,19,123310,818,4228,1402,7301,297563,T
447141832,1352,1,310960,1245,3362,1402,10278,297564,T
887966627,1370,3,73980,909,25371,1869,5351,297685,T
287275804,1400,18,16800,1508,8457,2337,4746,297696,T
486006635,1338,6,333162,1766,5074,934,7976,298061,T
261968544,1600,104,156800,706,6977,467,9584,297726,T
164831438,1180,3,171100,2969,3532,467,7690,298108,T
880203686,1266,15,235476,616,2907,934,10070,297714,T
024307433,1417,1,250809,1951,5938,2337,4677,297429,T
553840701,1411,1,103003,2325,3987,2337,10208,297675,T
666302092,1324,19,299224,1525,4293,1402,4938,297334,T
657769142,1130,22,77970,2130,5814,934,4996,297693,T
749777729,1736,98,137144,3101,4896,467,9355,297977,T
853521179,1731,94,138480,903,3445,934,7440,297292,T
030900551,1343,1,310233,1461,7542,934,9871,297771,T
642720042,1372,19,218148,1018,13290,467,7113,297906,T
994885186,1347,12,142782,2287,3876,1869,7389,297754,T
482793716,1660,95,64740,1508,4651,467,9300,297739,T
544246791,1255,30,32630,726,3207,467,10250,297484,F
652407760,1378,1,303160,1388,46515,1402,4953,297226,T
597097473,1409,2,235303,690,5367,467,9584,297314,T
442711148,1280,26,142080,674,9967,1402,9556,297945,T
412725338,1422,1,328482,650,12134,1869,4791,297355,T
051233301,1196,25,89700,2269,5695,934,6989,297881,T
637930774,1237,22,204105,1622,5074,467,5399,297528,T
119841456,1369,11,236837,1911,3488,1869,9336,297949,T
299915454,1323,1,283122,2658,2907,1869,7281,297297,T
188238775,1253,1,213010,766,6807,1402,9679,298124,T
175108631,1423,11,352904,2584,2969,934,4651,297881,T
554335386,1653,110,396720,921,3930,467,5596,297979,T
577404073,1238,1,209222,872,3876,934,7225,297911,T
912583389,1410,19,279180,3135,34886,934,7557,298131,T
429622342,1259,1,49101,3403,7542,934,7046,298062,T
586428425,1267,5,45612,2819,4896,467,7608,297298,T
273901208,1368,1,259920,612,2937,934,10150,297619,T
162524068,1278,10,30672,1245,3066,1869,4771,297533,T
039964922,1332,10,194472,669,13290,1402,7613,297216,T
107356526,1376,7,235296,853,4104,934,4936,297300,T
492355840,1392,1,27840,564,12134,934,5312,297609,T
836708394,1332,1,34632,608,39870,1869,7501,297795,T
810929086,1283,7,62867,1516,7344,2337,10246,297370,T
517283569,1389,1,122232,1484,3362,1402,5405,297473,T
291359766,1256,2,281344,1316,4228,1869,7189,297548,T
957709138,1423,12,291715,1057,4228,467,9826,297966,T
947079096,1256,1,277576,1172,4293,1869,9408,297591,T
570323467,1377,17,218943,1453,9967,1869,7916,297517,T
676472343,1668,101,275220,576,6645,467,9899,297565,T
859570451,1402,4,72904,2114,4896,1402,7718,297326,T
975228893,1277,19,273278,744,10734,934,9331,298120,T
025918076,1275,1,58650,1431,3823,1869,9869,297444,T
909346786,1420,18,69580,833,3823,1869,9597,297632,T
436340701,1332,17,253080,1310,4575,2337,5102,297606,T
248448936,1312,1,17056,1003,12134,1402,7057,297779,T
312078550,1230,1,188190,1187,3207,2337,7266,297313,T
021323426,1156,11,254320,1836,14688,467,7933,297687,T
417595785,1250,1,261250,1029,19935,1402,4708,297692,T
199962539,1234,1,122166,637,10734,2337,10274,297993,T
841006141,1323,1,34398,1533,3624,2337,7884,298052,T
216305664,1124,1,257396,1461,3488,467,5300,297850,T
960069037,1352,1,175760,595,3624,2337,9979,297263,T
212989356,1351,25,318836,946,3721,1402,10265,298034,T
026087431,1271,1,214799,779,7542,934,6996,297928,T
536388647,1250,1,163750,598,3624,934,7507,297310,T
551071026,1355,22,218155,818,3532,1402,9871,297690,T
455320207,1242,23,58374,825,5938,467,7581,297680,F
865878730,1269,2,218268,746,5367,467,9715,297593,T
631983670,1403,1,347944,571,14688,934,5375,297193,T
262085007,1720,75,263160,795,6977,467,4706,297757,T
403567363,1309,16,109956,560,4501,1869,10224,297748,T
416598293,1289,4,90230,590,15505,1402,5152,297562,T
196209742,1378,20,316940,2306,3823,1402,7614,297884,T
