userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
677917088,4986,37,732942,1399,11674,1354,3922,764366,F
559442236,4302,715,546354,4340,35637,1015,3284,764509,T
734115601,4955,51,1000910,1758,8909,677,2164,764994,F
907676788,4894,21,851556,5129,14406,338,4035,764971,T
333184710,3241,146,382438,5888,7053,1692,3848,764109,T
076220353,4162,699,757484,1786,8681,338,3111,764771,T
143159862,5019,37,115437,4054,17818,1692,3885,764732,T
400909609,5077,56,563547,4637,12311,1354,4014,764195,T
840780976,641,18,21794,2730,7203,1692,3431,764653,T
526068527,3147,148,289524,4942,11476,1015,5018,764854,T
405741774,4178,722,1044500,1655,6839,677,3191,764485,T
311676586,4209,704,282003,7127,15047,338,3142,764249,T
115546963,4290,700,583440,1488,32243,1354,4469,764068,T
208277603,4231,686,1015440,1453,9404,677,2300,764813,T
755887936,4136,706,169576,1820,32243,1015,2037,764453,T
366278862,5003,24,945567,2045,7694,338,3234,764644,F
295739338,610,4,132370,1384,10106,1015,3099,764021,T
186425437,5036,21,1037416,1623,10921,1354,3029,764984,F
383458125,4247,723,896117,1667,29440,1015,2909,764644,T
140479407,4217,703,379530,7523,21160,1015,3131,764416,T
397174683,4992,34,1113216,3847,8060,1015,5006,764560,T
498127607,4902,32,166668,2893,11100,1692,3034,764355,T
007803160,4208,710,189360,1508,26043,1015,4933,764216,T
303656509,4286,704,428600,1777,12775,1015,2757,764689,T
035949090,5028,49,794424,1676,11879,1692,4674,764435,F
929130700,3200,144,227200,2798,10106,1692,2607,764875,T
316256190,4243,685,963161,1805,84640,677,3384,764757,T
040097450,4166,690,970678,9673,14106,1692,4173,764930,T
377251331,4163,697,370507,1659,35637,1692,4581,764466,T
263267659,3209,157,673890,2359,56426,1692,3985,764481,T
252941773,5066,52,739636,8158,10580,1692,2925,764771,T
288361733,4941,22,365634,4232,24182,1692,3712,764366,T
736750037,4881,51,478338,1855,8060,1354,2036,764316,F
724110109,3179,175,92191,6387,7608,1015,5029,764037,T
433715914,4195,685,406915,4484,37617,1354,2943,764601,T
509443416,4225,713,270400,2264,6771,677,3191,764686,T
381261193,4230,697,435690,9275,23348,1354,2459,764584,T
142447767,591,1,141840,2775,7873,1354,2015,764686,T
573527204,4973,26,129298,3563,8571,1015,2226,764397,T
937990545,3132,150,767340,1384,17818,1692,3893,764912,T
939549711,4231,706,1040826,1356,18808,1354,3028,764298,T
055063266,4274,687,576990,7966,8464,1354,2119,765010,T
596495255,4313,697,526186,1545,9536,338,2132,764111,T
146241692,3166,141,69652,1643,7360,338,4532,764230,T
324293001,4184,691,83680,1401,8571,1354,3819,764355,T
197033796,5003,33,1080648,3782,6839,338,4363,764662,T
315264406,3171,149,79275,2956,9536,1692,4025,764994,T
