userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
245163645,2623,388,133773,985,2137,2481,10107,489586,T
955107553,4205,62,395270,985,5009,1985,4997,488982,F
610850320,414,28,26496,985,2137,1985,10910,488900,T
268132801,4063,70,186898,985,1181,2481,5826,489402,F
712556261,3945,52,173580,985,1249,1488,10101,489346,T
926319308,4081,44,216293,985,1592,1985,5649,488791,F
726395619,703,31,20387,985,3941,496,10540,489001,T
421044075,4075,39,289325,985,2845,2481,5049,489166,F
726951125,473,23,15136,985,1275,992,10257,488917,T
178184326,4084,26,298132,985,1073,1985,5363,489727,F
503845919,2415,411,166635,985,3670,2481,10676,489488,T
193453151,4123,31,255626,985,1131,2481,8278,489279,F
208913792,488,40,35136,985,1602,2481,5106,489021,T
722934304,4083,26,265395,985,1155,1985,10318,489084,F
288753200,2406,423,127518,985,5284,496,5377,489130,T
789873848,4080,45,257040,985,10929,2481,4930,488986,F
812587368,570,11,37620,985,4808,1985,5554,488937,T
171076699,4014,15,176616,985,1669,2481,5649,488854,F
180758059,420,45,19320,985,4040,496,10376,489094,T
231035047,3998,68,171914,985,3043,2481,5128,489418,F
272883534,2402,447,182552,985,17810,1985,9890,488822,T
500038167,4146,45,402162,985,1303,1985,8284,488829,F
748796587,468,31,11232,985,1175,992,10774,489470,T
716443598,4039,30,157521,985,2055,1985,10714,489089,F
726600315,2631,391,176277,985,18495,2481,10163,489396,T
846145652,4193,5,146755,985,19235,2481,7585,488996,F
681044915,454,41,20430,985,3670,2481,5366,489170,T
362001482,4230,50,219960,985,53430,1985,7707,489474,F
749060889,2627,441,176009,985,1414,992,10098,489087,T
496540220,3942,4,197100,985,1931,2481,5521,489128,F
997700940,2615,394,143825,985,1414,1985,5180,488783,T
351088567,4016,5,204816,985,1418,2481,5020,489517,F
703090236,4132,63,400804,985,5170,1488,5748,489227,T
563807636,3974,64,317920,985,1080,1985,5279,489639,F
351087983,3939,57,315120,985,1299,992,8121,488871,T
102650506,4182,11,280194,985,2175,2481,5003,489636,F
698156361,656,1,13120,985,1900,992,8436,488964,T
312312265,4157,43,382444,985,4452,1985,5092,489044,F
123445353,2358,413,169776,985,28286,1488,4991,488968,T
143261121,3946,72,236760,985,3484,1985,5681,489631,F
011942799,500,29,34000,985,961,2481,5783,489173,T
280281962,4050,74,194400,985,971,1985,7939,489577,F
057671553,623,39,29904,985,1324,1488,8333,489350,T
780827782,3987,22,358830,985,2175,2481,5140,489665,F
711556631,2462,420,155106,985,2845,992,5864,488797,T
676072920,4190,49,322630,985,1406,1985,7421,489381,F
972138747,2449,405,215512,985,18495,992,9893,489279,T
911240103,4023,31,229311,985,1736,2481,5516,489238,F
220209952,3938,69,153582,985,2020,1488,5228,489270,T
348525846,4016,36,172688,985,1092,1985,5683,489083,F
063138279,436,9,41420,985,9073,2481,10918,489278,T
296514857,4136,26,392920,985,1871,2481,5818,488946,F
624115636,636,55,19080,985,1249,992,8180,488854,T
041347017,4095,29,257985,985,2879,2481,5302,489335,F
716647848,674,1,47854,985,9073,2481,7511,489553,T
744196886,4051,50,105326,985,1080,2481,7587,489300,F
148798950,4223,65,333617,985,24043,1488,10100,489616,T
856091496,4067,23,109809,985,1063,2481,5830,489289,F
561793451,624,43,28704,985,3062,1985,5625,489526,T
681741600,4084,39,159276,985,1849,2481,7546,489012,F
