userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
510665201,1657,190,278376,879,3480,428,3250,344216,T
780137610,2160,68,60480,784,9347,428,4283,344421,T
085546007,2264,40,138104,688,4194,1713,2978,344320,F
789960000,3941,160,807905,1500,3675,428,3916,343993,F
562254334,1634,172,243466,2007,5363,428,2738,343740,T
554623023,1792,182,180992,717,10553,2141,4711,344093,T
497956920,1755,179,279045,1058,54526,428,4221,343695,T
615866645,1798,202,95294,1189,3894,1713,6048,344539,T
610260495,4011,166,806211,2388,7608,2141,4310,343719,F
219616665,1729,179,143507,2681,65431,428,4359,344228,T
978210919,2260,56,54240,1329,7789,1713,5771,343817,F
502564104,1687,193,244615,956,8609,1713,3370,344158,T
121841215,1710,174,46170,2895,5739,1284,4680,343554,T
562005698,1650,212,351450,2796,3304,856,3541,343583,T
168592413,633,13,116472,1282,21810,428,3830,344026,T
751595203,438,1,11388,918,5452,1284,3363,343971,T
467893642,2206,71,302222,3894,4956,428,4557,344175,T
364944368,2119,69,364468,659,4248,428,2670,343988,T
642917302,3997,160,123907,2555,54526,1713,5134,344395,F
081308119,3959,159,847226,1493,14224,428,2976,343719,F
216086668,3966,147,912180,2681,3443,428,4567,344426,T
206025189,1773,185,203895,970,9347,1713,5655,343966,T
747366071,2133,50,281556,757,8178,428,4172,344097,T
982258824,1672,204,230736,1168,5276,1284,4568,344268,T
561053988,3959,174,752210,1644,3848,856,6000,344414,F
369301620,1673,175,329581,1109,4543,856,5150,343647,T
177498604,2206,42,255896,1051,13631,428,5518,344451,T
001694406,2125,43,512125,1982,5111,856,5380,343683,T
960763526,1718,172,168364,2032,32715,2141,5421,343876,T
587638520,1644,212,75624,898,5842,2141,4053,344532,T
244057043,1774,176,177400,1611,4141,1284,5131,344537,T
032475870,1785,184,303450,1787,6960,2141,5496,344469,T
278437147,1704,177,269232,1329,14870,2141,5754,344097,T
161684219,1710,203,39330,1086,4956,428,5701,344425,T
383521201,1742,179,423306,945,17218,1284,5404,343798,T
075100829,477,9,23373,699,4304,1713,4725,344277,T
708374705,2172,73,62988,838,4089,1713,4202,343870,F
278554901,493,34,16269,1778,4673,428,4019,343856,T
708178250,1633,192,231886,2638,16357,2141,4115,343623,T
771104337,3989,176,606328,2083,5276,856,5290,343592,T
524473823,1797,193,264159,1619,4481,1284,3213,344259,T
377446285,606,20,8484,760,3556,2141,5780,343824,T
568148893,2175,64,202275,1398,4741,428,5743,343765,T
722999223,3923,157,945443,1580,13631,856,4532,343838,F
463269589,632,7,85952,908,3443,1713,2553,343648,T
279958519,1755,202,252720,1660,3517,1713,5844,344072,T
433709039,1634,200,223858,965,4811,1713,6032,344511,T
946886818,595,1,64260,1072,4362,856,3438,343572,T
399500621,1658,184,81242,826,3443,1284,2555,343650,T
328803603,2228,64,550316,1253,3480,428,3380,343700,T
709074885,574,28,73472,2796,3372,428,6105,344167,T
633639933,2175,49,476325,1374,5193,428,5746,343765,T
526938223,572,7,112684,896,5452,428,2956,344317,T
505418963,2185,38,67735,3941,4956,2141,5453,344011,F
882670223,521,16,51058,2947,8842,856,3557,343962,T
887508701,2145,45,293865,1595,4481,428,5949,343987,T
607074428,526,34,107830,948,3443,428,2571,344237,T
437199810,1736,186,248248,1112,3804,856,5752,344495,T
125259126,1755,209,328185,2110,4089,1713,4284,344401,T
313056480,4650,11,1153200,979,65431,1713,2696,344472,T
631640038,1639,212,88506,693,14224,1713,6031,343923,T
772253555,1722,189,230748,1101,3407,1284,2618,344530,T
977720398,1787,179,194783,1109,16357,428,5520,343848,T
379315339,1746,207,176346,1768,15579,2141,3390,343676,T
842228277,2182,48,72006,2478,5111,2141,4722,343820,F
655693382,1764,209,322812,1132,3407,428,4490,344070,T
720337456,2150,57,79550,1669,3480,2141,5793,343891,F
821102548,1631,175,402857,683,3595,2141,4692,344046,T
282848432,2240,61,94080,1368,10905,856,4038,343912,T
191626560,1827,179,359919,743,6676,2141,6010,343950,T
