userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
350766986,514,6,24158,803,1913,2141,3051,343965,T
698009097,2139,84,126201,803,792,1713,2791,344416,F
654902185,1651,222,80899,803,755,428,3548,344460,T
109017482,2321,87,76593,803,1913,2141,2742,344139,F
504317987,460,1,40480,803,826,2141,4762,344217,T
756356325,2279,51,202831,803,1032,2141,5903,344250,F
246295243,568,9,13632,803,762,1713,4455,344376,T
972772346,2208,46,88320,803,1234,1713,3221,344193,F
411344661,2090,38,163020,803,1032,2141,5917,344485,F
725753125,1786,212,46436,803,671,1713,3047,343966,T
443660283,1636,214,91616,803,2749,2141,2572,343654,T
948362763,2257,49,162504,803,1346,1713,3888,344312,F
504457836,1703,217,112398,803,2405,428,5966,344176,T
371467899,2308,46,64624,803,2844,2141,5584,344326,F
552317230,1699,241,78154,803,1185,856,2841,343852,T
350751291,2344,95,49224,803,663,2141,2672,344079,F
963312088,541,1,50854,803,3029,1713,3557,343977,T
992725921,2097,71,58716,803,1994,1713,4280,344244,F
654118486,2108,103,137020,803,1351,428,3527,344390,T
387194038,2344,49,222680,803,1982,2141,2711,343677,F
756428650,2166,45,145122,803,1062,1284,3285,344402,T
421271488,2293,85,48153,803,1380,1713,3979,343847,F
978092639,2334,67,112032,803,741,1284,3509,344219,T
020889444,2121,76,99687,803,2019,1713,2694,344012,F
280735683,1924,222,109668,803,799,1713,5956,344484,T
992408097,2092,49,96232,803,4194,1713,3976,343818,F
820842587,454,40,33142,803,1239,428,2608,343597,T
546200320,2222,57,73326,803,728,2141,4365,343869,F
761894957,1827,199,71253,803,1380,1713,4731,344485,T
473440691,2137,48,47014,803,1094,2141,5820,343709,F
307802271,1632,230,158304,803,1055,428,3480,343854,T
552126166,2194,47,87760,803,863,1713,3555,343949,F
649797396,1801,241,117065,803,764,428,4700,344068,T
510055313,2098,69,73430,803,1160,1713,3962,343927,F
195083704,2229,60,102534,803,1434,2141,5741,343574,F
751763544,531,33,38763,803,4673,428,3285,343751,T
324506905,1687,175,47236,803,786,1284,3298,343546,T
924844931,2260,64,171760,803,854,2141,3864,343809,F
628969405,2256,70,205296,803,834,1713,2934,344442,F
749100408,510,19,16830,803,1105,1713,4378,344086,T
595362630,1741,221,132316,803,1398,856,4198,343609,T
264665129,2313,65,83268,803,727,2141,5740,344273,F
164552549,1633,188,50623,803,1086,1284,5757,344416,T
143106905,2099,54,146930,803,1740,1713,3961,343829,F
333483388,2190,48,201480,803,1565,1284,5890,344054,T
069015585,2346,71,114954,803,1340,2141,3019,343808,F
499845012,1744,208,40112,803,1652,1713,3284,343574,T
042277850,2088,64,123192,803,948,1713,4418,343953,F
073730517,1849,191,75809,803,1441,856,4622,343536,T
983850825,2252,68,123860,803,937,1713,2781,343988,F
785267454,2304,71,96768,803,792,1713,5907,344513,F
986058623,2354,80,214214,803,6058,856,6082,344401,T
156526492,2276,38,218496,803,3894,428,4028,343857,T
905546909,2129,57,87289,803,764,2141,3300,344251,F
534670608,642,11,12840,803,942,2141,3863,343973,T
512902302,2163,59,114639,803,2844,1713,3341,344108,F
997560085,558,8,40734,803,1565,1284,4358,343758,T
996412214,2165,76,88765,803,1243,2141,4593,344010,F
863074459,2314,84,152724,803,879,856,4018,344343,T
259657348,2361,51,82635,803,884,1713,2804,344295,F
057843122,1885,174,50895,803,746,2141,4254,343774,T
831868895,2132,60,112996,803,725,2141,2622,344430,F
408629237,1740,175,154860,803,3443,2141,5648,343581,T
067092517,2205,61,149940,803,893,2141,4734,343669,F
043129506,1746,231,122220,803,9913,428,4244,343771,T
881852593,2148,58,139620,803,1120,1713,3867,344258,F
836009041,1884,228,71592,803,7270,2141,4462,343566,T
370225969,2260,67,122040,803,1172,1713,4311,343829,F
438746625,436,22,10464,803,893,1713,5605,344536,T
804367072,2317,73,74144,803,1603,2141,5808,344118,F
779527925,1671,191,158745,803,1072,856,3881,344250,T
980513027,2214,49,108486,803,681,2141,3929,343612,F
833661482,1842,195,53418,803,748,1284,2943,343881,T
727748578,2163,65,90846,803,903,2141,2562,343891,F
193213107,1850,199,74000,803,719,1713,3206,343757,T
128361260,2099,55,121742,803,1207,2141,4588,344529,F
267793455,476,21,46172,803,4362,428,5653,343850,T
822343190,2084,52,208400,803,1025,2141,2781,343642,F
554901886,1735,194,76340,803,1139,1713,4062,343735,T
819722452,2367,82,47340,803,1147,1713,3037,344180,F
631449503,690,15,51060,803,1048,1713,3324,343753,T
725243640,2168,57,78048,803,699,1713,4719,343969,F
326295031,534,21,21894,803,3304,856,4548,343862,T
907131103,2228,48,187152,803,1019,1713,3411,344118,F
185425749,1789,193,143120,803,886,1284,5862,343597,T
475162259,2218,54,159696,803,2576,1713,5237,344406,F
404118517,1810,212,173760,803,1357,1713,5638,344432,T
704879700,2162,80,43240,803,3086,1713,5320,344164,F
842989430,1792,229,87808,803,1009,2141,2642,344378,T
510766258,2085,56,181395,803,1712,2141,3325,344173,F
740713886,1679,215,80592,803,881,428,3918,344108,T
036593549,2299,78,55176,803,1308,2141,5178,344295,F
404109306,1655,204,91025,803,843,2141,3806,343637,T
811408185,2372,53,135204,803,872,1713,5535,343770,F
356445378,2102,47,96692,803,1105,428,5855,344110,T
713907400,2142,60,126378,803,1181,1713,3120,344315,F
323103457,2368,65,175232,803,2083,856,3324,343875,T
752393538,2129,67,70257,803,3675,2141,5970,344362,F
455046809,545,22,14715,803,2869,856,2759,343618,T
204848966,2129,70,76644,803,782,1713,2866,344385,F
