userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
809930004,2471,32,565859,2471,43775,2047,8130,702516,T
266619859,2540,31,579120,2077,47143,1535,7838,702567,T
652263984,1688,1,133352,2091,20428,1023,10370,701908,T
487230604,2468,22,594788,2403,61286,1023,6091,702581,T
960407745,3615,13,578400,2760,16127,2047,5431,702255,T
947738978,2617,37,177956,3079,11349,2047,10614,702428,T
733268970,4462,59,374808,2212,17510,1535,11121,701824,T
758434283,4412,52,900048,2261,13323,511,10751,702335,T
353626235,2559,20,110037,1250,122572,2559,11170,701894,T
752952357,4311,81,469899,2946,7959,1023,5292,701810,T
621663619,3642,47,338706,2295,27857,1535,5745,702751,T
556223408,4435,81,106440,1903,20428,511,5100,702104,T
140346500,2615,22,371330,2412,11785,2047,10261,702271,T
274846922,2450,53,232750,1355,13619,1535,8251,701937,T
783019177,2624,41,52480,1418,6589,2047,7810,702664,T
400577764,2609,46,174803,1621,8395,1535,10666,702338,T
704145792,1548,3,376164,2063,11142,1023,7795,701973,T
249605129,2640,50,599280,3482,102143,2559,7668,701820,T
465863853,1657,1,49710,2811,8063,1023,10329,702238,T
836746811,2567,41,395318,1771,9727,2559,10303,702151,T
781041993,3646,31,583360,1595,15321,1023,5324,702010,T
680799403,4354,84,526834,1879,32255,511,5220,702167,T
163355786,3770,26,101790,1595,13619,1023,8172,702410,T
309356463,3796,49,72124,3142,34047,1023,10720,702106,T
487540549,1533,9,343392,1721,8281,1023,8020,702251,T
238374486,4445,72,986790,3191,7757,2047,10285,702732,T
398832523,3688,37,910936,2960,19769,1535,8206,702467,T
006203041,4307,64,508226,1326,11785,1023,8182,701838,T
401952062,1612,17,157976,1469,22698,1023,11054,702366,F
078208671,2623,13,288530,2036,29183,1023,10499,701818,T
497461056,4440,66,372960,2676,13928,1535,5338,702280,T
143330496,3698,35,924500,4346,14947,2047,10218,702013,T
292987626,4441,81,288665,3626,11563,2047,7907,702221,T
398736773,2514,22,439950,1702,10387,1535,7876,702463,T
367072194,3758,45,871856,1761,6318,2047,5286,702515,T
241264177,2457,21,272727,1323,26646,511,8246,702182,T
861722735,1582,14,276850,1498,10214,511,8560,702260,F
693750162,2540,13,358140,1386,27857,2047,5242,702346,T
428873606,4453,53,298351,8171,11142,2047,10760,702138,T
173041850,2601,13,231489,8395,6451,2047,5906,702073,T
614815051,4420,49,48620,1791,18571,511,8361,701934,T
604438080,2539,35,530651,2022,61286,1535,8642,702256,T
207727610,2499,51,124950,1290,7383,2047,5907,702191,T
634471831,4430,79,115180,7126,9147,1023,5997,702456,T
841287169,4317,81,850449,5892,10387,511,5901,702070,T
471932835,1643,25,226734,1442,6964,511,5764,701998,F
790696123,2514,18,221232,1731,18571,2559,10724,702417,T
304039457,2448,28,310896,1396,40857,1023,5271,702150,T
857172485,2522,19,471614,5622,32255,1535,5519,702303,T
942309136,3768,30,346656,1781,18571,1535,8593,702666,T
787650189,3699,26,858168,6383,12767,1023,5319,702118,T
521826825,2633,15,173778,2120,7473,1535,8559,701947,T
010350591,2614,34,334592,2366,6886,2559,10450,702473,T
920629513,3679,45,798343,1669,10387,2047,6027,701789,T
187317769,2480,51,620000,2056,23571,1023,10765,702716,T
257364176,3683,40,412496,2699,21133,1023,5533,702377,T
645211419,3688,31,224968,1621,25535,1535,5652,702077,T
202264650,4334,76,598092,1539,6383,511,10439,702778,T
891872488,2557,43,480716,1756,6128,2559,8393,702711,T
156426198,3801,33,140637,4441,18571,2047,6006,701858,T
010805558,1608,14,352152,1228,8631,511,10589,702696,F
904445535,4378,65,192632,3522,7857,2559,10872,702437,T
850565574,3744,47,902304,2630,27857,1535,8256,702381,T
905775478,4397,76,140704,1958,32255,1023,8271,702526,T
159119287,4344,66,147696,1909,16127,1535,5560,702192,T
958014831,4327,56,307217,2877,7660,1535,11125,701915,T
594178067,4464,50,437472,5375,9012,2047,5803,702285,T
063965126,2494,28,134676,1608,102143,1535,11216,702533,T
488314550,4463,69,651598,2321,7857,1023,7654,702181,T
387865177,4394,84,518492,4787,6886,1023,11181,702191,T
859951342,4308,86,232632,3542,6318,1535,10970,702684,T
898732171,1597,1,281072,1656,7044,1023,10678,701987,T
393601141,2603,52,54663,1702,12257,2047,8015,702065,T
653767556,2456,23,257880,1625,8171,2047,10954,702269,T
872367917,4408,68,612712,4315,8395,511,10901,702467,T
014801623,4423,78,760756,3404,6383,511,10363,702103,T
271332223,2622,24,68172,2773,11785,2559,7676,702322,T
013893666,3615,17,473565,1349,11142,1023,8648,702311,T
005084949,3744,38,703872,4197,10751,1535,10783,702584,T
201554453,2458,34,280212,1431,10046,1023,10604,701786,T
339016389,4439,51,128731,2481,9727,1023,8102,702778,T
829032840,4348,68,130440,3423,22698,1023,5167,702106,T
820195593,4331,79,788242,1617,87551,511,8589,702725,T
410863486,3813,12,446121,3903,15321,1023,8558,702105,T
991833843,2577,15,85041,5571,61286,1535,11024,702772,T
922997550,4294,53,107350,8171,11142,1535,7992,702716,T
863352667,2585,36,604890,2630,55714,2047,6020,701832,T
