userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
909554333,2585,18,134420,1371,2009,1535,10602,702070,T
373583443,1525,49,76250,1371,4982,511,10272,702653,F
258264787,3622,23,184722,1371,5950,1535,5306,701808,T
860583996,1692,15,69372,1371,2553,1023,7965,702276,F
443553805,2717,35,84227,1371,5836,2559,5461,702381,T
228663975,1656,34,122544,1371,1346,1023,11071,701978,F
774460604,1706,27,153540,1371,2522,511,11011,702723,F
167455152,3863,22,154520,1371,1945,1535,10384,702026,T
452054433,1743,6,69720,1371,3854,511,10798,701876,F
382811442,2733,81,232305,1371,2366,2559,10991,701856,T
656773360,2484,75,129168,1371,2501,2047,11123,702312,T
420421558,1750,13,134750,1371,2619,511,5813,701994,F
545930410,2598,42,257202,1371,4678,2559,8258,702735,T
682112732,1756,3,100092,1371,1591,511,7730,702024,F
161345565,2561,30,171587,1371,1535,2047,7749,702055,T
243976121,1729,36,160797,1371,2501,511,8353,702225,F
272196859,3699,33,244134,1371,1665,1023,7990,702342,T
045487852,1757,5,84336,1371,7473,511,10857,702753,F
077977503,3721,35,107909,1371,2286,1535,8426,702606,T
816903382,1755,58,87750,1371,1874,511,7642,702062,F
493118780,2526,45,75780,1371,13928,1535,8231,702781,T
623379737,1535,31,33770,1371,1428,511,8045,702112,F
205929437,4393,53,180113,1371,1358,2047,5408,702410,T
406287748,1537,6,133719,1371,34047,511,5986,701931,F
064233441,2478,24,235410,1371,7757,2047,8334,702234,T
514776253,1619,38,66379,1371,5107,511,8560,702505,F
240756121,4353,107,117531,1371,2422,1023,5830,701954,T
705851590,1754,24,56128,1371,2850,511,8168,702359,F
862233332,2444,72,229736,1371,68095,2559,7802,702735,T
665215956,1694,60,123662,1371,2811,511,7780,702639,F
579431029,3656,9,76776,1371,2120,1023,7946,702617,T
648863203,1608,55,51456,1371,1567,511,5253,702170,F
724168798,4358,49,383504,1371,1295,511,10600,702649,T
152783912,1799,54,37779,1371,1462,1023,11201,702734,F
358478187,3674,39,157982,1371,1279,1023,8047,702322,T
036930170,1739,16,92167,1371,2375,1023,7748,702357,F
884338096,4557,71,369117,1371,3830,511,5621,702407,T
617537056,1516,14,39416,1371,9285,1023,7915,702095,F
131367434,2454,65,201228,1371,1452,2559,8468,702193,T
717086051,1552,3,49664,1371,1253,511,7736,702159,F
155268309,1543,12,109553,1371,4982,1023,8407,702347,F
302914668,4377,65,166326,1371,3502,2047,10446,702531,T
413640418,2663,17,260974,1371,1396,2559,10582,701816,T
959106212,1800,44,160200,1371,1707,511,8196,702137,F
665041289,2527,58,133931,1371,1338,2047,5386,701967,T
592233902,1599,3,31980,1371,1927,1023,11235,701931,F
089811819,4302,71,189288,1371,6067,2047,5632,702122,T
286050078,1655,1,95990,1371,3385,511,5792,701963,F
590397361,3765,20,376500,1371,2461,1023,8395,702051,T
696452596,1574,2,69256,1371,1480,1023,5105,702037,F
141405100,2546,67,66196,1371,3583,2559,5780,702175,T
003494289,1724,10,96544,1371,1425,1023,8156,702782,F
063285738,2462,74,140334,1371,3736,2047,10635,701943,T
162503278,1608,22,136680,1371,1261,511,10310,702366,F
118532774,4486,115,390282,1371,1268,1023,8521,701930,T
883004797,1752,17,35040,1371,2511,511,11011,702094,F
379575918,1613,19,33873,1371,23571,511,7965,701861,F
206230833,2641,53,235049,1371,36050,511,7770,701857,T
204176078,2510,49,72790,1371,3225,2047,10568,702699,T
741462574,1748,49,148580,1371,1271,1023,5658,701845,F
893909983,4392,93,188856,1371,2687,2047,6001,702780,T
181507753,1719,17,120330,1371,2630,1023,5953,702440,F
233242762,4516,91,289024,1371,12016,1023,5572,701915,T
766979717,1665,1,93240,1371,1341,1023,10643,702153,F
929905107,4422,90,318384,1371,3142,2047,5856,701863,T
127103963,1586,1,69784,1371,1665,1023,7940,702394,F
082989386,4579,52,224371,1371,3443,1023,5293,702307,T
043442098,1520,1,63840,1371,10566,1023,8645,702602,F
031438870,4515,47,428925,1371,2564,511,8321,701862,T
577146112,1683,41,100980,1371,3385,511,10394,702081,F
708810202,4529,111,362320,1371,2312,1023,10374,701966,T
124057730,1740,22,146160,1371,1604,511,5499,702677,F
342935266,2501,39,247599,1371,17023,1535,7725,701952,T
244652449,1573,30,114829,1371,4863,1023,7686,702500,F
