userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
290250134,4674,382,551532,2439,4313,1703,5691,493334,T
724518463,3157,9,359898,3658,6504,2271,6294,492691,T
617263499,429,25,74217,837,4552,567,6659,493322,T
365482843,4653,365,279180,1960,16390,567,12348,493009,T
659817668,3151,28,548274,961,9529,2271,6429,492781,F
171140334,3027,29,659886,862,6304,2839,6193,492581,F
201111262,4621,379,138630,1379,5853,2839,6269,493175,T
671191878,4614,373,1093518,2410,7064,2839,9316,492995,T
492774404,2424,35,349056,968,29269,1135,6547,492963,F
861652333,2429,34,366779,857,5321,1703,8475,493280,F
525090299,2979,21,709002,2090,5122,2271,5809,493210,F
264438157,1878,19,26292,1632,9529,2839,6388,492775,T
940991400,2336,60,497568,1219,4268,1703,11582,492742,F
670425993,1883,27,203364,3358,13218,2839,11798,492813,T
862399566,2332,50,242528,1135,11382,2271,6308,492945,F
824438893,4489,398,727218,1144,7588,1703,12089,493424,T
131020556,2959,100,121319,950,6609,2271,5962,493093,T
461063863,2347,61,347356,3278,25610,1135,6352,492753,T
233496390,4623,391,115575,1208,9312,567,11448,492650,T
322949873,4485,391,950820,848,4936,1703,11967,492660,T
096083905,4621,378,1127524,850,7317,1135,5937,493331,T
344731421,4535,385,312915,1019,16390,567,9402,492836,T
596324082,1865,30,24245,5058,4502,2271,6144,492942,T
549580063,4563,394,269217,1384,8718,1703,6377,492898,T
461594903,4567,393,543473,3304,6304,1703,11887,493489,T
695192483,1938,39,89148,1384,5391,2839,9296,493095,T
499595050,2518,54,611874,1339,22764,1135,8531,492724,T
557398116,4634,390,1061186,4936,5058,1703,8592,492907,T
878898934,2423,34,96920,1004,7731,567,6309,492856,F
710496721,4596,389,556116,819,7317,567,11567,493157,T
980490351,4530,370,113250,1432,5253,2839,8958,493554,T
567657022,2418,26,522288,1029,4709,567,11543,493008,F
374826020,2519,24,277090,1347,7731,1135,8628,493452,T
499016714,2375,26,289750,5122,8195,567,6103,492798,T
702543567,4582,381,274920,3715,6705,308,1338,286207,F
388470946,3152,23,85104,890,14634,1135,8476,493345,F
717356337,4647,401,896871,1534,7588,1135,5845,492714,T
632616360,4559,388,63826,1317,17073,1703,5654,492749,T
735581706,3041,33,662938,1352,37251,1703,9427,493107,F
154110064,3063,10,609537,1829,7880,2839,6163,492772,F
371186882,3040,3,316160,2008,9105,567,6542,492607,F
558742245,2981,110,617067,929,58538,567,11454,492795,T
970827154,4537,364,340275,1914,13658,2271,6488,493196,T
157547265,2411,50,149482,1113,15760,1135,8724,493115,F
831412168,2964,97,370500,2410,4139,2839,11963,493267,T
538004976,3028,92,381528,946,40976,2271,6143,492723,T
373235254,2990,116,296010,4017,31520,1703,12084,493087,T
157525421,3139,1,514796,1249,4878,567,9314,493165,F
906375651,4488,388,973896,837,4406,1703,6466,492945,T
768114759,3129,25,531930,1160,4764,1135,9401,492944,F
038037394,2445,23,239610,2991,6402,567,8593,493464,T
368354939,4633,390,467933,1309,9994,1703,11995,493067,T
089737644,4608,392,769536,848,9312,567,8762,493347,T
435610600,2337,51,514140,1632,6026,567,11457,492711,T
832208555,3097,8,303506,1700,5122,1135,6332,492935,F
098848809,4611,392,705483,5771,4097,1135,6364,492906,T
177583695,4526,398,647218,989,7588,567,6088,493163,T
146631884,1917,10,352728,1845,4604,1703,11826,493014,T
101083474,4586,376,573250,1208,8362,1135,5690,493031,T
995066917,3067,1,641003,1736,8536,1703,9496,492762,F
209877583,2498,57,424660,868,11382,567,6018,492817,F
696290853,3093,26,562926,5186,4820,1703,6566,493510,T
787517767,3063,1,505395,1249,6208,1703,9300,493121,F
969813027,3122,9,549472,4454,4181,2839,6584,493149,T
590472202,1952,28,148352,2302,7880,2839,8525,493439,T
007446800,3095,21,64995,3201,5122,2839,5640,492666,T
069757314,2980,109,697320,948,5122,2839,6184,493543,T
607916827,4515,384,338625,4552,4709,2271,6546,493218,T
006342475,2437,45,43866,2080,8195,1135,9486,492732,T
360107114,3029,16,745134,924,18625,1703,8554,493562,F
393205763,1890,7,111510,1135,7450,2271,11885,493577,T
941459873,2933,117,460481,1075,4139,2839,11995,492904,T
447857599,3162,2,461652,2145,7064,2839,11903,492868,F
288020976,4535,370,154190,841,10244,1135,5632,492804,T
401272696,4674,386,1037628,4097,34147,1135,5757,493369,T
936942631,3081,20,252642,1347,8908,1135,5784,492761,F
359431352,1971,23,59130,1198,6304,1703,11423,493010,T
032870903,4640,378,134560,850,5058,567,8705,493041,T
333579585,4544,378,145408,1098,12417,567,8889,492630,T
632725723,1971,36,19710,1979,5691,2271,11322,492613,T
119506590,3098,27,415132,886,4936,1135,5773,492679,F
205293317,4549,375,655056,3443,5691,567,12023,493332,T
565261581,2023,41,384370,1215,4936,2839,12304,492760,T
286258964,2973,89,327030,2227,81953,2271,11903,493153,T
353528335,4631,369,379742,1064,5691,1135,6401,493563,T
272276873,2018,11,310772,866,9994,1703,11827,492949,T
375596471,4665,390,167940,3829,11707,2271,11429,492598,T
091222980,2980,8,634740,1658,15760,1703,9272,492917,F
312870459,4559,400,364720,3594,13658,2271,11318,493185,T
186738151,2344,61,480520,3978,8034,567,6541,493106,T
544260490,4511,375,428545,2845,6504,567,5738,493137,T
493092900,4544,374,408960,5391,16390,2839,6291,493082,T
