userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
843766018,3025,36,487025,836,14309,1449,1459,429220,F
455993693,3005,42,688145,3082,8347,362,1978,429320,T
138694107,504,2,117432,5071,5342,362,1543,429466,T
128346075,2486,18,191422,1326,5806,724,1240,429230,T
817272721,3010,62,340130,1248,26710,1086,1096,428594,T
311271358,521,15,120351,2189,8710,1811,1821,429033,F
858132365,2628,21,628092,1085,8903,1811,1818,429177,T
687048406,504,18,93240,1511,10543,362,2020,428938,T
312147425,2456,17,361032,854,16026,1811,1821,429440,T
289096562,2995,40,503160,1335,57237,1811,1821,428652,F
968238683,554,1,70358,1313,40066,362,1510,429053,T
674130171,2463,44,310338,944,6568,1449,1735,428588,T
145072001,2987,24,725841,2370,5008,362,817,428843,T
227630499,2984,28,420744,3130,28618,1811,1894,428716,F
473868970,2544,27,272208,1305,57237,1811,1821,429299,T
978926790,2534,36,55748,1456,16026,1086,1313,429137,T
380878029,2922,44,420768,1157,11447,724,1073,429085,T
443226806,2902,23,284396,2302,36423,1086,1725,428636,T
321679266,2502,29,370296,1019,4769,724,2208,429509,T
319587978,2910,51,483060,1062,16026,1811,1821,428583,F
623338201,2975,29,357000,1589,14309,362,1640,428656,T
511076580,2509,50,105378,1676,5643,1449,1718,429195,T
052426113,442,3,87516,1221,9317,1449,1459,428669,T
758963161,3011,57,361320,1804,8710,362,2097,428908,T
832605541,2630,12,531260,1500,5488,1086,1897,428650,T
801375001,3062,23,431742,2568,10828,724,1264,429428,T
809386575,554,4,51522,2618,5643,1811,1821,428824,F
908259940,3057,62,171192,1271,36423,1449,2138,429342,F
116668790,459,1,64260,1430,10828,362,2340,429552,T
240216850,451,1,101475,4605,19079,1086,1912,429277,T
288768398,609,15,10353,1255,4552,1086,1579,429392,T
773986922,508,3,109220,1376,6164,724,1875,428837,T
331244876,626,1,137094,1704,19079,1449,1459,428623,T
874979565,577,1,84242,1676,5203,1811,1821,429252,F
547068729,2609,38,313080,3179,9105,1811,1821,429475,T
925309178,2637,28,458838,1467,8524,1449,1540,428797,T
296533190,617,17,144378,1622,4658,1449,1525,429105,T
741819649,2907,29,555237,1016,14839,362,1520,428841,T
605684956,3055,54,562120,5271,5008,1811,1821,428812,F
487505542,2912,58,710528,4658,30820,1086,1360,429062,T
146299289,2515,51,208745,1057,4769,1449,1459,429374,T
883801608,2983,59,89490,3205,14839,1086,1389,429179,T
373644041,529,18,34385,882,14309,1086,1422,428971,T
406107423,3026,32,393380,861,4402,362,1450,429297,T
777130680,468,16,41184,1088,4946,1449,1459,429467,T
459531748,609,12,8526,807,26710,1086,1096,429135,T
553067896,525,16,17850,801,4552,724,2274,428588,T
263302919,586,13,121888,1004,6070,1811,1821,428834,F
561952541,4961,53,1131108,4501,4006,1811,1821,429485,T
020734994,2954,48,200872,2601,8710,362,1097,428762,T
322446800,2891,34,31801,4605,57237,1811,1821,428665,F
586408682,3090,44,284280,921,36423,1449,1588,429252,F
534985739,2603,25,234270,1006,6907,1811,1821,429465,T
835032997,2976,32,389856,827,4130,724,1681,428628,T
981753724,516,1,28896,1062,26710,362,1890,429119,T
966561502,2535,16,590655,1340,9772,1449,1875,429167,T
841826717,2990,42,400660,1185,26710,362,1620,429295,T
549372391,618,5,101970,960,80132,1449,1459,429525,T
014395439,444,1,10656,1529,25041,1811,1821,428758,F
482654228,533,24,53833,3609,4658,362,1519,429498,T
582801566,627,5,119130,1244,14309,1811,1821,429074,F
246353232,3004,41,528704,4006,4605,724,862,428961,T
114107416,2978,57,142944,982,6260,1449,1459,428879,F
125161051,538,14,128044,1410,7029,1449,1459,429263,T
065952004,3037,50,671177,931,5488,724,1587,429415,T
740950821,2630,39,636460,1410,8710,1449,1459,428737,T
644469284,553,1,50323,1704,44517,724,1213,428955,T
459101463,2931,25,375168,869,17420,1449,1459,428564,F
276235018,2550,26,63750,1082,6462,724,1183,429400,T
193433165,2986,41,65692,2165,20033,1449,1728,428732,F
294974419,525,11,117600,1141,57237,1449,1459,428631,T
733324300,459,1,67932,5488,6790,1811,1821,428851,F
894518617,2495,50,59880,1057,7705,724,2372,428831,T
115693058,535,1,51360,1511,5271,1086,1550,428897,T
521420968,2507,26,408641,965,16026,1449,1640,429410,T
017442812,3006,42,661320,1074,17420,724,1840,428866,T
995654287,485,1,47530,1954,6070,1086,1104,429482,T
363346473,2539,26,436708,2289,4886,1449,2044,428706,T
707563232,4950,48,891000,1367,10828,724,2298,428716,T
762235233,540,1,63180,1284,6359,1086,1711,429084,T
651331782,3009,31,577728,865,4769,724,1077,429407,T
498836898,494,21,42978,1489,21087,724,1805,428589,T
188827132,2589,44,365049,1252,5414,1811,1817,429430,T
146463152,580,12,105560,1148,7029,724,1724,428979,T
157382373,3020,58,631180,3105,4451,1811,1821,428939,F
162777379,2997,37,416583,1473,6907,724,1426,428714,T
609206100,606,1,112110,1112,16694,724,1045,428558,T
028020505,2957,56,526346,2131,6677,362,1641,429541,T
082570498,531,18,16461,4217,12141,1086,1096,428885,T
736705541,2587,31,294918,977,21087,1449,1503,429044,T
953724532,550,1,121000,1085,5643,1449,2244,428582,T
847789121,2576,51,458528,1300,4946,1086,1911,428851,T
146686482,538,1,61332,4451,6462,1449,1692,428661,T
999442491,435,1,10875,3257,11129,1086,1422,428663,T
106648079,2606,23,510776,1662,4605,1086,1577,428800,T
835283796,2903,51,624145,1829,8176,362,1451,429487,T
551050504,2948,35,521796,982,25041,1449,1786,429072,F
224300066,449,12,107760,1252,6462,1449,1752,429260,T
462283315,538,1,95226,1500,57237,1086,1187,428610,T
655198051,2570,24,524280,2618,18211,1086,1818,429502,T
444906051,594,21,23166,2635,4173,362,1907,428763,T
103460618,459,5,70227,3058,14839,362,1665,428958,T
479091466,437,11,34523,1796,18211,1086,1823,428663,T
572715466,4916,48,1115932,2671,4886,1449,1469,428753,T
065136650,607,1,125042,1386,5071,362,2384,429095,T
