userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
244793715,2957,65,150807,1185,2013,1086,1558,429040,T
343716271,3172,86,222040,1185,1164,1449,1559,428558,F
004421046,2502,23,210168,1185,986,1811,1494,429309,T
832794093,3055,62,171080,1185,2356,1811,1219,428604,F
204453260,2546,58,134938,1185,7856,1449,2124,428605,T
469166298,589,1,16492,1185,3889,1811,1388,429335,F
301309670,2922,41,81816,1185,1331,1811,1546,429507,F
494800739,508,1,48260,1185,2370,724,1266,429166,T
105113750,2735,34,202390,1185,1635,1449,1252,428552,T
991901374,3055,82,168025,1185,1615,1811,1523,428913,F
083928231,2995,72,227620,1185,2946,724,1221,429178,T
711316566,3152,58,179664,1185,3514,1449,1371,428953,F
943841162,2530,71,253000,1185,5203,1086,1449,428592,T
888300107,3037,80,148813,1185,1057,1449,1214,429125,F
358207509,2911,58,154283,1185,8013,724,1422,429386,T
865475206,3081,80,160212,1185,1014,1811,1230,429297,F
594574508,3051,42,256284,1185,1386,724,1915,429303,T
686157085,3107,41,282737,1185,5342,1811,1522,429344,F
436270874,3037,47,112369,1185,5271,362,1331,429277,T
981871933,3082,73,212658,1185,1391,1449,1562,428748,F
145627058,3118,64,174608,1185,1054,1449,1447,429090,F
789212120,2659,79,175494,1185,3577,1086,1723,428935,T
469544933,575,31,16675,1185,1362,362,1953,428683,T
258773070,478,1,26290,1185,1898,1811,2110,429509,F
681068334,2923,89,286454,1185,874,724,1510,429255,T
893276699,573,11,12606,1185,1004,1811,1322,429470,F
588711655,3118,61,230732,1185,57237,1449,1287,428734,F
624244008,515,20,14420,1185,1027,1449,1411,428897,T
816456022,645,28,27735,1185,1035,724,1326,429178,T
910137878,3167,48,250193,1185,949,1811,1638,429025,F
242477610,701,12,41359,1185,2086,1086,1047,429242,T
399275063,3028,54,193792,1185,836,1811,1192,429039,F
115318155,2928,64,161040,1185,11447,362,1027,428596,T
081154650,3185,65,257985,1185,2535,1811,1270,428703,F
448833491,2483,40,201123,1185,845,1449,2112,429247,T
923657929,3147,40,283230,1185,1151,1449,1632,429125,F
085251640,3040,45,127680,1185,1837,362,2089,429502,T
414316220,644,1,23828,1185,1292,1811,1563,428588,F
101889648,3160,29,259120,1185,1662,362,2260,429048,T
598465257,3189,92,248742,1185,1391,1811,1629,428667,F
194186901,518,1,27972,1185,865,724,1658,429119,T
261112230,3057,64,287358,1185,5136,1449,1714,429299,F
841709439,659,26,46130,1185,1171,724,1462,429432,T
584621337,2948,44,106128,1185,843,1449,977,429196,F
267582416,3092,52,170060,1185,1804,1811,854,429455,F
337777858,2494,79,97266,1185,2504,1449,1002,429173,T
261452420,2910,88,110580,1185,984,1449,1512,428816,F
075861371,3133,48,269438,1185,1178,724,1522,429352,T
048434894,2673,64,136323,1185,1232,1086,1517,429330,T
047880992,3091,67,284372,1185,1726,1449,1716,429291,F
911982383,2459,63,231146,1185,1451,1086,1918,428566,T
808561715,725,10,61625,1185,2329,1811,838,429068,F
839722195,584,1,21024,1185,4713,1811,1647,429334,F
256698491,2536,28,202880,1185,3577,1449,1221,429142,T
212852717,2656,58,79680,1185,3928,1449,2099,429139,T
786968982,2966,92,231348,1185,1704,1811,952,429120,F
880542034,593,20,19569,1185,814,1811,1459,428748,F
503708643,572,3,53768,1185,1655,724,2079,428755,T
956650453,2470,71,54340,1185,2428,1449,1556,429000,T
921747458,3140,45,263760,1185,5136,1449,1166,429451,F
336958271,502,34,10542,1185,1206,724,805,429200,T
116022584,3083,67,77075,1185,1358,1449,1633,429259,F
788109141,3123,91,68706,1185,989,1811,699,428669,F
705197527,2979,70,193635,1185,1648,1086,1342,428612,T
095572144,2946,49,182652,1185,7284,362,1528,428870,T
342164629,3108,54,180264,1185,2189,1449,1675,429468,F
630689883,714,1,67830,1185,13355,1449,1042,428563,T
476367392,3071,46,288674,1185,14309,1449,1837,429457,F
902024539,680,1,39440,1185,2108,1086,1315,428735,T
955898809,514,16,20560,1185,908,1811,1878,429103,F
855327681,2633,53,81623,1185,4451,1086,2194,428975,T
632577315,500,1,43000,1185,7284,1811,1465,429105,F
249737958,2591,18,57002,1185,2967,1811,1557,428854,T
365466558,3045,71,216195,1185,1068,1811,800,429506,F
970055193,449,11,29634,1185,16026,1086,1413,428895,T
862373771,2948,89,294800,1185,1622,1811,1276,429057,F
884031221,2892,68,161952,1185,1400,1449,1275,428737,F
864121163,2669,35,104091,1185,1225,724,1962,428598,T
649064313,701,1,58884,1185,1456,362,811,429378,T
172828551,690,1,52440,1185,1267,1811,1758,428963,F
005029156,684,1,43092,1185,11447,1811,1677,428685,F
711595039,611,14,59878,1185,874,1086,1906,429456,T
418818039,621,1,36018,1185,4658,1449,1748,428860,T
167658617,3054,52,195456,1185,1206,1449,794,429422,F
105360813,2547,24,101880,1185,814,1449,1515,429398,T
684338105,518,1,31080,1185,2097,1811,2043,428965,F
920399673,3015,71,159795,1185,812,1811,1749,429036,F
140400238,2902,67,237964,1185,2315,724,2074,429145,T
