userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
787740870,1272,6,176808,1431,4899,440,5305,355864,T
823221533,4471,569,710889,1793,6957,1762,5158,355912,T
323733004,1395,29,298530,887,6821,1762,4956,355550,T
922847650,1231,25,112021,2502,31625,2203,6942,355827,T
937411308,4436,575,48796,2034,10541,2203,4493,355440,T
615374351,4428,540,1076004,714,4701,1322,9270,355949,T
385269848,1396,19,230340,1705,5270,440,7607,355807,T
828660535,1380,9,281520,856,4092,440,8866,356291,T
900688629,1330,15,228760,2467,11995,1322,9415,355790,T
501140237,1388,7,237348,1880,3998,440,4993,355551,T
291338488,1344,20,52416,2676,5041,2203,6639,355593,T
578269190,4532,577,321772,925,28990,2203,4733,356255,T
282906680,4471,558,192253,803,4045,2203,4728,355687,T
306579345,4414,557,1090258,1026,43485,881,7600,356170,T
904421796,1224,1,111384,1278,69576,440,6817,355389,T
381630029,1402,14,318254,887,6212,440,6946,356151,T
774309834,2781,27,595134,937,28990,881,6970,355570,F
094317087,4418,550,923362,838,6103,440,9457,356291,T
609905359,4431,577,1054578,1155,5896,2203,8869,355716,T
869806805,1299,1,127302,1187,5896,440,7037,355988,T
995140067,2888,35,303240,2973,7401,881,4658,356269,T
922167132,4542,553,567750,2805,6325,1762,4576,355456,T
725112700,1355,21,189700,3251,6690,1322,9357,355526,T
614383239,1226,9,215776,871,3513,1762,5004,356256,T
863241240,4503,542,706971,852,3908,1762,4618,355791,T
721735821,1252,16,199068,1251,11995,1762,9284,356044,T
106675815,4428,560,695196,1246,12884,2203,5126,356098,T
147575049,1330,25,273980,1840,28990,1322,4420,356158,T
726483249,2822,43,697034,991,16565,440,9275,355517,F
803611591,1392,15,115536,2899,3822,1322,7147,355457,T
472276281,4463,551,392744,1588,38653,440,4469,355777,T
448173822,4410,563,493920,1932,49697,1762,5159,355471,T
781778254,1391,24,254553,945,3822,1762,7458,355650,T
800970124,4387,574,451861,1183,8282,1762,9301,355548,T
202205344,4523,543,850324,780,4701,1322,7553,356330,T
384793368,4383,552,280512,1680,6212,1322,4857,355660,T
175110458,4519,574,537761,950,4969,440,6835,356351,T
518637398,1350,1,108000,4638,7401,1322,9250,356076,T
380329667,4418,543,830584,977,6103,881,4476,355457,T
488957601,4395,555,1028430,937,4460,1322,6987,355549,T
786484011,4394,564,1045772,1171,6957,1322,5041,355967,T
226170481,1378,10,141934,2083,26760,440,6654,355469,T
083810883,1291,1,296930,1425,7099,440,7025,355832,T
221407099,4455,558,788535,2717,16565,1762,5350,355800,T
782339540,4392,550,887184,1375,28990,2203,6963,355857,T
036040528,2820,21,211500,896,11995,440,9474,355418,F
895267383,1244,9,263728,3377,4638,1322,7380,356192,T
510051553,1316,29,180292,809,4765,1762,6692,356189,T
387349988,1378,21,163982,950,4141,440,6699,356181,T
773576339,2733,36,576663,2539,5435,440,9061,355685,T
964077821,1231,5,263434,1425,6325,2203,4987,355951,T
280676396,4365,577,248805,1437,15812,1762,7133,355378,T
144485959,4451,571,574179,4701,4577,1762,9406,355787,T
605297378,4535,574,507920,4045,8090,2203,5305,356335,T
463982092,2880,27,144000,1705,15125,440,4587,355934,T
025347398,1260,24,268380,894,5798,2203,5394,356195,T
524347858,2839,26,689877,2160,4969,1762,9205,356109,T
738445395,4519,560,858610,1100,5702,440,8949,356126,T
072725017,4437,554,244035,2851,6957,881,9754,355592,T
688288441,1283,29,211695,757,8484,2203,6679,356354,T
965025206,4423,539,1008444,991,26760,881,8919,355838,T
793569281,4415,547,1033110,801,5798,440,8887,356013,T
636127702,2747,39,667521,3191,7099,1762,9457,356189,T
606054515,4444,549,413292,1664,4191,881,9646,355643,T
991442076,1379,1,248220,4831,5041,440,4868,355606,T
656785835,1218,13,81606,1093,5798,440,7471,355385,T
691443818,4482,544,439236,1023,4191,440,6776,355610,T
789490299,4383,551,1012473,757,7906,1762,4629,355493,T
276910403,1307,22,118937,2717,17394,2203,7549,355893,T
791294528,2862,16,518022,1011,3478,440,9606,355599,F
586423872,2835,27,257985,1070,7247,440,9502,356155,F
749303168,1367,1,82020,1023,23192,2203,4851,356257,T
507328325,4504,551,671096,3740,8920,1322,9732,355462,T
372944026,4490,560,287360,2258,20463,2203,6577,355895,T
350251456,1380,1,320160,1870,23192,440,9098,356088,T
513884869,1231,23,55395,1840,3822,2203,9341,355514,T
150723697,1367,6,75185,1322,11596,440,4360,356034,T
683099412,4513,542,699515,723,3478,881,6778,355750,T
283711435,4442,543,44420,1802,9402,1762,4816,355989,T
