userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
622462644,1363,7,57246,807,712,1322,6872,355595,T
211474358,2885,58,288500,807,2350,440,9342,355861,F
432495080,4580,552,174040,807,2520,881,6872,355771,T
052069231,2797,65,274106,807,20463,440,9089,355524,F
198317338,1222,7,39104,807,4701,1762,9759,355672,T
864556689,2961,59,153972,807,31625,440,4583,355562,F
235462776,4575,571,146400,807,1688,2203,9019,355814,T
312684942,2856,64,117096,807,9939,440,9066,355724,F
940289916,1411,15,108647,807,1640,1762,6777,356183,T
328472189,2773,7,155288,807,69576,440,9432,355806,F
365615097,4375,571,140000,807,814,1762,4480,355792,T
809495560,2707,66,62261,807,23192,440,7098,355628,F
367281402,1311,9,100947,807,830,881,4389,355710,T
926055132,2956,10,91636,807,18309,440,8774,356222,F
919933901,4479,574,291135,807,766,1762,7431,355436,T
478125561,2738,27,251896,807,9939,440,7041,356372,F
862808072,1233,50,59184,807,3623,2203,9702,355801,T
138882167,2938,74,287924,807,9402,440,9541,356265,F
837702492,1458,30,42282,807,1860,881,5362,355606,T
845469898,2858,28,280084,807,850,440,9267,355386,F
056358589,1398,1,99258,807,1216,881,4932,355769,T
186904610,2718,55,255492,807,31625,440,5174,355683,F
358617751,4529,599,258153,807,11596,440,4463,355796,T
907633152,2900,56,176900,807,9663,440,6953,355671,F
766053858,1396,55,67008,807,1900,1322,9591,355792,T
449797843,2969,71,296900,807,5192,440,9357,355505,F
087692078,4434,585,390192,807,988,2203,9185,355774,T
149706069,2786,52,105868,807,17394,440,4541,356294,F
386879068,1442,13,66332,807,21742,1762,4464,356058,T
028613819,2852,54,171120,807,12424,440,5383,355785,F
029418280,4646,574,102212,807,996,440,7352,356352,T
399834658,2982,59,205758,807,9939,440,9776,355696,F
345999564,4461,539,240894,807,9663,881,9301,355412,T
554637065,2830,34,155650,807,24848,440,9224,356170,F
467054068,1275,1,123675,807,10231,2203,6694,355411,T
442084351,2715,39,217200,807,11995,440,9533,355833,F
492502169,1462,25,61404,807,20463,1322,7607,355731,T
653005885,2697,58,221154,807,19326,440,4723,355456,F
957602305,1371,1,41130,807,2596,881,4543,355698,T
561920289,2854,30,265422,807,8282,440,4857,356269,F
742747336,1354,17,50098,807,878,2203,4790,355815,T
536839041,2872,38,278584,807,1419,440,4652,356218,F
598835518,1212,1,43632,807,805,1762,9339,355875,T
472500349,2894,58,277824,807,3078,440,7018,355607,F
623553161,1324,43,75468,807,3661,440,7171,355415,T
710609231,2794,29,259842,807,16565,440,4703,355443,F
193837188,4628,572,337844,807,717,1762,6917,355890,T
965361484,2733,43,273300,807,10871,440,8840,355641,F
411755910,4657,572,405159,807,23192,1322,8765,355767,T
017438489,2906,55,122052,807,11221,440,5084,355662,F
795551041,4488,575,89760,807,1067,2203,9198,355837,T
042719916,2962,34,257694,807,57980,440,7251,355634,F
706682676,1431,23,52947,807,1688,2203,5030,355963,T
795669203,2961,43,296100,807,1880,440,7481,355439,F
589624153,1348,1,124016,807,10231,2203,9707,355439,T
584677484,2963,56,162965,807,11995,440,9777,355521,F
959099420,1452,22,31944,807,966,1762,7592,355741,T
146132794,2910,62,235710,807,43485,440,8918,355804,F
389349924,4591,542,105593,807,1288,1322,4625,355843,T
998982636,2748,47,101676,807,38653,440,4833,355802,F
410984041,1300,35,45500,807,1148,1762,4646,356287,T
119468021,2811,54,230502,807,21742,440,4932,356148,F
882300270,4431,571,225981,807,752,1322,4898,355620,T
667087801,2865,73,57300,807,26760,440,4765,356360,F
925665714,4509,593,365229,807,57980,1322,9521,355738,T
493826575,2818,63,177534,807,9939,440,4769,355744,F
946810081,4468,568,263612,807,9939,1762,6861,356192,T
381359716,2816,67,278784,807,3700,440,7212,356041,F
651619120,1301,8,26020,807,882,1322,7030,355843,T
940087589,2921,39,292100,807,1317,440,4392,355848,F
220621301,1443,49,116883,807,826,440,6642,356076,T
190920752,2841,39,144891,807,20463,440,8973,356260,F
536399066,4527,548,167499,807,810,881,7258,356228,T
286328268,2958,59,112404,807,18309,440,5140,355932,F
162967204,4547,570,450153,807,5610,1322,9297,356124,T
237622950,2953,46,188992,807,38653,440,4701,356145,F
560204204,4640,575,134560,807,2676,2203,5032,356240,T
310343367,2801,48,131647,807,69576,440,6929,355948,F
481150483,1338,1,100350,807,1026,1322,9610,355659,T
