userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
018960467,2997,12,242757,488,498,1302,3621,211878,F
273707389,4451,196,173589,488,570,1736,4202,211610,T
729685896,3144,23,238944,488,996,1736,3566,211352,F
563234968,144,14,6768,488,3358,2170,2696,211592,T
085330927,4342,203,130260,488,501,2170,3681,211279,T
640276249,3091,31,207097,488,2449,2170,3498,211836,F
061779040,190,38,9880,488,893,1302,3960,211084,T
871819189,3124,19,284284,488,1090,1736,3516,211221,F
499088264,4541,223,168017,488,746,1302,1824,211778,T
099016031,3074,1,267438,488,917,1736,4471,211786,F
345396934,4555,236,391730,488,471,434,3471,211771,T
181937949,3185,6,264355,488,499,1302,3441,211133,F
928860980,8,1,160,488,2288,1302,2265,210976,T
412429445,3238,46,184566,488,564,2170,4376,211811,F
695329946,4586,214,188026,488,2739,2170,2697,210916,T
085180823,3150,1,148050,488,593,1736,3525,211876,F
305013828,196,35,6468,488,4626,868,2599,211342,T
846765838,3231,36,252018,488,886,1736,3561,211424,F
199855361,4428,213,137268,488,982,434,4075,211526,T
606775520,2974,24,276582,488,2704,1736,3255,211738,F
874453628,4542,248,417864,488,2002,868,2129,211466,T
578656585,3044,46,258740,488,438,2170,3582,211861,F
946557574,4338,231,182196,488,1720,1302,2611,211645,T
572668940,3254,13,279844,488,629,1736,3698,211074,F
574374369,1,11,51,488,1095,1302,3594,211307,T
682114873,3137,30,97247,488,1254,2170,3496,211633,F
969196324,198,1,8712,488,455,868,2727,211218,T
795159744,3226,3,200012,488,982,1302,4373,210938,F
004468761,16,1,1424,488,836,2170,3601,210998,T
307138427,2987,8,289739,488,542,1302,3703,211509,F
303723869,3097,4,266342,488,499,2170,2844,211867,F
799814078,59,1,3599,488,803,1736,2902,211564,T
701483577,4581,210,155754,488,488,1736,4268,211267,T
413533552,2978,15,247174,488,472,1736,2957,211619,F
362541033,4442,203,386454,488,471,434,3234,211453,T
865393322,3048,4,268224,488,2082,1302,3371,211226,F
529925064,4333,234,303310,488,471,868,2827,211055,T
203741037,3263,31,326300,488,559,2170,3684,211849,F
097727861,129,50,12900,488,3253,2170,2923,211058,T
360597995,3076,47,92280,488,660,2170,3786,211461,F
261525345,204,1,13872,488,1176,1736,3546,211826,T
902300861,3242,27,155616,488,463,2170,4011,211846,F
776611985,4374,213,144342,488,423,868,2688,211716,T
091357754,3017,7,93527,488,460,2170,3244,211250,F
988137461,224,13,7616,488,730,868,2382,211623,T
882974471,3123,27,196749,488,499,1302,3942,211583,F
738138117,4587,226,233937,488,682,2170,2689,211790,T
192568985,3171,35,285390,488,5783,1302,4104,211633,F
767934201,4391,195,329325,488,449,434,3549,211115,T
017562684,3186,17,140184,488,646,2170,4176,211299,F
765257528,172,1,6192,488,1749,434,2826,211093,T
320838056,3207,30,243732,488,612,1736,3474,211390,F
919386512,3243,12,252954,488,488,2170,4148,211451,F
648761277,92,1,3588,488,1030,1736,2595,211705,T
058975588,4438,185,248528,488,832,2170,2447,211611,T
965892156,3165,21,94950,488,608,2170,4063,211709,F
723856179,4410,239,414540,488,1084,868,4100,211542,T
487809905,3197,44,310109,488,5205,1302,3798,211855,F
280085115,20,37,860,488,572,1736,2916,211191,T
206433898,3148,1,94440,488,867,1736,3567,210990,F
153498026,150,8,7200,488,996,1302,4020,211766,T
511588165,3071,1,73704,488,428,1736,3074,211003,F
117940115,4458,211,222900,488,652,1302,4086,210980,T
315245872,3126,33,196938,488,762,2170,3988,211544,F
609114296,255,1,8925,488,500,1736,2135,211313,T
884873864,3267,10,101277,488,429,1736,3406,211077,F
539519230,130,42,9620,488,498,868,3276,211739,T
767951154,3263,42,247988,488,5338,1302,4443,211100,F
389947323,138,25,3312,488,2478,434,2464,211371,T
104449019,3129,16,156450,488,2570,1302,4078,211134,F
050507817,4341,187,429759,488,575,434,2889,211066,T
600101897,3065,1,119535,488,16016,2170,3452,211281,F
317331207,4483,208,430368,488,579,868,4195,210898,T
352408682,3211,49,256880,488,601,2170,4190,211030,F
638074973,4371,231,279744,488,959,434,4341,211532,T
339935496,2985,1,280590,488,722,868,4370,211510,F
244204594,4401,217,198045,488,689,434,3569,211569,T
448491030,3266,54,303738,488,1665,1736,3942,211272,F
064948261,60,20,4500,488,1665,1736,2050,211177,T
785748584,3060,22,244800,488,432,2170,3660,211774,F
497198917,4621,221,443616,488,1476,1302,3423,211240,T
650801635,3138,29,301248,488,658,1302,3573,211434,F
786499499,4609,228,235059,488,654,434,3438,210944,T
423638189,2971,18,130724,488,29744,2170,2644,210930,F
551331068,242,41,18634,488,1189,868,3486,211119,T
497044869,3241,37,74543,488,421,1736,4008,211504,F
087494373,18,27,1332,488,431,1302,3719,211711,T
091445810,3227,16,164577,488,5627,2170,4070,211845,F
800718956,258,13,15738,488,1589,868,2587,211031,T
224352396,3080,1,289520,488,428,2170,4249,211694,F
296241478,4389,243,158004,488,708,2170,2426,211281,T
092390474,2988,31,131472,488,6506,1302,3530,210970,F
514812643,4562,195,378646,488,762,1302,2835,211591,T
451293664,3043,17,267784,488,517,2170,2913,210911,F
997460367,218,46,11554,488,822,2170,1710,211439,T
814718931,2992,55,239360,488,1210,1736,4370,211884,F
704523663,4606,211,165816,488,1169,434,3359,211561,T
668378443,3120,15,84240,488,1565,1736,3570,211454,F
715944614,14,15,840,488,465,1736,1928,211793,T
388124154,3076,20,107660,488,1706,2170,3920,211122,F
