userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
270795642,1596,11,31920,2314,7234,2032,2042,387267,T
850707603,2508,1,230736,4133,4568,1524,2132,387304,T
844379871,3376,34,307216,1529,6808,2541,2551,387376,T
097181970,3334,35,196706,2691,6200,2541,2551,386676,T
083104309,3213,41,501228,1149,4183,2541,2551,386634,T
710037956,2451,39,311277,1600,3901,2032,2504,386836,T
019402642,2437,16,558073,1325,31566,1524,2440,386859,F
059385015,2468,16,402284,717,26710,2032,2297,386601,F
368634187,2349,27,28188,2143,3579,2032,2320,386649,T
874959845,3274,23,180070,1214,4085,2541,2551,386715,T
997315053,2511,21,80352,4183,4234,2032,2909,387544,T
818254342,1520,43,221920,892,5425,2032,2042,386816,F
487990962,2358,26,497538,4756,4133,2541,2551,387102,T
351148883,3228,17,100068,830,4133,508,2423,387502,T
100606257,2455,32,508185,3437,9645,2032,2042,386738,T
944405419,3220,53,573160,2755,49605,1016,1949,386982,T
886037127,1520,46,44080,1000,4960,2541,2551,387433,F
148805604,2526,30,553194,946,3858,1524,2951,387217,F
173874946,3363,24,507813,1235,4340,1016,1987,386803,T
443954999,2408,34,484008,2823,4286,1524,1680,387370,T
845845843,2416,29,362400,1423,7548,2541,2551,387103,T
397188157,1941,1,411492,1536,10851,1016,2319,387069,T
008679098,2528,16,133984,4037,20425,2032,2042,387117,T
018842070,1593,13,122661,959,6200,1016,2203,387171,F
357144854,1576,13,149720,2030,5261,1016,1623,387404,T
492260444,1607,31,273190,2170,4822,1016,1902,386861,T
543359807,3279,16,229530,3275,11973,1016,2233,387278,T
063573681,3239,27,35629,1061,4692,1016,3003,387169,T
502248309,2391,27,66948,1015,5986,2541,2551,387154,F
930573257,1516,32,313812,1310,12860,2541,2759,386910,T
199866417,3212,40,86724,805,9137,2032,2042,387147,T
051503604,3381,23,267099,1600,4183,2032,2133,387557,T
013329822,3402,42,836892,992,15783,2541,2848,387498,T
119639691,2508,34,481536,2869,8267,2541,2628,386959,T
210876520,2336,4,345728,1702,5885,2541,2551,387310,T
005377479,1676,10,331848,1262,3815,2032,2042,387283,T
901688544,3261,49,143484,1351,11574,1016,1927,386584,T
865671050,1669,36,211963,1630,15097,2541,2551,387473,T
668501681,3352,50,475984,1669,4509,2032,2042,386590,T
585352052,1503,10,297594,1446,4692,1524,1723,387072,T
329216669,3344,20,364496,3215,20425,1016,1886,386838,T
712353243,1923,12,159609,783,4890,508,1688,386701,T
441490259,3374,21,624190,813,4183,1524,1999,387206,T
615025712,3289,23,131560,817,3815,2541,2551,387432,T
390389695,3220,28,750260,3215,19290,2541,2551,386937,T
854645832,3309,47,340827,1615,4037,1016,1961,387243,T
642128042,2415,31,140070,1585,4133,2032,2691,386657,T
305815658,1633,15,351095,782,3815,2541,2680,387216,F
889007752,1652,46,356832,2197,7234,1016,2068,386768,T
090894087,2475,1,546975,4629,6677,2032,2835,387458,T
708574718,3277,20,180235,1045,7086,508,2379,387308,T
696790115,3266,43,78384,1780,3693,1016,1997,387112,T
763925811,2522,24,630500,761,3579,2541,2551,386928,F
698943486,1560,42,82680,2130,5787,2541,2551,387244,T
249846262,2438,8,377890,1335,4340,2032,2439,387340,T
616651869,3390,42,152550,1388,4822,1524,2969,387209,T
951631306,1647,32,88938,1529,28936,2032,2082,387466,T
187340388,1622,13,32440,980,5182,2541,2551,386898,F
415520306,2372,24,389008,3774,10522,2032,2211,387312,T
433531414,1904,12,268464,4890,11201,508,1960,386990,T
220907464,3358,44,493626,916,5986,1016,2920,387378,T
545638079,3349,47,458813,2117,9645,1524,2633,387285,T
797755462,1590,35,103350,3185,8267,1524,2173,387275,T
208878190,3231,48,210015,1058,4692,1016,2645,386819,T
432000138,2457,6,218673,1876,6808,2541,2551,387388,T
454077153,2391,29,318003,1897,5106,2541,2551,386817,T
579158488,3343,32,651885,1543,6430,1524,2962,386613,T
511130750,1642,34,32840,1939,6677,1016,2027,387340,T
301057429,1521,45,115596,1138,4568,2032,2042,387237,T
632549151,1889,9,324908,1123,3733,508,2610,386858,T
693028529,3214,35,649228,2516,3655,1524,1556,387069,T
539403414,3289,26,572286,2007,23149,1524,1816,386847,T
971000181,2529,32,85986,1995,5425,2032,2582,386809,T
041103472,1610,25,264040,763,10212,1524,2956,386836,F
515175372,3314,40,739022,711,3858,2032,2042,386645,T
206834208,3344,50,578512,1131,7548,1524,2650,387035,T
614251239,1543,23,299342,836,9137,1524,1688,387486,F
467914542,1661,32,391996,938,5106,1016,2320,387304,F
105368453,3299,39,758770,853,9384,2541,2551,387271,T
299970209,1532,15,49024,1452,7234,1524,1687,387233,T
439686645,1656,39,36432,1315,7716,1016,2263,387159,T
006550816,1498,43,308588,859,5885,1524,1534,386980,F
552217607,3331,38,106592,773,19290,1524,1534,386592,T
007852366,2008,17,497984,1018,6551,508,1419,386961,T
223327531,2407,30,416411,2553,3507,1016,1540,387535,T
405058168,1906,13,259216,790,4629,508,2970,386663,T
062204709,1677,23,350493,876,6944,2541,2551,386955,F
395757099,2441,2,278274,830,8267,1016,2737,387082,F
244539495,1661,29,109626,1276,4629,1524,1986,387231,T
390502095,1970,4,191090,783,9921,1016,1786,386714,T
830246536,1662,46,262596,732,3945,2541,2651,387269,F
265999504,3288,33,345240,2007,6091,1016,2054,386894,T
562198008,2463,19,270930,2777,8469,1524,2303,386872,T
137656851,1961,1,323565,3815,15097,1016,2172,386891,T
318569570,3354,38,164346,3733,4960,2541,2551,387321,T
235665829,3357,26,43641,2917,3472,2541,2551,386907,T
842514637,3244,42,703948,1235,6313,2032,2042,386904,T
881398630,2473,15,546533,1226,16535,2032,2132,386933,F
280894937,1654,22,105856,923,3858,508,2343,386979,F
576392783,3388,39,88088,1235,4133,1524,2478,387361,T
587432468,1498,48,22470,1529,11201,2541,2551,386568,T
585340356,1573,31,270556,1189,14468,2541,2551,387223,T
588187692,3273,24,706968,714,3945,1016,2637,386769,T
832196465,3394,43,349582,1744,4037,2032,2042,386826,T
737833042,3331,17,516305,2104,26710,1524,2048,386812,T
975483829,2430,21,571050,1142,11201,1524,2067,386605,F
812830455,1586,42,172874,1388,9921,1016,1690,387153,T
119983094,3369,28,306579,908,5425,1016,2058,386822,T
954797672,1566,18,325728,787,6313,1524,2249,387187,F
850443148,3313,52,188841,1995,4085,508,2184,386612,T
169920145,3361,19,141162,836,4395,1524,2303,386673,T
795399482,3220,37,763140,1042,6313,2032,2042,387093,T
904787314,1654,15,46312,851,5342,1524,2890,387531,F
785920380,1548,37,105264,2428,5032,2541,2551,386997,T
886890670,2036,1,331868,2650,9384,1016,2471,387242,T
485826492,3236,37,346252,2211,6677,508,2735,386945,T
431259545,2341,1,280920,913,10851,1016,2000,387003,F
137841822,3367,50,525252,953,18275,508,2726,386949,T
155964591,2380,17,409360,1021,17361,2541,2610,387286,F
555013612,2482,19,526184,1423,8075,2541,2882,386672,T
926757378,1633,37,120842,2671,21702,2032,2042,387460,T
633409874,1883,4,259854,3338,3655,508,1254,387281,T
028963248,1600,21,318400,771,8267,2541,2551,387491,F
575638199,2435,26,572225,2394,11201,2032,2774,387534,T
316259340,2445,39,80685,1145,5032,2032,2097,387322,F
930214989,2478,32,123900,1950,3774,2032,2439,387483,T
091407509,1501,23,132088,1615,5600,1016,1952,387321,T
009891101,2429,38,233184,807,3579,1524,2294,387054,F
793688590,3389,21,138949,1222,7387,2032,2042,386714,T
839503897,2501,12,287615,1027,15783,1016,2493,387325,F
452015063,1584,21,345312,705,3815,1524,1662,387268,F
363952971,1537,9,268975,782,3991,1524,2458,386727,F
397910651,1511,15,64973,1483,15783,1524,1534,387428,T
776157535,3269,52,284403,1116,43404,508,1166,386617,T
092188244,2343,3,304590,798,3507,2032,2348,387286,F
966146319,3345,26,170595,1157,69447,1016,1891,387396,T
786047042,1581,32,107508,3185,4234,1016,1454,387060,T
020050131,1599,47,187083,908,3815,2032,2294,387511,F
009346150,1491,30,96915,3245,5261,508,2835,386836,T
256120860,2354,20,419012,789,9384,2541,2551,386876,F
794359124,2492,23,588112,1231,6551,1016,2142,387209,F
890888052,1564,48,367540,951,9384,2541,2934,386637,F
655714040,1484,17,268604,801,5342,2541,2551,387482,F
849893088,2405,33,591630,1400,9384,1524,2959,386725,T
610202175,2361,1,413175,1428,19290,1016,1797,386949,T
763298582,3244,16,256276,1685,5511,1524,1534,386730,T
566584868,1933,5,170104,1411,5692,508,2484,387409,T
154945511,3318,25,238896,813,21702,1524,1598,387322,T
755375942,2443,31,261401,1153,7234,1524,1534,386823,F
308006121,1509,27,18108,4133,17361,1016,1026,386938,T
999910014,1564,19,264316,1271,13355,2541,2551,387150,T
