userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
262208876,3247,37,68187,761,2156,1016,1669,387022,T
046418492,1702,40,76590,761,729,1524,1773,387546,F
059955042,2507,48,67689,761,1235,2541,2900,387335,F
674939802,3276,41,124488,761,1116,508,1547,386810,T
599647283,3428,53,239960,761,4037,508,1991,386937,T
769231062,1645,65,93765,761,775,1524,2683,387038,F
374088262,1617,72,50127,761,3858,1016,2395,386602,F
762042754,3360,15,312480,761,1837,508,1941,387456,T
173065223,2369,20,189520,761,2091,1016,1209,387450,F
828206778,3412,63,163776,761,17361,508,2447,386799,T
366212559,3356,81,302040,761,2254,2541,1984,387463,T
695976056,2343,4,82005,761,951,2032,1875,386578,F
032001352,2423,7,50883,761,3655,2541,1778,387506,F
034228141,3397,72,200423,761,5425,1016,2477,386981,T
155155495,3394,82,156124,761,1127,2541,2316,386705,T
294426504,2393,62,78969,761,1330,1524,2335,386968,F
339280134,3450,14,186300,761,3991,1016,2366,386927,T
743723797,1566,64,123714,761,883,1524,2255,387263,F
089883913,1532,39,151668,761,1127,1524,2045,387387,F
524432299,3210,37,166920,761,959,2032,1948,387299,T
195348712,1731,50,122901,761,1400,1016,2471,386929,F
398222909,3276,53,216216,761,1165,1016,2671,387457,T
324412964,2413,18,207518,761,840,1524,1871,386570,F
800838542,3351,33,100530,761,753,2032,2430,386942,T
435990407,2494,14,92278,761,1428,2541,2146,387072,F
337472111,3318,26,245532,761,956,1016,1664,387346,T
349204869,2431,40,201773,761,1235,2032,2161,387321,F
456121435,3427,51,85675,761,21702,1524,2133,386931,T
338752431,1596,20,81396,761,2712,2541,1813,387494,F
830578299,3378,64,152010,761,1509,2541,3018,387531,T
942638235,1613,19,122588,761,718,508,3000,387477,F
515778142,3214,63,196054,761,1153,1524,2025,387133,T
701413055,2461,61,184575,761,1030,1524,3009,387487,F
109745135,3253,74,65060,761,720,2541,1458,387283,T
413575331,3432,77,336336,761,7387,1016,2087,387328,T
455198663,1699,45,81552,761,1817,1016,2698,387363,F
386514356,2455,5,49100,761,715,2032,2190,386634,F
001047398,3333,45,193314,761,1157,2541,1298,387362,T
104909087,3308,63,241484,761,1496,2032,1258,386655,T
663515339,1741,10,127093,761,3901,2541,1765,387520,F
708118120,3435,75,233580,761,800,2032,2160,386619,T
964740699,1738,59,97328,761,8469,2032,2372,386957,F
368163010,3425,20,339075,761,69447,2541,1686,387088,T
032318839,2361,8,110967,761,1710,1524,2038,386818,F
660591746,1514,39,149886,761,888,1524,2710,387174,F
030527774,3301,40,316896,761,695,2541,2048,387262,T
523856805,3441,35,120435,761,1197,2032,2230,386632,T
381105908,1774,71,79830,761,1052,1524,1367,387180,F
063403855,3424,14,89024,761,801,2032,1525,386758,T
076686539,2569,10,182399,761,1018,1016,1255,387495,F
757032184,3235,66,249095,761,1030,1016,2338,387278,T
822158761,2392,21,71760,761,6430,1016,2647,386690,F
721147755,3227,21,296884,761,2712,2032,1771,386762,T
487971587,2407,69,175711,761,956,2541,2988,387468,F
205994585,1741,20,76604,761,741,2541,2261,387008,F
