userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
524293673,4559,127,510608,439,2171,439,4218,73336,T
280807524,252,1,21672,210,2986,1318,2871,72888,T
160669691,179,1,32578,162,2047,439,3242,73371,T
413590089,4445,99,400050,863,1706,879,4029,72665,T
795470343,4500,98,909000,462,2239,879,4822,73578,T
425300582,178,4,43610,198,1279,2198,5826,72778,T
169492544,176,1,41008,200,738,1758,4491,73448,T
468535511,185,4,6660,163,823,1318,5487,73469,T
025140173,1643,86,231663,778,1747,879,4924,73174,T
111478103,4532,96,126896,395,1352,879,3427,72740,T
279017754,228,1,18924,564,805,439,2923,73585,T
920464598,1643,70,27931,222,2559,439,4297,73430,T
499655606,4521,98,180840,159,863,2198,4443,73163,T
136422654,2579,23,544169,634,873,2198,5371,72724,F
388376636,131,1,7205,577,2171,1318,3915,72703,T
372616534,4520,111,967280,207,746,1758,5595,73382,T
586000047,4488,110,1122000,315,3981,439,5390,72852,T
339546622,257,9,47288,285,3981,1758,5433,73137,T
987264099,4387,108,293929,523,746,2198,4557,73301,T
825486327,2734,54,555002,165,1102,2198,3587,73081,F
313994541,1564,83,276828,232,1462,1318,2868,73039,T
280475301,4484,120,663632,238,1053,879,6097,73389,T
213973315,2619,27,377136,260,907,879,4886,72652,T
227752469,4438,121,1100624,231,3115,1758,3961,73198,T
928845153,1809,12,414261,2288,9005,744,3686,425934,F
089190406,158,8,4740,191,1592,879,2754,72638,T
790380150,280,10,41160,277,1706,439,5228,73041,T
980124625,4396,118,131880,245,2388,439,4665,73126,T
177367262,289,18,25721,645,884,439,2748,73478,T
183062616,1691,62,54112,321,1257,879,4052,73076,T
675149194,4540,117,939780,228,863,1318,4449,72770,T
547918314,267,12,50196,354,814,439,4039,73190,T
363380206,4578,129,384552,227,716,2198,4632,73344,T
758376737,1646,88,325908,805,981,1758,3921,73406,T
899668177,271,1,46612,156,723,439,3541,73502,T
970286963,2588,31,67288,150,11944,1318,3308,73368,F
716441611,2712,32,273912,738,3412,1318,3924,72864,F
482430616,2671,20,488793,165,5512,879,5226,72688,T
086671026,146,1,14892,918,930,879,2608,72984,T
261852458,201,1,12462,256,796,2198,3468,73303,T
837233369,1665,75,84915,695,843,879,3978,72792,T
118483758,263,1,41291,294,4215,439,4168,73108,T
476134269,4492,97,696260,787,716,1318,2607,73348,T
449366300,2634,35,431976,770,918,439,3559,73288,T
308441038,4503,127,472815,411,814,1758,5660,73331,T
514892361,4432,103,257056,163,1557,439,2805,73454,T
935199961,1517,88,333740,267,1524,2198,3131,73146,T
296784758,1658,95,92848,180,1592,439,2725,72745,T
485203243,4559,111,1016657,204,5972,879,4435,73384,T
584388692,128,1,19712,173,3412,1758,3146,72846,T
209332228,2629,43,236610,173,805,2198,3231,73523,F
934093592,279,11,6696,173,3771,879,5250,72655,T
645490137,4416,109,454848,336,3257,1318,4552,73502,T
662718444,4487,109,264733,229,6514,879,3990,72848,T
236907431,166,12,35690,442,746,879,5832,73171,T
350832609,1594,98,121144,426,1174,439,3559,72939,T
880322116,236,18,27848,212,754,439,3509,72602,T
784445975,1696,70,374816,164,1069,2198,3161,73519,T
074750629,132,7,22440,354,1936,879,3963,72610,T
873760940,1576,65,302592,206,3771,439,4124,73056,T
345091051,4472,116,831792,185,1791,1758,3350,73100,T
364517996,2617,18,374231,217,716,879,2819,73458,T
686717664,112,1,11200,676,814,1318,5266,72672,T
185320038,269,8,18830,402,2866,1758,2779,73134,T
120583573,2618,43,358666,995,930,1318,4205,73172,F
537007930,3123,55,465327,778,14332,1318,3279,72698,F
070790547,197,1,45113,234,884,1318,4076,73461,T
955332773,242,22,28072,150,770,1318,5365,73036,T
941713536,1654,77,16540,371,884,439,3213,73272,T
858534166,4551,130,618936,150,2986,1318,2824,73315,T
608146900,268,10,27336,381,853,1758,3379,72734,T
604121057,1568,83,164640,303,5118,439,3282,73325,T
381145045,4577,118,956593,302,930,2198,5336,72785,T
535822813,4515,126,1110690,174,10237,879,2936,73583,T
317005470,4516,99,668368,146,805,439,4621,72745,T
952492093,4500,104,841500,336,716,1758,3266,73441,T
272745480,1584,96,337392,191,5512,2198,3343,73292,T
079271742,2605,23,619990,244,981,879,3262,73332,T
405383821,1582,66,143962,287,1174,1758,2842,72819,T
077732699,1589,83,276486,534,1378,879,4544,73448,T
750540125,2580,20,229620,930,955,1318,4192,72792,F
421536214,2688,21,438144,634,1257,2198,3516,73362,F
695643899,191,8,10505,542,746,439,5979,73168,T
646534219,4569,127,694488,228,787,2198,5316,73134,T
630193495,105,3,7245,194,4777,1318,4179,72597,T
871674323,2739,32,536844,274,1378,439,2793,72943,T
590652595,256,1,54016,689,4479,879,5358,73306,T
644177749,1578,74,304554,468,8958,1318,3584,73327,T
160674020,4563,117,953667,259,1837,1318,4683,73419,T
555581622,4550,129,386750,439,918,1318,3617,72587,T
678038974,2697,26,577158,318,805,2198,3394,73297,F
070959385,1670,76,414160,157,4479,2198,4511,72992,T
286217981,3166,40,215288,162,11944,2198,4554,73324,F
347240706,158,7,37920,187,5118,2198,4617,73521,T
034424057,238,1,11662,228,1038,879,2676,73118,T
239757640,2769,20,562107,450,723,1758,4696,72839,F
955740060,2627,35,65675,344,7962,1318,3485,73037,F
469847011,4470,98,1045980,143,778,879,6129,73207,T
356869075,4490,100,996780,365,1837,439,5416,73014,T
335222072,4426,111,1000276,221,1235,439,5832,73118,T
710226273,2604,47,460908,409,1990,879,4723,73098,T
788464857,246,1,4182,208,2171,439,5362,73276,T
550094686,2647,47,614104,184,738,439,3028,73027,T
563218187,2641,29,433124,148,968,1758,2904,72764,F
018607288,4467,95,933603,314,5512,2198,4134,72768,T
302773938,4422,121,879978,147,738,879,3078,73247,T
967799777,133,22,10507,480,805,1758,5620,73504,T
418472426,4551,114,200244,176,1137,879,4727,73246,T
113729747,269,16,51917,325,2388,1318,5246,72820,T
427792865,100,1,14900,173,1352,2198,5819,73169,T
871075474,4389,119,452067,186,787,1318,4788,72659,T
371702461,1550,90,285200,284,3257,879,4627,72674,T
725114619,4549,121,955290,286,968,879,5406,73266,T
891756201,4394,100,971074,344,2171,439,4833,72917,T
586421393,200,18,4400,843,7166,439,4408,72824,T
742516885,254,10,18034,200,1990,879,5672,73355,T
011099324,1587,83,172983,257,1155,1758,3035,72670,T
087479862,4556,105,437376,702,5972,1758,3937,73201,T
500406245,1541,71,329774,434,1053,879,3419,72592,T
144064791,2573,23,275311,235,3981,439,3076,73095,T
012604519,4518,133,1002996,278,981,2198,3216,73331,T
154091321,4482,95,546804,212,814,1318,5354,73183,T
190828604,4403,108,946645,164,1493,1318,4870,73180,T
768830240,102,18,21012,148,3583,1318,3550,72630,T
518612928,2743,34,452595,814,814,2198,3591,73353,F
871880965,1520,68,44080,255,2311,1758,2747,73321,T
962514154,4503,105,243162,294,2311,2198,2643,73309,T
662923307,4479,114,71664,166,762,1318,5791,72977,F
265172996,1639,82,136037,447,1666,439,5632,73196,T
052266381,1556,83,118256,319,1279,2198,3441,73498,T
637676416,2729,25,62767,167,968,1758,3305,72767,F
122144290,2659,28,396191,215,1302,1318,3296,73061,F
804058121,1526,75,67144,465,1628,439,4355,72907,T
328090069,4502,98,904902,391,1493,1758,3109,72763,T
607898253,4496,128,166352,208,6514,439,3129,72882,T
688493409,4568,126,561864,884,1069,2198,4120,73116,T
840065416,2718,17,103284,147,2866,1758,2883,72806,F
721909766,2649,53,113907,232,1378,879,4008,73398,T
235898676,1592,73,326360,183,1378,439,3348,73054,T
659730772,4470,126,147510,156,1747,2198,3994,72867,T
579932804,4392,100,1067256,173,873,879,5235,73027,T
863282661,2717,20,649363,296,1837,1318,2663,73185,F
432085534,2754,16,531522,162,2986,439,4648,72811,T
379440014,122,1,30012,602,833,1758,4602,73464,T
701886963,4427,103,57551,291,4215,879,4803,73179,T
579877293,1553,91,287305,587,968,1758,4066,73038,T
857538262,4500,97,67500,221,930,439,5280,73479,T
734920218,4540,129,671920,154,1628,879,3185,73433,T
207721182,2675,40,620600,185,955,1758,4310,72959,F
700669935,2586,41,222396,174,823,439,4473,73545,T
669741631,1531,76,367440,152,1257,439,5222,72776,T
945272200,4383,102,911664,176,2654,1318,4732,73584,T
142162216,1627,88,382345,462,738,1318,2604,73042,T
982042688,1690,69,228150,373,6514,2198,2710,72734,T
278214788,270,4,9450,149,1102,439,2745,72716,T
977854894,4431,111,748839,426,1524,1318,5281,73371,T
794621837,1506,89,25602,155,918,439,2997,73581,T
463601673,90,1,1440,147,2756,2198,5843,73112,T
769931063,2618,43,397936,318,1119,879,5930,73304,T
443658092,1655,89,412095,254,3257,439,4650,72953,T
790996638,2737,50,366758,617,770,1758,4023,73285,F
466070607,219,5,43143,231,873,1758,4753,72626,T
236255299,1600,62,16000,150,1069,879,4264,72801,T
565699214,254,1,57658,319,843,1318,5838,73047,T
606820716,227,1,31326,143,2471,1318,3594,73248,T
225966679,2677,24,380134,199,2654,1318,3156,73101,F
184184445,259,1,56462,153,1214,879,5339,73146,T
796437597,2730,51,521430,504,2239,439,5747,73290,T
596217501,4553,124,933365,197,1194,439,4015,73371,T
323702678,4527,118,1086480,497,2388,439,6150,73216,T
693397480,2676,27,561960,205,3257,879,3341,72993,T
065647467,4479,112,179160,259,4479,879,6111,73350,T
345378576,234,1,50310,239,2986,2198,4630,73527,T
513707734,221,1,48841,573,895,439,4930,73072,T
385959768,4579,105,998222,267,5118,1318,6226,73311,T
205003445,2667,45,501396,172,884,439,3300,72609,T
280584910,241,1,56153,170,7962,879,5491,72664,T
198561369,225,1,33750,153,2311,2198,4638,73089,T
734434097,2749,32,478326,160,1174,439,3635,72745,T
390777375,104,1,10608,217,863,879,3543,73458,T
793161589,2709,25,143577,208,723,439,3581,73418,T
781027031,164,12,7380,221,955,1758,5578,73302,T
566944532,4459,114,298753,166,1069,439,4413,72807,T
859948983,4504,99,1103480,623,968,879,3518,72807,T
515281672,104,3,11960,219,4479,1758,3204,72730,T
055319117,202,10,39592,156,1119,439,3171,72686,T
566079344,101,1,15958,746,796,1758,2870,73208,T
434843693,1618,79,226520,439,4777,1758,2714,73230,T
982917711,1562,86,331144,204,833,2198,3049,73473,T
884545237,4480,112,931840,193,805,1758,5940,73081,T
495654375,2621,18,243753,379,754,1318,4953,73111,F
078925165,263,1,5260,155,2471,879,3251,73173,T
015063869,2717,17,315172,377,2654,1758,4656,73387,F
731328338,2711,18,103018,245,1155,439,5533,73012,T
711219132,2675,16,34775,314,1327,1318,4631,73166,F
847418443,2771,19,689979,212,853,2198,2833,73392,F
165281739,1588,73,328716,168,5972,1758,5759,72751,T
503706678,2657,16,387922,387,2311,879,5319,73353,T
588837832,2662,18,77198,311,1102,439,5736,73322,T
017664128,1674,80,200880,995,1194,439,4234,73173,T
818767483,2759,38,303490,474,3981,2198,5266,72963,F
316869883,4551,130,664446,796,955,1318,5626,73512,T
312236413,144,1,28368,159,942,2198,3209,73201,T
726252541,2690,15,451920,162,3257,439,6232,73280,T
677559132,265,9,56975,628,1174,879,2789,73031,T
611942095,170,5,2210,151,3412,2198,4158,73490,T
124115244,4383,126,227916,161,716,1318,3993,73435,T
518119355,4577,112,842168,582,1235,2198,4262,72887,T
061325103,1518,65,312708,179,1990,439,6198,73139,T
351843784,1592,77,78008,612,930,879,3993,72922,T
304283392,2622,52,608304,254,1885,1758,4434,72960,F
212892371,1645,68,67445,202,1085,2198,2929,73075,T
281469488,93,1,2418,709,1493,1758,6090,73192,T
502062612,4422,120,579282,180,873,439,3169,73050,T
927554334,164,1,14924,564,3771,1318,4886,72619,T
083542765,137,8,3562,170,731,879,5256,73496,T
174131156,192,8,27840,275,2559,1318,4350,72598,T
482409337,2620,52,361560,262,6514,439,2625,73470,T
997312431,1684,82,141456,716,1023,2198,3252,72642,T
004816663,4462,126,932558,645,1493,879,3447,73235,T
143227862,4571,118,127988,301,853,879,4412,73167,T
644282448,1685,89,151650,695,1462,1318,3616,73391,T
086455553,4421,124,990304,154,6514,439,4582,73536,T
063855909,4422,94,172458,702,1214,439,5292,72741,T
965879067,263,1,28667,321,3257,1318,3933,72661,T
257203525,193,2,47864,240,1155,2198,6054,73002,T
723655971,4443,123,182163,1023,6514,2198,2682,73053,T
443444266,4571,127,799925,147,2559,439,5900,72773,T
725879905,2688,27,508032,151,833,1758,2972,73083,F
942461330,214,1,44298,237,884,1758,5928,73321,T
752042579,237,1,13746,339,884,1758,5881,73198,T
078178868,92,1,1748,196,1235,879,3927,73481,T
290274792,255,1,42840,175,3412,439,4951,73458,T
798777370,2632,26,218456,315,1885,1318,5522,73071,F
572198042,1610,87,107870,354,2171,439,3163,72664,T
335174120,1653,76,360354,416,2388,1758,4744,73096,T
113284891,4505,107,333370,796,796,879,3107,73513,T
716746648,1785,1,342720,197,6514,439,4491,73257,T
439748621,1682,99,314534,1009,746,1758,2817,73185,T
512842889,257,1,28527,167,3257,879,5574,73228,T
011291935,261,1,28188,411,1791,2198,6041,73585,T
782577609,2657,50,220531,153,1990,879,2835,72676,T
105741006,2708,36,124568,207,833,439,6019,73054,T
631530103,1511,59,194919,424,738,1318,3280,73283,T
683458440,2745,16,279990,165,1493,439,4075,72841,T
934750653,4411,99,1005708,257,1102,1318,5993,73302,T
356230270,158,1,31442,602,907,2198,4564,73551,T
401150730,1689,68,228015,450,5118,879,5532,73414,T
288414029,4477,117,846153,269,2654,2198,4343,73429,T
082609802,4411,119,538142,250,1837,879,6172,73051,T
708553340,2669,52,501772,190,6514,439,5261,72676,T
621487092,1514,69,36336,283,873,2198,3252,73111,T
