userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
792109398,305,1,25315,166,143,879,4070,73077,T
623537034,2683,68,107320,166,191,2198,2893,73173,F
733335370,206,21,4326,166,393,879,5947,72769,T
805040923,2736,73,147744,166,265,1758,2861,72993,F
713524017,201,33,10050,166,205,1758,4122,73426,T
129067691,2607,20,216381,166,152,1758,4840,72809,F
748802324,1739,95,166944,166,317,439,4632,73401,T
449093551,2586,34,142230,166,164,1318,3582,73038,F
850671814,1606,121,77088,166,228,439,3230,72682,T
295293451,2667,55,253365,166,336,2198,2949,73250,F
708121020,4423,115,256534,166,1137,1318,5947,73497,T
448923651,2625,64,152250,166,175,1758,2967,72674,F
157662050,2663,16,125161,166,188,879,4354,73433,T
997698071,2668,29,162748,166,194,1758,3233,73022,F
394258265,2594,78,223084,166,247,879,3325,73080,T
290969410,2836,22,241060,166,184,2198,3265,73543,F
296719939,378,35,17388,166,188,879,5720,72661,T
359255562,2700,22,183600,166,242,2198,2813,72880,F
166451539,4569,132,105087,166,149,1318,3921,73131,T
315204759,2794,29,159258,166,306,1758,4332,73450,F
902122135,1524,82,54864,166,612,439,3233,72634,T
669053538,2599,34,80569,166,515,2198,3502,73248,F
682490621,321,1,8988,166,293,879,4747,72665,T
323435899,2596,61,176528,166,555,2198,3326,73020,F
224922808,4573,113,416143,166,2171,439,5273,72728,T
374251323,2820,42,273540,166,404,2198,3205,72907,F
526799863,2596,18,199892,166,10237,2198,3268,72836,F
021447932,190,1,18620,166,787,2198,6071,73419,T
276650988,2682,53,88506,166,321,1758,2962,73007,F
462346122,4501,140,355579,166,341,1758,3558,73378,T
535526476,325,24,11700,166,153,879,4694,72866,T
026278309,2743,23,194753,166,1327,2198,2674,73507,F
256759215,4567,157,237484,166,284,1318,3544,72816,T
576858782,2775,39,116550,166,147,2198,2885,72635,F
914728206,1521,67,41067,166,215,439,4284,73315,T
593181522,2671,73,56091,166,587,1758,2859,72927,F
390244185,177,12,5664,166,682,2198,4382,73216,T
785551365,2601,24,163863,166,237,1318,4517,72585,F
561051321,4523,110,411593,166,167,879,3337,72884,T
497041622,2613,74,209040,166,462,1318,3155,73492,F
318538533,4496,128,107904,166,222,439,2799,72628,T
272267013,2648,31,166824,166,148,1758,3981,73489,F
713987614,4647,163,427524,166,218,879,4922,73553,T
818249817,2726,24,117218,166,657,1758,4290,72856,F
630180261,4526,135,357554,166,770,439,3513,73321,T
456026198,2690,47,139880,166,189,1318,2718,72856,F
631640044,2612,37,83584,166,471,2198,4232,72752,F
723779381,244,13,9760,166,1119,1318,5225,73211,T
765904048,90,1,6210,166,157,2198,3278,73281,T
033736827,2831,29,263283,166,219,1758,3049,73081,F
008003857,1537,78,146015,166,169,879,3034,73202,T
163284625,2849,59,136752,166,143,2198,3208,73250,F
927282911,2795,24,120185,166,190,2198,4130,73199,F
046278277,159,24,8586,166,196,1758,2633,72590,T
146301771,249,45,20418,166,296,439,4596,73530,T
757692511,2613,18,203814,166,328,2198,3020,72749,F
045045298,2593,55,106313,166,3771,1758,3465,73270,F
413927767,4428,102,172692,166,148,1758,6082,72612,T
956293731,1717,87,37774,166,1462,439,4127,73324,T
157210730,2613,35,253461,166,151,1318,3954,72683,F
165329442,2789,51,111560,166,278,2198,2857,73043,F
491767589,4530,136,149490,166,416,439,3086,73403,T
879114648,1565,71,48515,166,404,439,3298,73575,T
828487977,2755,23,168055,166,213,1318,3569,72892,F
855298197,2733,56,68325,166,218,2198,2687,73209,F
657299319,244,1,24156,166,162,879,3470,73345,T
072750983,4531,147,321701,166,240,2198,5730,72650,T
589824741,2588,64,196688,166,294,1318,3186,73452,F
565319611,4454,102,155890,166,217,2198,4776,72800,T
228604023,2842,78,179046,166,234,1758,2998,73221,F
708715579,4564,116,387940,166,1085,1758,3292,72598,T
061208560,2766,69,190854,166,1279,2198,3404,73327,F
585129580,297,8,26730,166,221,1318,2621,72627,T
970309407,2815,39,236460,166,172,1318,4166,72715,F
090434431,255,5,6375,166,265,1758,4000,73542,T
508788600,2767,70,177088,166,275,1318,3158,72639,F
626655620,187,1,11033,166,167,2198,3260,72620,T
550997808,2769,45,243672,166,628,2198,3612,72585,F
475382658,368,23,23552,166,487,439,4016,73467,T
744808357,2720,47,250240,166,148,1758,3275,73082,F
579389343,4449,122,413757,166,327,439,6152,72733,T
488098429,2655,25,124785,166,436,2198,3609,73504,F
958051527,1500,69,57000,166,279,879,4012,72855,T
366564782,2863,40,223314,166,1666,1318,3472,72649,F
870281292,204,41,5712,166,226,439,3512,72654,T
111571342,2629,17,99902,166,1257,2198,3316,72874,F
094042844,340,1,14280,166,149,1758,4503,73518,T
752839612,2751,23,269598,166,523,2198,3509,73082,F
981435138,1531,97,116356,166,148,439,3356,72936,T
567631442,2868,52,206496,166,182,1758,3066,72906,F
694384015,92,47,3864,166,1628,439,4000,72603,T
849858556,2738,65,262848,166,695,1758,3269,73398,F
640796978,4441,104,284224,166,179,879,2951,72587,T
921545684,2711,17,73197,166,213,2198,3479,72731,F
762920949,1788,115,101916,166,342,439,3363,72971,T
703024046,2814,30,182910,166,167,1318,4700,72616,F
305712474,1639,75,121286,166,436,879,4299,73061,T
356748764,2613,36,101907,166,787,1318,4225,72612,F
407599759,2829,76,220662,166,165,1318,2756,72801,F
381285371,4597,95,280417,166,158,2198,3593,72990,T
