userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
983010069,313,15,12833,2373,4145,1151,3166,325557,T
200866844,339,2,35595,778,9919,2303,2538,324991,F
988235205,4518,157,302706,559,3515,2879,2889,325535,T
978088320,4617,163,535572,2595,3346,2879,2889,325195,T
304530788,426,11,106074,606,5143,575,5592,324689,T
529663679,2304,35,235008,562,39678,575,3987,324988,T
029538508,4476,179,420744,641,23145,2879,3261,324687,T
679575037,4515,186,555345,667,9919,1727,3601,324706,T
655814348,2176,11,245888,1202,14618,1151,4672,324818,T
834656930,2134,6,194194,1424,3229,575,5009,325227,T
822717101,310,1,66960,669,5909,1151,5411,325358,T
377913962,2210,36,66300,598,2954,1151,5128,325303,T
971979263,2136,35,81168,1683,3192,1727,2967,324924,T
071885340,437,4,46759,2893,7506,1727,3143,324950,T
144931489,4497,161,944370,1207,2893,1151,3843,325020,T
622535555,395,21,75840,786,19839,2303,3558,324668,F
713717813,2289,15,194565,1274,4707,1151,2685,325270,T
363609849,421,1,72412,596,4959,1151,2543,324642,T
297909655,2233,16,558250,2153,4084,575,2385,324666,T
811833912,2137,34,32055,754,2834,2303,3848,325003,T
496567834,265,1,38160,3607,3192,1151,3064,325586,T
473438687,3253,15,45542,3703,3387,2879,5203,325090,T
059920057,2255,1,383350,1097,6172,1151,3435,324740,T
554880313,3250,32,487500,3703,4084,575,3956,324598,T
790024907,311,17,35454,2415,2893,2879,4175,324705,F
187469569,341,9,78771,1274,4084,2879,4343,324753,F
932667831,410,1,102090,754,3857,2879,4830,324751,F
110011927,2298,33,82728,754,4629,2879,3130,325377,T
957989759,2229,5,425739,1192,4479,575,4041,325265,T
957100125,4578,172,933912,2057,3911,2879,3058,325164,T
293633467,428,5,101864,1683,3607,1151,5034,324880,T
132349456,4600,157,515200,3515,6459,2879,2889,325140,T
014999595,429,13,100386,1024,3267,1727,2431,324814,T
880120525,3378,33,496566,2863,3192,2879,5579,325397,T
052514217,2160,31,41040,2834,11572,2879,2889,325303,T
370489591,261,21,12006,690,23145,1727,3015,325066,T
110254248,418,10,69806,3560,7121,575,4914,324683,T
049894394,4446,150,1027026,564,30861,2303,2581,325017,T
813018055,333,1,30303,2373,4788,575,4369,324857,T
266017261,4549,178,996231,579,3471,2303,4955,325163,T
873187188,4455,147,311850,816,7309,1727,2728,324623,T
166711860,4567,186,324257,672,2777,575,2576,324827,T
361139141,2248,1,460840,631,9577,2303,4899,325535,T
086283794,3236,25,569536,1851,5050,575,3068,324746,T
209994591,2296,10,185976,666,4408,2879,3039,324746,T
110189730,279,13,22320,2027,14618,1727,3428,324740,T
773937405,283,12,67071,1256,2805,2303,3814,324647,F
518294810,2212,19,152628,661,3192,2303,3647,325237,T
478957504,257,17,37522,750,8416,575,4883,324972,T
939602385,3265,27,228550,3192,4084,2879,4081,325510,T
568327556,255,1,51000,1119,3156,2879,3477,325458,F
618646693,417,8,20016,2525,3156,1727,3541,325123,T
970899676,440,14,44440,2353,5786,2879,2889,325027,F
540055272,4548,161,77316,1017,4025,1727,4557,324989,T
288058105,2228,10,158188,648,3560,1727,3566,325461,T
670572729,264,20,3960,561,2893,575,3229,325082,T
091317459,370,1,15910,1969,13887,575,4293,325243,T
895860292,3364,1,824180,826,3857,2303,2804,324679,T
371139872,2145,22,36465,967,27775,1727,4161,324862,T
034908134,3367,6,292929,1915,3052,2879,2889,324985,T
868892969,2200,35,231000,670,23145,1727,2686,325138,T
964244907,4478,158,1110544,771,2893,2303,2498,324898,T
463011413,372,1,25296,1089,7506,1727,2313,324948,T
442598770,383,3,8809,1578,3429,1727,3294,325379,T
783846344,326,12,26406,697,5341,1727,5212,324822,T
938237670,4602,166,865176,625,4479,1151,3147,325444,T
380404014,2263,18,294190,1526,12076,1727,3140,324678,T
909407214,252,7,22932,1084,5909,2879,2889,324958,F
446859232,3263,16,636285,1780,3229,575,2752,324980,T
406457571,4517,155,962121,565,5341,2879,3796,324654,T
642789831,2161,5,246354,1417,4872,1151,5078,325576,T
077938521,4566,175,785352,789,4629,1727,5201,325420,T
343525419,4532,160,793100,655,3267,2303,3447,325318,T
156049010,290,20,35960,3753,4339,2303,2495,325592,F
214657960,4504,159,977368,851,4408,1727,4226,324732,T
072566711,4436,182,550064,767,2834,2879,4207,325230,T
700952021,3308,7,780688,706,10682,2879,4760,325482,T
644014080,317,7,8876,607,14618,1727,3039,325206,T
350484651,4614,179,705942,2479,3607,2879,2889,325601,T
096141837,2290,25,480900,824,4084,2879,4767,325487,T
331469623,2242,30,154698,1036,9577,1727,4710,325363,T
037031197,2179,31,193931,1097,6774,2879,3800,324915,T
979755482,4541,163,99902,1493,6172,1151,2816,325097,T
641794108,4549,175,827918,3804,39678,575,4180,324871,T
287202965,2297,1,388193,3607,11572,1151,2276,324686,T
406657626,2142,1,239904,1746,3607,1151,4633,325167,T
570261265,2208,4,231840,1569,2805,2303,3617,325233,T
359934199,288,15,69408,1446,6459,1151,5368,324688,T
380571916,4453,179,774822,2258,3607,2303,4282,324886,T
597342189,4498,160,877110,661,5050,1727,5136,325160,T
260422236,4593,150,803775,2805,3229,575,4608,325226,T
417296465,4567,160,465834,1409,2923,1151,2505,325387,T
369105794,265,1,42400,1157,6774,575,4889,325469,T
636043417,4480,147,967680,725,8169,1727,3865,325075,T
868786597,2247,19,280875,602,4025,2879,5167,325139,T
463733156,265,4,30475,873,4553,1727,5030,325065,T
706187221,2152,1,129120,1181,9577,2303,2313,325311,T
706353884,4578,187,558516,3192,13226,1151,3254,324921,T
184468796,392,1,32536,971,4208,575,3244,325297,T
918353365,339,20,18645,2645,11572,1727,4044,324679,T
979151582,336,10,15456,1245,2954,1151,2733,324734,T
156498504,3399,4,659406,910,18516,1727,3052,324715,T
357482434,272,7,34000,1017,9919,2303,3890,325032,F
198486358,2169,35,297153,890,55550,2879,5182,325306,T
607009372,2249,36,101205,647,46291,1727,3476,324960,T
956273987,2209,7,497025,1228,4788,1727,5438,325517,T
854994417,4429,150,57577,1902,7715,2879,2889,325563,T
283273237,2283,34,93603,873,27775,1727,4122,325270,T
588782991,4447,185,693732,641,12625,2303,2372,325545,T
726896202,2239,5,80604,913,5668,2879,4657,325370,T
446676025,353,1,28946,656,4408,2879,3145,324661,F
142254931,252,21,60732,641,3804,2879,4933,325498,F
796472887,306,17,73440,1889,4339,2303,3081,325209,F
251547768,275,1,40150,712,10287,1727,4684,325052,T
590645640,3315,13,546975,1368,4273,1151,5551,325127,T
521193569,4484,161,1040288,1048,7506,2303,3502,324688,T
824126361,382,1,53862,2571,9919,2303,3911,325343,F
253735892,350,1,46900,658,3967,575,4688,325527,T
933324467,287,1,13776,1157,3967,2879,3836,324678,F
782591844,3314,22,702568,727,2893,2303,5187,324797,T
763435351,2188,8,490112,601,7506,575,4104,325415,T
664715918,2150,1,73100,1889,4707,2879,5563,325420,T
584149681,4582,182,352814,1942,30861,1151,2353,325260,T
452069740,4605,165,704565,725,6172,2879,5303,325409,T
822187664,2142,1,100674,704,3267,1727,4648,324757,T
758352170,2205,7,83790,1262,4145,575,5064,325220,T
656934701,2273,9,511425,1864,3052,2303,4090,324619,T
042126008,2176,7,108800,2595,2954,1151,5022,324665,T
076534047,274,3,57266,679,7121,2879,2889,325196,F
010828862,2199,5,345243,703,6943,2303,5281,325042,T
916451117,4508,176,1023316,854,2863,575,5056,325443,T
135696634,284,1,9940,841,11110,2303,2870,325387,F
700172268,273,12,27573,699,3086,575,4964,325505,T
041366158,358,1,51552,611,6459,1727,5507,325506,T
455925850,2176,16,376448,967,6172,1727,3271,325591,T
519104327,2236,27,277264,587,3654,2303,5238,325161,T
554535897,4453,152,258274,3306,2923,1727,2996,325177,T
715357518,2315,25,189830,651,7121,2303,3203,325440,T
758037544,3329,28,386164,1803,3120,2879,5157,324807,T
150908796,4584,163,705936,1076,5143,2879,5001,324600,T
869940903,2204,36,447412,3387,4707,1151,3947,325358,T
046645135,2156,20,513128,3429,15430,1151,2565,325150,T
787665697,2250,31,198000,577,5050,2879,5408,324634,T
156810073,436,19,94612,651,3804,2879,5108,324981,F
340945084,4478,171,71648,1402,3804,1727,4060,324813,T
553208719,4584,184,348384,1864,3429,2303,2525,325504,T
804313913,2131,11,413414,637,4084,2303,5304,324615,T
678771822,4521,172,542520,1124,3515,2303,5330,325171,T
694919247,287,6,53956,712,3967,1727,2279,325399,T
380919400,4462,171,530978,602,4339,2879,4304,325289,T
615800902,4487,160,309603,1102,3156,2303,2553,325511,T
