userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
312061300,4512,560,320352,2626,6426,972,8194,633089,T
681044787,4468,29,348504,1336,6292,2432,7688,633589,T
051961534,2999,49,65978,5698,7106,486,4960,632865,T
690351350,3022,34,749456,1552,6358,1945,5198,633523,T
606138447,4513,29,248215,5491,14733,1459,7813,633241,T
616612375,4472,590,693160,2097,10597,972,10171,633510,F
905310312,493,10,79373,1980,6426,972,7425,632986,T
429693933,4516,30,623208,5753,6358,972,7721,632926,T
612383018,2891,61,164787,1282,15489,486,10348,633102,T
914503994,4601,24,529115,4000,31793,2432,8197,633520,T
441774357,4465,46,151810,1696,14382,1459,4828,633663,T
934646190,2856,37,48552,1290,11186,1459,5579,633230,T
227833757,3018,34,356124,3491,20830,486,7264,633223,T
563661034,4627,558,337771,4682,7646,486,5203,633608,T
896319019,4428,30,717336,4794,67119,1945,10353,633381,T
940931238,4567,23,159845,2090,75509,2432,7689,632880,T
907799440,4443,43,337668,1345,46467,486,7796,633209,T
332432445,3032,40,630656,1445,8389,972,5269,633274,T
908467892,4603,575,64442,2262,6358,972,9905,632845,F
687751970,4608,32,603648,1424,13132,972,10299,633591,T
365656536,4505,43,928030,2305,7191,972,9692,632981,T
480221507,4605,583,1045335,4682,28765,1945,7800,633457,T
802658164,4528,12,1091248,1864,8754,1459,5354,633038,T
587105318,4526,43,760368,2188,19486,1459,5177,632930,T
612661602,4487,37,116662,1248,19486,1945,7922,633587,T
258940155,4530,41,815400,2270,8508,972,7325,632844,T
433509582,514,1,83782,2783,7024,972,5732,633802,T
961971853,4517,567,966638,3005,15896,1459,5383,632837,T
001187126,4431,20,806442,2040,8054,2432,10469,633338,T
743338122,4520,13,1044120,3300,7366,1459,10546,633616,T
883813156,2899,60,104364,2783,12328,1945,4946,633181,T
035314571,4504,16,342304,1348,50339,1945,10470,633547,T
677664264,4544,36,795200,2020,8054,2432,5470,633502,T
499611902,4551,571,946608,1313,10983,972,8190,633656,F
567954674,2920,52,219000,4314,9152,486,10662,633161,T
069552293,4492,18,139252,1285,6101,2432,9984,633364,T
814869317,4513,34,762697,4682,17766,1459,5478,633824,T
978691477,4532,20,117832,1441,18305,972,10692,633127,T
401280314,4532,11,1015168,1650,7106,972,8015,633297,T
225057574,4483,31,618654,4719,7106,2432,7425,633695,T
394740422,4424,34,398160,2350,21574,972,5447,633351,T
628304417,4659,556,405333,6495,7366,972,7643,633695,T
487358182,4550,13,791700,6227,12852,486,9741,632914,T
786441823,3015,55,642195,3050,37754,972,7880,633488,T
426086001,4564,582,912800,2254,10787,972,10467,633530,F
393624054,2874,43,192558,2220,6711,486,5778,633272,T
990516631,4557,561,296205,5393,7366,1459,7675,633458,T
428522593,4530,44,244620,1841,12328,972,10378,633059,T
880378577,669,1,36795,4611,6787,1459,5323,633711,T
334803448,2895,31,590580,2262,8054,486,9930,633420,T
548484124,4479,556,470295,2796,6711,486,5177,633202,T
213439326,2868,41,599412,1911,86296,486,7827,633618,T
863284450,4437,14,882963,4719,20830,1945,8055,633613,T
590477679,4538,553,571788,1948,35533,1945,4913,633247,T
046577826,4461,35,472866,5119,7646,1945,7574,633565,T
842932656,4512,31,482784,1548,7744,2432,10090,632929,T
351841360,4452,13,1104096,5163,6358,972,10066,633224,T
807252382,4533,577,49863,1345,6711,486,10367,633252,F
858442054,4497,39,553131,2990,23233,486,10700,632857,T
295686655,4557,25,674436,2475,86296,1945,5539,633288,T
639334393,4542,26,336108,4682,14382,972,10513,633737,T
898454105,2849,66,356125,1615,6426,972,7358,632828,T
376739468,4510,552,1113970,6943,10415,486,5011,632991,T
255938160,4431,28,163947,1893,17259,2432,10523,632980,T
159508583,4567,561,589143,8163,86296,1945,5302,633391,T
969217589,4657,589,475014,1598,67119,972,5640,633803,F
406772365,4562,9,843970,1687,16326,1945,10504,633425,T
863781167,4532,567,829356,2758,19486,486,10411,633073,T
581853028,3008,68,207552,2990,6358,972,8180,633222,T
525887558,4580,18,412200,1776,75509,972,7502,633707,T
675470690,4457,11,864658,1615,7744,1945,8132,633315,T
404674881,4609,550,709786,1369,7646,1459,7670,633477,T
278550835,4531,46,99682,8629,7024,1459,8174,633525,T
048073310,4598,584,1075932,1899,20830,1945,5701,633316,F
451632732,4424,44,212352,1819,50339,972,7428,633240,T
957749929,758,18,9854,1217,15896,1459,5682,632854,T
563832728,2882,56,377542,1232,19486,972,7479,633038,T
480006637,4566,576,109584,1876,11186,486,10437,633553,F
486272024,694,10,119368,1610,10415,1459,5624,633222,T
644564425,3032,41,248624,2397,11397,1459,5662,633523,T
093442466,4443,40,768639,1967,8389,1945,10334,633678,T
692162531,2852,54,288052,2990,9438,1459,4956,633034,T
202070377,4571,46,1051330,1792,12852,1945,10408,633129,T
455607705,2983,34,29830,2592,12584,1459,4839,633267,T
594891378,4494,585,1011150,4054,7106,486,9892,633414,T
393858606,4545,580,249975,5033,13423,2432,5091,633062,T
431258224,4506,573,459612,1212,12081,1459,8255,633496,F
349888578,4488,569,139128,3247,9438,1945,5740,633049,T
341687547,4518,24,108432,2229,9902,2432,5415,633282,T
