userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
589719635,3091,90,77275,1301,1285,1459,4969,633124,T
137643791,4652,607,120952,1301,1841,1459,8073,633701,F
178312730,4440,43,270840,1301,1725,972,8227,633779,T
854950583,4553,588,364240,1301,2425,486,5248,632894,F
484326986,3000,72,132000,1301,5808,1459,4970,632928,T
573582802,4525,573,352950,1301,12328,1459,4963,633044,F
752820166,2990,96,242190,1301,3300,486,9947,633681,T
945384581,4742,609,260810,1301,12328,1459,5491,633636,F
299321637,498,49,29382,1301,3213,972,5029,633498,T
326042136,4705,587,211725,1301,3283,1459,7670,633607,F
576750716,4560,588,346560,1301,11844,1459,5635,632893,F
291803308,3015,44,277380,1301,5252,972,7696,633759,T
716275257,4539,12,163404,1301,2626,486,7757,633298,T
767449492,4726,573,184314,1301,1269,1945,5376,633232,F
276780524,4493,45,431328,1301,2733,2432,5794,633619,T
567117428,4716,573,207504,1301,54915,486,7535,632935,F
763808887,606,48,45450,1301,2006,972,7956,633412,T
273976245,4754,614,385074,1301,2465,486,5679,633134,F
354769938,4736,593,132608,1301,1529,972,10552,633014,F
091828748,3078,66,304722,1301,14733,972,5261,633671,T
886952133,3036,46,154836,1301,35533,486,10114,633087,T
385820632,4751,584,142530,1301,7024,486,5296,632923,F
602856243,4524,585,217152,1301,2527,1459,8114,633664,F
581352678,4672,20,126144,1301,9743,972,8145,633256,T
214629217,2905,72,162680,1301,1230,1459,5749,633199,T
224499430,4549,612,313881,1301,1379,486,10701,633069,F
509951664,4728,573,434976,1301,1240,1459,5398,633735,F
856581463,4588,32,316572,1301,2254,1459,10057,633003,T
928233442,4417,42,287105,1301,2783,1945,8082,633290,T
201223556,4617,589,346275,1301,5033,1945,7323,633577,F
322797013,3103,95,307197,1301,1245,972,7323,633742,T
249555802,4530,603,194790,1301,1261,1459,7375,633456,F
616277068,4413,23,260367,1301,1321,972,7828,633266,T
067665996,4606,572,460600,1301,2040,972,5161,632918,F
327241019,4631,566,333432,1301,1466,2432,4946,633190,F
070902077,678,1,58308,1301,60407,1459,5712,633337,T
109130858,4659,19,93180,1301,1452,1459,5830,633455,T
473724225,4620,584,180180,1301,1659,1459,8186,633778,F
350204145,4484,60,340784,1301,3146,1459,10271,632851,T
152973565,4530,613,95130,1301,1668,486,9843,633201,F
319436075,3065,70,291175,1301,3393,1459,5420,633266,T
763538161,4581,561,293184,1301,2516,972,5715,633750,F
807519928,4614,32,415260,1301,1725,486,10090,633114,T
677182279,4482,604,215136,1301,2783,486,5473,633488,F
433245057,4520,599,99440,1301,3230,972,7875,633099,F
820498962,4705,24,183495,1301,1424,2432,10216,633088,T
400551066,934,26,58842,1301,1240,1945,5587,633445,T
083343626,4558,603,382872,1301,2350,486,10358,633574,F
514262498,4482,615,165834,1301,30203,972,10253,633124,F
389868558,2989,86,116571,1301,13423,972,7994,632935,T
303638259,4523,13,257811,1301,2416,2432,4943,633105,T
812068765,4732,563,317044,1301,3035,486,5201,633289,F
543209377,2885,64,199065,1301,1721,972,7387,633310,T
140939776,4584,571,187944,1301,1285,486,7265,633046,F
106297563,4574,21,237848,1301,2165,2432,10220,633062,T
784597168,4571,596,315399,1301,3491,972,4927,633262,F
775745151,4513,606,275293,1301,1756,486,4983,633358,F
990849907,844,52,42200,1301,4194,1459,5599,633335,T
126440491,4647,615,236997,1301,75509,972,7442,633240,F
880667324,4574,26,429956,1301,1366,972,8252,633734,T
842615198,4613,29,239876,1301,3451,1459,10627,633540,T
833938480,4640,607,459360,1301,1808,1945,7273,633460,F
277299204,2857,97,245702,1301,3412,486,8171,632992,T
636879176,4740,614,255960,1301,6495,1459,7328,633106,F
756181828,4695,78,140850,1301,4314,972,7785,633765,T
737882122,4478,599,228378,1301,1870,486,10406,633075,F
392867001,724,23,30408,1301,1288,972,7726,633194,T
190833768,4759,616,414033,1301,1484,1459,5703,633373,F
928481145,4554,58,296010,1301,10415,1459,4916,633734,T
900716261,4645,587,278700,1301,46467,1945,5648,633774,F
427302968,4541,571,395067,1301,1619,972,10398,633555,F
243028432,830,35,75530,1301,2783,1945,5212,633353,T
600841790,670,6,59630,1301,50339,972,7953,632941,T
137379036,4521,607,103983,1301,4756,972,5177,633274,F
339168901,747,21,45567,1301,1237,972,7737,633750,T
674091350,4619,610,438805,1301,2733,972,5647,633265,F
996764022,4514,24,415288,1301,1645,2432,7878,633122,T
883404319,4529,577,307972,1301,1225,1459,4953,632825,F
841711812,4756,603,404260,1301,1776,1945,5311,632876,F
778179484,2942,78,214766,1301,28765,972,5192,633668,T
086462586,4577,552,302082,1301,27457,1459,5787,633611,T
861563064,4734,609,454464,1301,1893,1459,7391,633336,F
998146477,926,12,52782,1301,1929,1459,7717,633313,T
024538136,4708,578,188320,1301,4682,1945,4814,633153,F
663519493,4677,608,294651,1301,1385,1459,4846,633708,F
282205603,4673,74,373840,1301,13423,1459,5266,633012,T
175056432,765,1,74205,1301,13132,972,7921,633445,T
862182144,4728,571,127656,1301,1876,1945,5058,633747,F
429923682,4572,73,141732,1301,1469,972,10204,633118,T
648225700,4635,584,199305,1301,1333,486,7816,633805,F
426341586,4508,21,414736,1301,2245,1459,5316,633635,T
043548493,4662,574,130536,1301,7744,486,7977,633039,F
736564370,3045,78,97440,1301,7191,486,5457,633310,T
182792209,4549,561,327528,1301,2849,972,10054,632857,F
981270662,4712,606,202616,1301,1277,972,5091,633468,F
499877430,4661,554,219067,1301,2862,972,10177,633618,T
531067596,4465,550,424175,1301,2368,972,9900,633345,T
620193160,4641,618,329511,1301,1354,1459,5766,633557,F
918177237,904,7,39776,1301,2142,1945,5712,632940,T
320183097,4575,607,434625,1301,1395,972,10027,632950,F
