userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
788795947,1185,24,30810,800,2450,1846,6390,241083,T
410691471,3615,19,614550,1153,33609,369,4523,241356,T
657508934,1031,8,49488,814,2904,738,6359,241191,T
321035261,1125,30,73125,512,6032,369,6435,241166,T
558614317,1064,29,214928,533,3987,738,3428,241225,T
834152756,3653,31,661193,657,2614,738,3761,241708,T
427283237,1181,13,236200,756,21387,1107,6034,240728,T
015421959,1017,5,247131,1461,4613,738,6765,240725,T
736680787,1035,3,64170,485,6358,738,6653,241618,T
105017298,1091,13,13092,1645,16804,1107,3025,241393,T
056049513,1064,26,255360,2010,3564,1107,3175,241085,T
334818100,3583,10,777511,1115,2940,738,4656,241398,T
691014776,4947,37,469965,1768,7352,738,3159,240983,T
852108317,1175,17,215025,1200,3016,1846,5981,241388,T
220586452,1100,5,251900,742,4705,369,4833,241658,T
847898527,1149,9,47109,960,3095,1846,3239,241196,T
256802522,1204,15,13244,781,7842,369,5341,241011,T
809211386,1038,12,78888,749,3016,1476,3405,240971,T
392441361,4836,47,1030068,2100,4201,738,4700,241326,T
975310943,3602,11,716798,2240,4127,1107,2950,241514,T
979672344,1056,31,126720,634,2502,1107,4608,241153,T
906636362,3587,4,398157,2476,7352,369,4601,241551,T
911252884,3628,12,370056,708,2502,369,5311,241233,T
669558901,1080,22,41040,492,2614,1846,3179,241352,T
830552177,4369,57,415055,1656,26140,738,6069,240932,T
652973711,1018,22,245338,1838,3313,738,5173,241033,T
685862200,3692,36,251056,3016,2834,369,5003,241241,T
526359522,3605,1,746235,580,3267,738,4711,241493,T
123569676,1041,24,213405,901,4613,369,5329,241222,T
274292085,1097,20,217206,1611,10228,1107,3573,240978,T
518802534,1160,6,105560,589,3222,369,5335,241547,T
170452664,1023,10,155496,1352,26140,1476,3021,241166,T
284454621,3646,39,47398,732,2585,738,3487,241008,T
257022113,1081,7,107019,552,5114,738,4845,241409,T
068552218,1175,42,225600,1264,4438,1846,6424,241543,T
463627140,1123,30,166204,670,2352,738,6877,241169,T
558975120,1035,32,149040,502,8713,1107,6015,241466,T
087924436,1021,38,159276,478,3459,1107,6016,241567,T
982473057,1019,36,223161,948,5738,369,6473,241115,T
462911954,3585,1,215100,607,9410,738,3829,241675,T
193197510,3592,36,714808,1568,9410,738,3433,241450,T
943338301,1056,13,16896,1600,11763,369,6592,241112,T
827485362,1032,3,162024,2198,33609,738,3668,240796,T
816884402,1064,21,142576,1359,2376,1476,5932,241049,T
443927211,4901,40,445991,2502,3987,369,5057,241608,T
