userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
797612587,1462,1,321640,110,623,1135,1283,41497,T
905210122,73,1,2774,287,424,1135,2416,40963,F
989505622,10,1,500,125,665,283,1463,41547,T
148155933,1373,1,109840,118,546,1419,2595,41554,T
537361488,11,8,1309,187,433,283,1194,41241,T
564371980,2792,34,332248,93,1900,283,1142,41146,T
398429779,2872,49,189552,104,614,283,3041,41022,T
722264643,8,1,544,90,486,1135,1545,40766,T
406621816,2862,23,289062,93,814,1135,1353,41189,T
092887327,1295,20,117845,112,1140,1419,1869,40810,T
838702663,2908,58,261720,93,546,1419,1944,41125,T
571592352,1337,1,262052,291,1209,1135,3180,41169,T
901011557,26,16,1924,344,1330,283,2689,41535,F
772651421,2951,25,342316,316,1663,1419,2069,40967,T
662946300,1418,18,199938,176,700,1135,3172,40922,T
186132806,2929,37,433492,226,1596,567,1706,41289,T
186800774,2813,30,461332,118,798,1135,1679,41323,T
297279926,1404,10,42120,140,518,1419,2195,41147,T
152995903,4,2,536,84,5702,851,2448,41023,T
753427494,2809,19,325844,157,867,567,2748,41203,T
525039510,2866,44,77382,113,6652,283,1821,41375,T
691266918,1346,25,199208,89,7982,1419,2537,41251,T
413179907,2917,48,562981,111,453,1135,1984,40828,T
083812150,2814,27,329238,429,633,1135,1509,41666,T
783124727,2936,52,176160,546,433,567,2629,41253,T
642599180,1356,9,299676,91,498,1135,3173,41077,T
742269337,5,1,550,91,1663,1135,1162,40832,T
065988198,10,12,1990,119,782,1135,1834,41663,T
580639940,2806,23,145912,103,518,567,3020,41002,T
980055149,31,4,1302,191,712,283,1440,41683,F
495344154,2881,58,613653,287,562,283,2240,41318,T
113606467,2828,25,387436,359,928,1135,2555,40731,T
761465660,2881,40,584843,120,562,851,2918,40902,T
285426215,2932,43,363568,176,570,1135,1224,41299,T
493537821,2939,40,570166,172,464,1135,2177,41659,T
787761627,9,1,1152,90,448,283,1588,41060,T
769043351,15,1,2430,229,448,567,1845,41366,T
443794972,34,6,6154,86,3991,283,2497,41197,F
819708364,2862,36,211788,137,3991,283,2142,41355,T
865258166,2905,41,241115,539,525,1135,2628,41284,T
751455521,2758,22,631582,179,654,567,2248,40971,T
435440745,2802,23,526776,205,782,283,2160,41008,T
513776620,55,1,1485,118,532,283,1616,41342,F
412639112,2882,39,268026,164,1078,283,2256,41054,T
887590889,1331,1,57233,105,739,1135,2288,41595,T
672208742,2896,46,408336,159,429,567,3058,41210,T
636175347,1310,1,289510,148,1173,1419,1429,41090,T
060335482,16,15,1344,82,578,851,2396,41688,T
381501472,2768,22,166080,184,498,1135,2357,41425,T
413548351,2920,45,478880,81,7982,851,2889,41596,T
211363320,40,6,2560,146,399,567,2550,41016,F
964513316,1415,1,125935,104,570,1135,2659,41178,T
776666151,1428,1,155652,107,1108,1135,2394,41714,T
178829274,1424,14,119616,88,928,851,3086,41410,T
070792874,2811,41,115251,262,532,1135,1399,40883,T
658976567,1428,1,205632,185,1995,1419,2595,41317,T
452515727,8,1,1680,224,907,567,1949,40986,T
811925883,2867,57,243695,219,532,1135,2352,41353,T
545571002,2,20,380,387,4989,283,2660,40777,T
114108480,1396,1,205212,112,950,1135,2830,40790,T
843656771,29,1,6467,179,1596,283,2657,40771,F
